(iter 10) [0.0, -1.1322, 1.9087] = 412.4504, sampling [1.0, 0.0475, -0.8595]. Recommendation = [0.0, -1.1322, 1.9087], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -1.1322, 1.9087] = 412.4504, sampling [1.0, -1.2864, 1.8293]. Recommendation = [0.0, -1.1322, 1.9087], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -1.1322, 1.9087] = 412.4504, sampling [1.0, -0.8398, 1.6687]. Recommendation = [0.0, -1.1322, 1.9087], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -1.1322, 1.9087] = 412.4504, sampling [1.0, 0.0482, -0.4118]. Recommendation = [0.0, -1.1322, 1.9087], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -1.1322, 1.9087] = 412.4504, sampling [1.0, 0.2448, -0.7452]. Recommendation = [0.0, -1.1322, 1.9087], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -1.1322, 1.9087] = 412.4504, sampling [1.0, -0.3367, -0.6268]. Recommendation = [0.0, -1.1322, 1.9087], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -1.1322, 1.9087] = 412.4504, sampling [1.0, -1.2702, 1.4171]. Recommendation = [0.0, -1.1322, 1.9087], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -1.1322, 1.9087] = 412.4504, sampling [1.0, -1.4319, 1.8053]. Recommendation = [0.0, -1.1322, 1.9087], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -1.1322, 1.9087] = 412.4504, sampling [1.0, -0.2706, -0.1420]. Recommendation = [0.0, -1.1322, 1.9087], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -1.1322, 1.9087] = 412.4504, sampling [1.0, -0.7555, 0.9388]. Recommendation = [0.0, -1.1322, 1.9087], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -1.1322, 1.9087] = 412.4504, sampling [1.0, -0.6066, 0.2534]. Recommendation = [0.0, -1.1322, 1.9087], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -1.1322, 1.9087] = 412.4504, sampling [1.0, -0.7476, -0.2513]. Recommendation = [0.0, -1.1322, 1.9087], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -1.1322, 1.9087] = 412.4504, sampling [1.0, -0.5604, 1.3375]. Recommendation = [0.0, -1.1322, 1.9087], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -1.1322, 1.9087] = 412.4504, sampling [1.0, -1.0524, 1.0556]. Recommendation = [0.0, -1.1322, 1.9087], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -1.1322, 1.9087] = 412.4504, sampling [1.0, -1.6431, 1.9905]. Recommendation = [0.0, -1.1322, 1.9087], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -1.1322, 1.9087] = 412.4504, sampling [1.0, -1.5529, 1.6484]. Recommendation = [0.0, -1.1322, 1.9087], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -1.1322, 1.9087] = 412.4504, sampling [1.0, 0.2067, -1.0567]. Recommendation = [0.0, -1.1322, 1.9087], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -1.1322, 1.9087] = 412.4504, sampling [1.0, -0.1351, 0.4505]. Recommendation = [0.0, -1.1322, 1.9087], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -1.1322, 1.9087] = 412.4504, sampling [1.0, -0.0726, -0.7982]. Recommendation = [0.0, -1.1322, 1.9087], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -1.1322, 1.9087] = 412.4504, sampling [1.0, -0.0345, -0.2637]. Recommendation = [0.0, -1.1322, 1.9087], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -1.1322, 1.9087] = 412.4504, sampling [1.0, -0.8928, 0.6125]. Recommendation = [0.0, -1.1322, 1.9087], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -1.1322, 1.9087] = 412.4504, sampling [1.0, -0.4718, 0.6041]. Recommendation = [0.0, -1.1322, 1.9087], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -1.1322, 1.9087] = 412.4504, sampling [1.0, -0.6124, -0.9255]. Recommendation = [0.0, -1.1322, 1.9087], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -1.1322, 1.9087] = 412.4504, sampling [1.0, 0.1160, -0.0261]. Recommendation = [0.0, -1.1322, 1.9087], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -1.1322, 1.9087] = 412.4504, sampling [1.0, -0.1858, 0.1453]. Recommendation = [0.0, -1.1322, 1.9087], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -1.1322, 1.9087] = 412.4504, sampling [1.0, -0.3786, 1.8551]. Recommendation = [0.0, -1.1322, 1.9087], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -1.1322, 1.9087] = 412.4504, sampling [1.0, -1.0943, 0.2685]. Recommendation = [0.0, -1.1322, 1.9087], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -1.1322, 1.9087] = 412.4504, sampling [1.0, -0.1217, -0.9480]. Recommendation = [0.0, -1.1322, 1.9087], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -1.1322, 1.9087] = 412.4504, sampling [1.0, -1.3045, 1.2668]. Recommendation = [0.0, -1.1322, 1.9087], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, -1.1322, 1.9087] = 412.4504, sampling [1.0, 0.4483, -0.2261]. Recommendation = [0.0, -1.1322, 1.9087], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, -1.1322, 1.9087] = 412.4504, sampling [1.0, -0.5585, -0.4893]. Recommendation = [0.0, -1.1322, 1.9087], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, -1.1322, 1.9087] = 412.4504, sampling [1.0, -0.0854, -0.0388]. Recommendation = [0.0, -1.1322, 1.9087], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, -1.1322, 1.9087] = 412.4504, sampling [1.0, -0.3644, 0.8064]. Recommendation = [0.0, -1.1322, 1.9087], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, -1.1322, 1.9087] = 412.4504, sampling [1.0, -0.8576, 1.0359]. Recommendation = [0.0, -1.1322, 1.9087], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, -1.1322, 1.9087] = 412.4504, sampling [1.0, -0.3919, -1.4003]. Recommendation = [0.0, -1.1322, 1.9087], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, -1.1322, 1.9087] = 412.4504, sampling [1.0, -1.2614, -0.3798]. Recommendation = [0.0, -1.1322, 1.9087], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, -1.1322, 1.9087] = 412.4504, sampling [1.0, -0.6630, 0.4988]. Recommendation = [0.0, -1.1322, 1.9087], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, -1.1322, 1.9087] = 412.4504, sampling [1.0, -0.2430, -0.8465]. Recommendation = [0.0, -1.1322, 1.9087], Current Cost = 5042.00, Rho = 1.000
