(iter 10) [0.0, -1.0762, 1.6798] = 424.7893, sampling [1.0, 0.2415, 0.7382]. Recommendation = [0.0, -1.0762, 1.6798], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -1.0762, 1.6798] = 424.7893, sampling [1.0, -0.4437, 1.3134]. Recommendation = [0.0, -1.0762, 1.6798], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -1.0762, 1.6798] = 424.7893, sampling [1.0, 0.7220, 0.7199]. Recommendation = [0.0, -1.0762, 1.6798], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -1.0762, 1.6798] = 424.7893, sampling [1.0, 0.5356, 0.5524]. Recommendation = [0.0, 0.7220, 0.7199], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -1.0762, 1.6798] = 424.7893, sampling [1.0, 0.2035, 0.2863]. Recommendation = [0.0, 0.7220, 0.7199], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -1.0762, 1.6798] = 424.7893, sampling [1.0, 0.4001, 0.3469]. Recommendation = [0.0, 0.7220, 0.7199], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -1.0762, 1.6798] = 424.7893, sampling [1.0, 0.7079, 0.5246]. Recommendation = [0.0, 0.4001, 0.3469], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -1.0762, 1.6798] = 424.7893, sampling [1.0, 0.3699, 0.1098]. Recommendation = [0.0, 0.7079, 0.5246], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -1.0762, 1.6798] = 424.7893, sampling [1.0, 0.5514, 0.3040]. Recommendation = [0.0, 0.7079, 0.5246], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -1.0762, 1.6798] = 424.7893, sampling [1.0, 0.1511, -0.1945]. Recommendation = [0.0, 0.3563, 0.1624], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -1.0762, 1.6798] = 424.7893, sampling [1.0, 0.0220, 0.2409]. Recommendation = [0.0, 0.3563, 0.1624], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -1.0762, 1.6798] = 424.7893, sampling [1.0, -0.0871, -0.1143]. Recommendation = [0.0, 0.3563, 0.1624], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -1.0762, 1.6798] = 424.7893, sampling [1.0, -0.2626, 0.3037]. Recommendation = [0.0, 0.3563, 0.1624], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -1.0762, 1.6798] = 424.7893, sampling [1.0, -0.1942, 0.6120]. Recommendation = [0.0, 0.3563, 0.1624], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -1.0762, 1.6798] = 424.7893, sampling [1.0, 0.6099, 0.3870]. Recommendation = [0.0, 0.3563, 0.1624], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -1.0762, 1.6798] = 424.7893, sampling [1.0, -0.0548, -0.3129]. Recommendation = [0.0, 0.3563, 0.1624], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -1.0762, 1.6798] = 424.7893, sampling [1.0, -0.3925, -0.0038]. Recommendation = [0.0, 0.3563, 0.1624], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -1.0762, 1.6798] = 424.7893, sampling [1.0, 0.6456, 0.5656]. Recommendation = [0.0, 0.3563, 0.1624], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -1.0762, 1.6798] = 424.7893, sampling [1.0, -0.6718, 0.4585]. Recommendation = [0.0, 0.3563, 0.1624], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -1.0762, 1.6798] = 424.7893, sampling [1.0, -0.3828, 0.3749]. Recommendation = [0.0, 0.3563, 0.1624], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -1.0762, 1.6798] = 424.7893, sampling [1.0, -0.4971, 0.6315]. Recommendation = [0.0, 0.3563, 0.1624], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -1.0762, 1.6798] = 424.7893, sampling [1.0, -0.5742, 0.1380]. Recommendation = [0.0, 0.3563, 0.1624], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -1.0762, 1.6798] = 424.7893, sampling [1.0, -0.9436, 0.7624]. Recommendation = [0.0, 0.3563, 0.1624], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -1.0762, 1.6798] = 424.7893, sampling [1.0, -0.8332, 0.9684]. Recommendation = [0.0, 0.3563, 0.1624], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -1.0762, 1.6798] = 424.7893, sampling [1.0, -1.0415, 1.1694]. Recommendation = [0.0, 0.3563, 0.1624], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -1.0762, 1.6798] = 424.7893, sampling [1.0, -0.8933, 0.4479]. Recommendation = [0.0, 0.3563, 0.1624], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -1.0762, 1.6798] = 424.7893, sampling [1.0, -1.2134, 0.8240]. Recommendation = [0.0, 0.3563, 0.1624], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -1.0762, 1.6798] = 424.7893, sampling [1.0, -0.8751, 1.2096]. Recommendation = [0.0, 0.3563, 0.1624], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -1.0762, 1.6798] = 424.7893, sampling [1.0, -1.1754, 1.2720]. Recommendation = [0.0, 0.3563, 0.1624], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, -1.0762, 1.6798] = 424.7893, sampling [1.0, -1.1152, 1.4597]. Recommendation = [0.0, 0.3563, 0.1624], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, -1.0762, 1.6798] = 424.7893, sampling [1.0, -0.9276, 0.6635]. Recommendation = [0.0, 0.3563, 0.1624], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, -1.0762, 1.6798] = 424.7893, sampling [1.0, -0.5560, 0.7780]. Recommendation = [0.0, 0.3563, 0.1624], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, -1.0762, 1.6798] = 424.7893, sampling [1.0, -0.3263, -0.2412]. Recommendation = [0.0, 0.3563, 0.1624], Current Cost = 5037.00, Rho = 1.000
