(iter 10) [0.0, -0.1691, -0.2619] = 446.4946, sampling [1.0, 0.3946, 0.2835]. Recommendation = [0.0, -0.1691, -0.2619], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.1691, -0.2619] = 446.4946, sampling [1.0, 0.2757, -0.0802]. Recommendation = [0.0, 0.3946, 0.2835], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.1691, -0.2619] = 446.4946, sampling [1.0, 0.1403, 0.2700]. Recommendation = [0.0, 0.3946, 0.2835], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.1691, -0.2619] = 446.4946, sampling [1.0, 0.7851, 0.6063]. Recommendation = [0.0, 0.3946, 0.2835], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.1691, -0.2619] = 446.4946, sampling [1.0, 0.7251, 0.2179]. Recommendation = [0.0, 0.7851, 0.6063], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.1691, -0.2619] = 446.4946, sampling [1.0, 1.2647, 0.8654]. Recommendation = [0.0, 0.7851, 0.6063], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.1691, -0.2619] = 446.4946, sampling [1.0, 0.5214, 0.8136]. Recommendation = [0.0, 0.7851, 0.6063], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.1691, -0.2619] = 446.4946, sampling [1.0, 0.5102, 0.4544]. Recommendation = [0.0, 0.7851, 0.6063], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.1691, -0.2619] = 446.4946, sampling [1.0, 0.9267, 0.8833]. Recommendation = [0.0, 0.7851, 0.6063], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.1691, -0.2619] = 446.4946, sampling [1.0, 0.9643, 0.5443]. Recommendation = [0.0, 0.7851, 0.6063], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.1691, -0.2619] = 446.4946, sampling [1.0, 1.0277, 1.4623]. Recommendation = [0.0, 0.7851, 0.6063], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.1691, -0.2619] = 446.4946, sampling [1.0, 1.3059, 1.3780]. Recommendation = [0.0, 0.7851, 0.6063], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.1691, -0.2619] = 446.4946, sampling [1.0, 0.6793, 0.9568]. Recommendation = [0.0, 0.7851, 0.6063], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.1691, -0.2619] = 446.4946, sampling [1.0, 0.1596, -0.2112]. Recommendation = [0.0, 0.7851, 0.6063], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.1691, -0.2619] = 446.4946, sampling [1.0, 0.1982, 0.4357]. Recommendation = [0.0, 0.7851, 0.6063], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.1691, -0.2619] = 446.4946, sampling [1.0, 0.7002, 0.6679]. Recommendation = [0.0, 0.7851, 0.6063], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.1691, -0.2619] = 446.4946, sampling [1.0, 0.3076, 0.3027]. Recommendation = [0.0, 0.7851, 0.6063], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.1691, -0.2619] = 446.4946, sampling [1.0, 0.9007, 0.0960]. Recommendation = [0.0, 0.7851, 0.6063], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.1691, -0.2619] = 446.4946, sampling [1.0, 1.8722, 1.2534]. Recommendation = [0.0, 0.7851, 0.6063], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.1691, -0.2619] = 446.4946, sampling [1.0, 0.7115, 1.8989]. Recommendation = [0.0, 0.7851, 0.6063], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.1691, -0.2619] = 446.4946, sampling [1.0, 1.2455, 1.3548]. Recommendation = [0.0, 0.7851, 0.6063], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.1691, -0.2619] = 446.4946, sampling [1.0, 0.0330, 0.4267]. Recommendation = [0.0, 0.7851, 0.6063], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.1691, -0.2619] = 446.4946, sampling [1.0, 0.3288, -0.3396]. Recommendation = [0.0, 0.7851, 0.6063], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.1691, -0.2619] = 446.4946, sampling [1.0, 0.4290, 0.3100]. Recommendation = [0.0, 0.7851, 0.6063], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.1691, -0.2619] = 446.4946, sampling [1.0, 0.3752, 1.1494]. Recommendation = [0.0, 0.7851, 0.6063], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -0.1691, -0.2619] = 446.4946, sampling [1.0, 0.2271, 0.3434]. Recommendation = [0.0, 0.7851, 0.6063], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -0.1691, -0.2619] = 446.4946, sampling [1.0, -0.3663, 0.1861]. Recommendation = [0.0, 0.7851, 0.6063], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -0.1691, -0.2619] = 446.4946, sampling [1.0, -0.0315, 0.6193]. Recommendation = [0.0, 0.7851, 0.6063], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -0.1691, -0.2619] = 446.4946, sampling [1.0, 1.3805, 1.7840]. Recommendation = [0.0, 0.7851, 0.6063], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, -0.1691, -0.2619] = 446.4946, sampling [1.0, 1.0728, 1.5194]. Recommendation = [0.0, 0.7851, 0.6063], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, -0.1691, -0.2619] = 446.4946, sampling [1.0, 0.8049, 0.5821]. Recommendation = [0.0, 0.7851, 0.6063], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, -0.1691, -0.2619] = 446.4946, sampling [1.0, -0.5244, -0.0306]. Recommendation = [0.0, 0.7851, 0.6063], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, -0.1691, -0.2619] = 446.4946, sampling [1.0, -0.3346, 0.5209]. Recommendation = [0.0, 0.7851, 0.6063], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, -0.1691, -0.2619] = 446.4946, sampling [1.0, -0.6094, 0.1421]. Recommendation = [0.0, 0.7851, 0.6063], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, -0.1691, -0.2619] = 446.4946, sampling [1.0, -0.5470, -0.1739]. Recommendation = [0.0, 0.7851, 0.6063], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, -0.1691, -0.2619] = 446.4946, sampling [1.0, -0.2139, -0.3148]. Recommendation = [0.0, 0.7851, 0.6063], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, -0.1691, -0.2619] = 446.4946, sampling [1.0, 1.4270, 1.7555]. Recommendation = [0.0, 0.7851, 0.6063], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, -0.1691, -0.2619] = 446.4946, sampling [1.0, 0.1068, 0.3940]. Recommendation = [0.0, 0.7851, 0.6063], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, -0.1691, -0.2619] = 446.4946, sampling [1.0, 1.1538, 0.3717]. Recommendation = [0.0, 0.7851, 0.6063], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, -0.1691, -0.2619] = 446.4946, sampling [1.0, -0.2525, -0.4686]. Recommendation = [0.0, 0.7851, 0.6063], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, -0.1691, -0.2619] = 446.4946, sampling [1.0, 0.4714, -0.4077]. Recommendation = [0.0, 0.7851, 0.6063], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, -0.1691, -0.2619] = 446.4946, sampling [1.0, 0.0793, -0.6450]. Recommendation = [0.0, 0.7851, 0.6063], Current Cost = 5046.00, Rho = 1.000
