(iter 10) [0.0, 1.0091, -0.1648] = 316.3476, sampling [1.0, 0.4903, -0.2586]. Recommendation = [0.0, 1.0091, -0.1648], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 1.0091, -0.1648] = 316.3476, sampling [1.0, 0.3436, -0.4930]. Recommendation = [0.0, 0.4903, -0.2586], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 1.0091, -0.1648] = 316.3476, sampling [1.0, 0.7179, -0.4246]. Recommendation = [0.0, 0.4903, -0.2586], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 1.0091, -0.1648] = 316.3476, sampling [1.0, 0.4157, -0.7054]. Recommendation = [0.0, 0.4903, -0.2586], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 1.0091, -0.1648] = 316.3476, sampling [1.0, 0.2101, -0.0835]. Recommendation = [0.0, 0.4903, -0.2586], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 1.0091, -0.1648] = 316.3476, sampling [1.0, 0.1390, -0.4324]. Recommendation = [0.0, 0.2101, -0.0835], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 1.0091, -0.1648] = 316.3476, sampling [1.0, 0.0626, -0.2344]. Recommendation = [0.0, 0.2101, -0.0835], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 1.0091, -0.1648] = 316.3476, sampling [1.0, 0.2970, 0.0898]. Recommendation = [0.0, 0.2101, -0.0835], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 1.0091, -0.1648] = 316.3476, sampling [1.0, 0.6394, 0.1284]. Recommendation = [0.0, 0.2970, 0.0898], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 1.0091, -0.1648] = 316.3476, sampling [1.0, 0.5170, 0.3185]. Recommendation = [0.0, 0.2970, 0.0898], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 1.0091, -0.1648] = 316.3476, sampling [1.0, 0.3077, 0.2476]. Recommendation = [0.0, 0.2970, 0.0898], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 1.0091, -0.1648] = 316.3476, sampling [1.0, 0.3814, 0.5150]. Recommendation = [0.0, 0.2970, 0.0898], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 1.0091, -0.1648] = 316.3476, sampling [1.0, -0.1239, 0.2882]. Recommendation = [0.0, 0.2970, 0.0898], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 1.0091, -0.1648] = 316.3476, sampling [1.0, 0.0945, 0.7390]. Recommendation = [0.0, 0.2970, 0.0898], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 1.0091, -0.1648] = 316.3476, sampling [1.0, -0.2131, 0.0291]. Recommendation = [0.0, 0.2970, 0.0898], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 1.0091, -0.1648] = 316.3476, sampling [1.0, 0.1199, -0.1350]. Recommendation = [0.0, 0.1199, -0.1350], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 1.0091, -0.1648] = 316.3476, sampling [1.0, -0.2333, -0.4110]. Recommendation = [0.0, 0.2970, 0.0898], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 1.0091, -0.1648] = 316.3476, sampling [1.0, -0.1005, -0.6392]. Recommendation = [0.0, 0.2970, 0.0898], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 1.0091, -0.1648] = 316.3476, sampling [1.0, 0.0040, -0.3021]. Recommendation = [0.0, 0.2970, 0.0898], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 1.0091, -0.1648] = 316.3476, sampling [1.0, 0.4412, 0.4265]. Recommendation = [0.0, 0.2970, 0.0898], Current Cost = 5024.00, Rho = 1.000
