(iter 10) [0.0, -0.3444, 0.8814] = 396.3000, sampling [1.0, 0.5754, 0.8465]. Recommendation = [0.0, -0.3444, 0.8814], Current Cost = 5005.00, Rho = 0.521
(iter 10) [0.0, -0.3444, 0.8814] = 396.3000, sampling [1.0, 0.1081, 0.3254]. Recommendation = [0.0, 0.5754, 0.8465], Current Cost = 5006.00, Rho = 0.521
(iter 10) [0.0, -0.3444, 0.8814] = 396.3000, sampling [1.0, 0.5159, 0.4064]. Recommendation = [0.0, 0.1081, 0.3254], Current Cost = 5007.00, Rho = 0.521
(iter 10) [0.0, -0.3444, 0.8814] = 396.3000, sampling [1.0, 0.0857, 0.6313]. Recommendation = [0.0, 0.5159, 0.4064], Current Cost = 5008.00, Rho = 0.521
(iter 10) [0.0, -0.3444, 0.8814] = 396.3000, sampling [1.0, 0.9447, 0.6628]. Recommendation = [0.0, 0.5159, 0.4064], Current Cost = 5009.00, Rho = 0.521
(iter 10) [0.0, -0.3444, 0.8814] = 396.3000, sampling [1.0, 1.1177, 1.0445]. Recommendation = [0.0, 0.9447, 0.6628], Current Cost = 5010.00, Rho = 0.521
(iter 10) [0.0, -0.3444, 0.8814] = 396.3000, sampling [1.0, 0.5320, 1.3002]. Recommendation = [0.0, 1.1177, 1.0445], Current Cost = 5011.00, Rho = 0.521
(iter 10) [0.0, -0.3444, 0.8814] = 396.3000, sampling [1.0, 0.0754, -0.1100]. Recommendation = [0.0, 1.1177, 1.0445], Current Cost = 5012.00, Rho = 0.521
(iter 10) [0.0, -0.3444, 0.8814] = 396.3000, sampling [1.0, -0.2876, 0.0152]. Recommendation = [0.0, 0.0754, -0.1100], Current Cost = 5013.00, Rho = 0.521
(iter 10) [0.0, -0.3444, 0.8814] = 396.3000, sampling [1.0, 0.3841, -0.0430]. Recommendation = [0.0, 0.0754, -0.1100], Current Cost = 5014.00, Rho = 0.521
(iter 10) [0.0, -0.3444, 0.8814] = 396.3000, sampling [1.0, -0.2497, 0.2939]. Recommendation = [0.0, 0.0754, -0.1100], Current Cost = 5015.00, Rho = 0.521
(iter 10) [0.0, -0.3444, 0.8814] = 396.3000, sampling [1.0, -0.2124, -0.2791]. Recommendation = [0.0, -0.1196, 0.0818], Current Cost = 5016.00, Rho = 0.521
(iter 10) [0.0, -0.3444, 0.8814] = 396.3000, sampling [1.0, 0.1981, -0.5414]. Recommendation = [0.0, -0.1196, 0.0818], Current Cost = 5017.00, Rho = 0.521
(iter 10) [0.0, -0.3444, 0.8814] = 396.3000, sampling [1.0, 0.6177, -0.3165]. Recommendation = [0.0, -0.1196, 0.0818], Current Cost = 5018.00, Rho = 0.521
(iter 10) [0.0, -0.3444, 0.8814] = 396.3000, sampling [1.0, 0.1809, -0.3577]. Recommendation = [0.0, 0.1809, -0.3577], Current Cost = 5019.00, Rho = 0.521
(iter 10) [0.0, -0.3444, 0.8814] = 396.3000, sampling [1.0, 1.4185, 0.6924]. Recommendation = [0.0, 0.1809, -0.3577], Current Cost = 5020.00, Rho = 0.521
(iter 10) [0.0, -0.3444, 0.8814] = 396.3000, sampling [1.0, -0.7282, 0.2506]. Recommendation = [0.0, 0.1809, -0.3577], Current Cost = 5021.00, Rho = 0.521
(iter 10) [0.0, -0.3444, 0.8814] = 396.3000, sampling [1.0, -0.7720, -0.0116]. Recommendation = [0.0, -0.7282, 0.2506], Current Cost = 5022.00, Rho = 0.521
(iter 10) [0.0, -0.3444, 0.8814] = 396.3000, sampling [1.0, -0.4402, -0.3949]. Recommendation = [0.0, -0.7282, 0.2506], Current Cost = 5023.00, Rho = 0.521
(iter 10) [0.0, -0.3444, 0.8814] = 396.3000, sampling [1.0, -0.4151, -0.0919]. Recommendation = [0.0, -0.7282, 0.2506], Current Cost = 5024.00, Rho = 0.521
(iter 10) [0.0, -0.3444, 0.8814] = 396.3000, sampling [1.0, -0.5670, 0.5758]. Recommendation = [0.0, -0.7282, 0.2506], Current Cost = 5025.00, Rho = 0.521
(iter 10) [0.0, -0.3444, 0.8814] = 396.3000, sampling [1.0, -0.0462, -0.7324]. Recommendation = [0.0, -0.7282, 0.2506], Current Cost = 5026.00, Rho = 0.521
(iter 10) [0.0, -0.3444, 0.8814] = 396.3000, sampling [1.0, 0.4696, -0.6038]. Recommendation = [0.0, -0.7282, 0.2506], Current Cost = 5027.00, Rho = 0.521
(iter 10) [0.0, -0.3444, 0.8814] = 396.3000, sampling [1.0, 0.7256, 0.5881]. Recommendation = [0.0, -0.7282, 0.2506], Current Cost = 5028.00, Rho = 0.521
(iter 10) [0.0, -0.3444, 0.8814] = 396.3000, sampling [1.0, -0.1196, 0.0818]. Recommendation = [0.0, -0.7282, 0.2506], Current Cost = 5029.00, Rho = 0.521
(iter 10) [0.0, -0.3444, 0.8814] = 396.3000, sampling [1.0, 0.2996, 0.2564]. Recommendation = [0.0, -0.7282, 0.2506], Current Cost = 5030.00, Rho = 0.521
(iter 10) [0.0, -0.3444, 0.8814] = 396.3000, sampling [1.0, 0.6949, 0.9786]. Recommendation = [0.0, -0.7282, 0.2506], Current Cost = 5031.00, Rho = 0.521
(iter 10) [0.0, -0.3444, 0.8814] = 396.3000, sampling [1.0, 0.7879, 0.2336]. Recommendation = [0.0, -0.7282, 0.2506], Current Cost = 5032.00, Rho = 0.521
(iter 10) [0.0, -0.3444, 0.8814] = 396.3000, sampling [1.0, -1.0089, 0.5011]. Recommendation = [0.0, -0.7282, 0.2506], Current Cost = 5033.00, Rho = 0.521
(iter 10) [0.0, -0.3444, 0.8814] = 396.3000, sampling [1.0, -0.8845, 1.0686]. Recommendation = [0.0, -1.0089, 0.5011], Current Cost = 5034.00, Rho = 0.521
(iter 10) [0.0, -0.3444, 0.8814] = 396.3000, sampling [1.0, -1.2343, 0.7909]. Recommendation = [0.0, -0.8845, 1.0686], Current Cost = 5035.00, Rho = 0.521
(iter 10) [0.0, -0.3444, 0.8814] = 396.3000, sampling [1.0, -0.4790, 1.5607]. Recommendation = [0.0, -0.8845, 1.0686], Current Cost = 5036.00, Rho = 0.521
(iter 10) [0.0, -0.3444, 0.8814] = 396.3000, sampling [1.0, -0.6262, 0.8166]. Recommendation = [0.0, -0.8845, 1.0686], Current Cost = 5037.00, Rho = 0.521
(iter 10) [0.0, -0.3444, 0.8814] = 396.3000, sampling [1.0, -1.5001, 1.4067]. Recommendation = [0.0, -0.8845, 1.0686], Current Cost = 5038.00, Rho = 0.521
(iter 10) [0.0, -0.3444, 0.8814] = 396.3000, sampling [1.0, -1.3742, 0.9946]. Recommendation = [0.0, -1.5001, 1.4067], Current Cost = 5039.00, Rho = 0.521
(iter 10) [0.0, -0.3444, 0.8814] = 396.3000, sampling [1.0, -0.9993, 1.7339]. Recommendation = [0.0, -1.5001, 1.4067], Current Cost = 5040.00, Rho = 0.521
(iter 10) [0.0, -0.3444, 0.8814] = 396.3000, sampling [1.0, -0.8533, 1.4509]. Recommendation = [0.0, -0.9993, 1.7339], Current Cost = 5041.00, Rho = 0.521
(iter 10) [0.0, -0.3444, 0.8814] = 396.3000, sampling [1.0, -1.3873, 1.5802]. Recommendation = [0.0, -0.9993, 1.7339], Current Cost = 5042.00, Rho = 0.521
(iter 10) [0.0, -0.3444, 0.8814] = 396.3000, sampling [1.0, -1.8962, 1.6748]. Recommendation = [0.0, -1.3873, 1.5802], Current Cost = 5043.00, Rho = 0.521
(iter 10) [0.0, -0.3444, 0.8814] = 396.3000, sampling [1.0, -1.0910, 1.9780]. Recommendation = [0.0, -1.3873, 1.5802], Current Cost = 5044.00, Rho = 0.521
(iter 10) [0.0, -0.3444, 0.8814] = 396.3000, sampling [1.0, 0.3179, 1.9367]. Recommendation = [0.0, -1.3873, 1.5802], Current Cost = 5045.00, Rho = 0.521
(iter 10) [0.0, -0.3444, 0.8814] = 396.3000, sampling [1.0, -1.3176, 0.3858]. Recommendation = [0.0, -1.3873, 1.5802], Current Cost = 5046.00, Rho = 0.521
(iter 10) [0.0, -0.3444, 0.8814] = 396.3000, sampling [1.0, -0.1453, 1.2225]. Recommendation = [0.0, -1.3873, 1.5802], Current Cost = 5047.00, Rho = 0.521
(iter 10) [0.0, -0.3444, 0.8814] = 396.3000, sampling [1.0, 1.2052, 1.5069]. Recommendation = [0.0, -1.3873, 1.5802], Current Cost = 5048.00, Rho = 0.521
