(iter 10) [0.0, 0.9351, 0.8895] = 456.2728, sampling [1.0, 0.0491, 0.4565]. Recommendation = [0.0, 0.9351, 0.8895], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.9351, 0.8895] = 456.2728, sampling [1.0, -0.4899, 0.7530]. Recommendation = [0.0, 0.9351, 0.8895], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.9351, 0.8895] = 456.2728, sampling [1.0, -0.1997, 0.5226]. Recommendation = [0.0, 0.9351, 0.8895], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.9351, 0.8895] = 456.2728, sampling [1.0, 0.6298, 0.6009]. Recommendation = [0.0, 0.9351, 0.8895], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.9351, 0.8895] = 456.2728, sampling [1.0, 0.1595, 0.8526]. Recommendation = [0.0, 0.9351, 0.8895], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.9351, 0.8895] = 456.2728, sampling [1.0, 0.2864, 0.3746]. Recommendation = [0.0, 0.9351, 0.8895], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.9351, 0.8895] = 456.2728, sampling [1.0, -0.0402, 0.0486]. Recommendation = [0.0, 0.9351, 0.8895], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.9351, 0.8895] = 456.2728, sampling [1.0, 0.2321, -0.2322]. Recommendation = [0.0, 0.9351, 0.8895], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.9351, 0.8895] = 456.2728, sampling [1.0, 0.5082, 0.1285]. Recommendation = [0.0, 0.9351, 0.8895], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.9351, 0.8895] = 456.2728, sampling [1.0, 0.7177, 0.7983]. Recommendation = [0.0, 0.9351, 0.8895], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.9351, 0.8895] = 456.2728, sampling [1.0, -0.9295, 0.9385]. Recommendation = [0.0, 0.9351, 0.8895], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.9351, 0.8895] = 456.2728, sampling [1.0, -0.6612, 1.2011]. Recommendation = [0.0, 0.9351, 0.8895], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.9351, 0.8895] = 456.2728, sampling [1.0, -0.7471, 0.5076]. Recommendation = [0.0, 0.9351, 0.8895], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.9351, 0.8895] = 456.2728, sampling [1.0, -0.4307, 0.1869]. Recommendation = [0.0, 0.9351, 0.8895], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.9351, 0.8895] = 456.2728, sampling [1.0, -1.0707, 1.0815]. Recommendation = [0.0, 0.9351, 0.8895], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.9351, 0.8895] = 456.2728, sampling [1.0, 0.0098, -0.2047]. Recommendation = [0.0, 0.9351, 0.8895], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.9351, 0.8895] = 456.2728, sampling [1.0, -0.6258, 0.4666]. Recommendation = [0.0, 0.9351, 0.8895], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.9351, 0.8895] = 456.2728, sampling [1.0, 0.2577, 0.4888]. Recommendation = [0.0, 0.9351, 0.8895], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.9351, 0.8895] = 456.2728, sampling [1.0, 0.5861, 1.0530]. Recommendation = [0.0, 0.9351, 0.8895], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.9351, 0.8895] = 456.2728, sampling [1.0, -0.4407, 1.0168]. Recommendation = [0.0, 0.9351, 0.8895], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.9351, 0.8895] = 456.2728, sampling [1.0, -1.1309, 0.7488]. Recommendation = [0.0, 0.9351, 0.8895], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.9351, 0.8895] = 456.2728, sampling [1.0, -0.3733, -0.1542]. Recommendation = [0.0, 0.9351, 0.8895], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.9351, 0.8895] = 456.2728, sampling [1.0, -0.7788, 0.2846]. Recommendation = [0.0, -0.0977, 0.0968], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.9351, 0.8895] = 456.2728, sampling [1.0, -0.5723, -0.0507]. Recommendation = [0.0, -0.0977, 0.0968], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.9351, 0.8895] = 456.2728, sampling [1.0, -0.0977, 0.0968]. Recommendation = [0.0, 0.9351, 0.8895], Current Cost = 5029.00, Rho = 1.000
