(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, 0.3832, 0.6862]. Recommendation = [0.0, 0.0871, -0.2909], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, 0.2250, 0.2756]. Recommendation = [0.0, 0.0871, -0.2909], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, 0.5242, 1.3265]. Recommendation = [0.0, 0.4527, 0.2378], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, -0.1851, 0.9151]. Recommendation = [0.0, 0.4527, 0.2378], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, 0.7881, 0.4832]. Recommendation = [0.0, 0.4527, 0.2378], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, 1.3554, 1.5099]. Recommendation = [0.0, 0.4527, 0.2378], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, 1.1722, 1.0803]. Recommendation = [0.0, 0.4527, 0.2378], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, 0.7167, 1.9411]. Recommendation = [0.0, 0.4527, 0.2378], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, 1.9239, 1.7184]. Recommendation = [0.0, 0.4527, 0.2378], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, 1.0351, 1.4735]. Recommendation = [0.0, 0.4527, 0.2378], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, 0.9809, -0.5260]. Recommendation = [0.0, 0.4527, 0.2378], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, 0.4702, 0.2693]. Recommendation = [0.0, 0.4527, 0.2378], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, 0.0521, 1.2349]. Recommendation = [0.0, 0.4527, 0.2378], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, -0.0937, 0.5096]. Recommendation = [0.0, 0.4527, 0.2378], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, -0.0084, 0.0862]. Recommendation = [0.0, 0.4527, 0.2378], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, 0.9150, 0.6363]. Recommendation = [0.0, 0.1528, -0.1880], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, 0.8950, 0.3120]. Recommendation = [0.0, 0.1528, -0.1880], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, 1.5332, 1.0512]. Recommendation = [0.0, 0.1528, -0.1880], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, 0.3060, -0.3386]. Recommendation = [0.0, 0.1528, -0.1880], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, 0.1006, 0.8332]. Recommendation = [0.0, 0.1528, -0.1880], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, -0.0368, 1.8860]. Recommendation = [0.0, 0.1528, -0.1880], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, 1.9504, -0.9013]. Recommendation = [0.0, 0.1528, -0.1880], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, 1.1906, 0.7699]. Recommendation = [0.0, 0.1528, -0.1880], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, 0.3930, 0.5247]. Recommendation = [0.0, 0.1528, -0.1880], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, -0.5197, 0.7338]. Recommendation = [0.0, 0.1528, -0.1880], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, -0.3080, 0.1516]. Recommendation = [0.0, 0.1528, -0.1880], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, -0.6017, 1.0655]. Recommendation = [0.0, 0.1528, -0.1880], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, -0.5633, 0.3458]. Recommendation = [0.0, 0.1528, -0.1880], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, -0.4259, 0.5912]. Recommendation = [0.0, 0.1528, -0.1880], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, -1.0589, 1.4350]. Recommendation = [0.0, 0.1528, -0.1880], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, -1.0777, 0.8082]. Recommendation = [0.0, 0.1528, -0.1880], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, -1.4658, 1.9777]. Recommendation = [0.0, 0.1528, -0.1880], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, -1.4970, 1.5416]. Recommendation = [0.0, 0.1528, -0.1880], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, -0.9684, 1.9668]. Recommendation = [0.0, 0.1528, -0.1880], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, -1.9950, 1.6634]. Recommendation = [0.0, 0.1528, -0.1880], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, -0.8281, 0.9773]. Recommendation = [0.0, 0.1528, -0.1880], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, -0.7998, 1.3490]. Recommendation = [0.0, 0.1528, -0.1880], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, -0.8427, 0.4517]. Recommendation = [0.0, 0.1528, -0.1880], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, -0.7431, 0.7874]. Recommendation = [0.0, 0.1528, -0.1880], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, -1.4306, 1.7697]. Recommendation = [0.0, 0.1528, -0.1880], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, -1.2745, 1.9981]. Recommendation = [0.0, 0.1528, -0.1880], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, 1.3978, 1.8662]. Recommendation = [0.0, 0.1528, -0.1880], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, 1.0780, 1.9255]. Recommendation = [0.0, 0.1528, -0.1880], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, 0.7290, 0.5999]. Recommendation = [0.0, 0.1528, -0.1880], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, 0.1528, -0.1880]. Recommendation = [0.0, 0.1528, -0.1880], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, -0.2973, -0.0975]. Recommendation = [0.0, 0.4527, 0.2378], Current Cost = 5050.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, -0.4864, 0.0499]. Recommendation = [0.0, -0.1396, 0.1631], Current Cost = 5051.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, -0.1396, 0.1631]. Recommendation = [0.0, -0.1396, 0.1631], Current Cost = 5052.00, Rho = 1.000
(iter 10) [0.0, 0.0871, -0.2909] = 446.5598, sampling [1.0, 0.7437, 1.4968]. Recommendation = [0.0, 0.4527, 0.2378], Current Cost = 5053.00, Rho = 1.000
