(iter 10) [0.0, 0.0653, -0.1872] = 451.7603, sampling [1.0, 0.3846, 0.3462]. Recommendation = [0.0, 0.0653, -0.1872], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.0653, -0.1872] = 451.7603, sampling [1.0, 0.7379, 0.2188]. Recommendation = [0.0, 0.3846, 0.3462], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.0653, -0.1872] = 451.7603, sampling [1.0, 0.8891, 0.7146]. Recommendation = [0.0, 0.3846, 0.3462], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.0653, -0.1872] = 451.7603, sampling [1.0, 0.4252, -0.1155]. Recommendation = [0.0, 0.8891, 0.7146], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.0653, -0.1872] = 451.7603, sampling [1.0, 0.0543, 0.2280]. Recommendation = [0.0, 0.4032, 0.1476], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.0653, -0.1872] = 451.7603, sampling [1.0, 0.3665, 0.5611]. Recommendation = [0.0, 0.4032, 0.1476], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.0653, -0.1872] = 451.7603, sampling [1.0, 0.4032, 0.1476]. Recommendation = [0.0, 0.4032, 0.1476], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.0653, -0.1872] = 451.7603, sampling [1.0, 1.1096, 0.6037]. Recommendation = [0.0, 0.4032, 0.1476], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.0653, -0.1872] = 451.7603, sampling [1.0, -0.0825, 0.0453]. Recommendation = [0.0, 0.4032, 0.1476], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.0653, -0.1872] = 451.7603, sampling [1.0, 0.4648, 1.0208]. Recommendation = [0.0, 0.4032, 0.1476], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.0653, -0.1872] = 451.7603, sampling [1.0, 0.9482, 1.0860]. Recommendation = [0.0, 0.4032, 0.1476], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.0653, -0.1872] = 451.7603, sampling [1.0, 0.9645, 0.9228]. Recommendation = [0.0, 0.4032, 0.1476], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.0653, -0.1872] = 451.7603, sampling [1.0, 0.5500, 0.0535]. Recommendation = [0.0, 0.9645, 0.9228], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.0653, -0.1872] = 451.7603, sampling [1.0, 0.1802, 0.4468]. Recommendation = [0.0, 0.9645, 0.9228], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.0653, -0.1872] = 451.7603, sampling [1.0, 0.8276, -0.0624]. Recommendation = [0.0, 0.9645, 0.9228], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.0653, -0.1872] = 451.7603, sampling [1.0, -0.1421, 0.5504]. Recommendation = [0.0, 0.9645, 0.9228], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.0653, -0.1872] = 451.7603, sampling [1.0, -0.3163, -0.0187]. Recommendation = [0.0, 0.9645, 0.9228], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.0653, -0.1872] = 451.7603, sampling [1.0, -0.0768, -0.2031]. Recommendation = [0.0, 0.9645, 0.9228], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.0653, -0.1872] = 451.7603, sampling [1.0, 0.2882, 0.8095]. Recommendation = [0.0, 0.9645, 0.9228], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.0653, -0.1872] = 451.7603, sampling [1.0, -0.5664, 0.2621]. Recommendation = [0.0, 0.9645, 0.9228], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.0653, -0.1872] = 451.7603, sampling [1.0, -0.5175, 0.4831]. Recommendation = [0.0, 0.9645, 0.9228], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.0653, -0.1872] = 451.7603, sampling [1.0, -0.2721, 0.5120]. Recommendation = [0.0, 0.9645, 0.9228], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.0653, -0.1872] = 451.7603, sampling [1.0, -0.6946, 0.0097]. Recommendation = [0.0, 0.9645, 0.9228], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.0653, -0.1872] = 451.7603, sampling [1.0, -0.1972, 0.8499]. Recommendation = [0.0, 0.9645, 0.9228], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.0653, -0.1872] = 451.7603, sampling [1.0, 0.8767, 1.3190]. Recommendation = [0.0, 0.9645, 0.9228], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.0653, -0.1872] = 451.7603, sampling [1.0, 0.1680, -0.3980]. Recommendation = [0.0, 0.9645, 0.9228], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.0653, -0.1872] = 451.7603, sampling [1.0, -0.4777, -0.4033]. Recommendation = [0.0, 0.9645, 0.9228], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.0653, -0.1872] = 451.7603, sampling [1.0, 1.2002, 0.9884]. Recommendation = [0.0, 0.9645, 0.9228], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.0653, -0.1872] = 451.7603, sampling [1.0, 1.0228, 1.2506]. Recommendation = [0.0, 0.9645, 0.9228], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.0653, -0.1872] = 451.7603, sampling [1.0, -0.0118, 0.1864]. Recommendation = [0.0, 0.9645, 0.9228], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.0653, -0.1872] = 451.7603, sampling [1.0, 0.5154, 0.1344]. Recommendation = [0.0, 0.9645, 0.9228], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 0.0653, -0.1872] = 451.7603, sampling [1.0, -0.0261, -0.5057]. Recommendation = [0.0, 0.9645, 0.9228], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 0.0653, -0.1872] = 451.7603, sampling [1.0, 0.0971, 0.3156]. Recommendation = [0.0, 0.9645, 0.9228], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, 0.0653, -0.1872] = 451.7603, sampling [1.0, 0.5684, -0.0861]. Recommendation = [0.0, 0.9645, 0.9228], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, 0.0653, -0.1872] = 451.7603, sampling [1.0, -0.7964, 0.2403]. Recommendation = [0.0, 0.9645, 0.9228], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, 0.0653, -0.1872] = 451.7603, sampling [1.0, -0.6155, 0.7206]. Recommendation = [0.0, 0.9645, 0.9228], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, 0.0653, -0.1872] = 451.7603, sampling [1.0, -0.3885, 0.7865]. Recommendation = [0.0, 0.9645, 0.9228], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, 0.0653, -0.1872] = 451.7603, sampling [1.0, 0.5405, 1.3684]. Recommendation = [0.0, 0.9645, 0.9228], Current Cost = 5042.00, Rho = 1.000
