(iter 10) [0.0, -0.6372, -0.0530] = 432.5444, sampling [1.0, -0.1348, -0.2035]. Recommendation = [0.0, -0.6372, -0.0530], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.6372, -0.0530] = 432.5444, sampling [1.0, -0.4511, -0.3165]. Recommendation = [0.0, -0.1348, -0.2035], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.6372, -0.0530] = 432.5444, sampling [1.0, -0.2859, 0.0076]. Recommendation = [0.0, -0.1348, -0.2035], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.6372, -0.0530] = 432.5444, sampling [1.0, -0.0438, 0.1191]. Recommendation = [0.0, -0.2859, 0.0076], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.6372, -0.0530] = 432.5444, sampling [1.0, 0.1707, -0.2427]. Recommendation = [0.0, -0.2859, 0.0076], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.6372, -0.0530] = 432.5444, sampling [1.0, 0.2565, -0.0318]. Recommendation = [0.0, -0.2859, 0.0076], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.6372, -0.0530] = 432.5444, sampling [1.0, 0.0359, 0.1624]. Recommendation = [0.0, 0.2565, -0.0318], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.6372, -0.0530] = 432.5444, sampling [1.0, 0.2749, 0.0595]. Recommendation = [0.0, 0.2565, -0.0318], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.6372, -0.0530] = 432.5444, sampling [1.0, -0.0639, 0.3107]. Recommendation = [0.0, 0.2749, 0.0595], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.6372, -0.0530] = 432.5444, sampling [1.0, -0.4044, 0.1988]. Recommendation = [0.0, 0.2749, 0.0595], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.6372, -0.0530] = 432.5444, sampling [1.0, -0.3522, 0.2675]. Recommendation = [0.0, -0.2964, 0.0426], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.6372, -0.0530] = 432.5444, sampling [1.0, -0.2964, 0.0426]. Recommendation = [0.0, -0.2964, 0.0426], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.6372, -0.0530] = 432.5444, sampling [1.0, -0.2381, -0.4444]. Recommendation = [0.0, 0.2749, 0.0595], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.6372, -0.0530] = 432.5444, sampling [1.0, 0.4905, 0.2234]. Recommendation = [0.0, 0.2749, 0.0595], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.6372, -0.0530] = 432.5444, sampling [1.0, 0.0619, 0.4672]. Recommendation = [0.0, 0.2749, 0.0595], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.6372, -0.0530] = 432.5444, sampling [1.0, 0.5442, 0.4215]. Recommendation = [0.0, 0.2749, 0.0595], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.6372, -0.0530] = 432.5444, sampling [1.0, 0.4471, 0.5297]. Recommendation = [0.0, 0.2749, 0.0595], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.6372, -0.0530] = 432.5444, sampling [1.0, 0.5755, 0.2499]. Recommendation = [0.0, 0.2749, 0.0595], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.6372, -0.0530] = 432.5444, sampling [1.0, 0.6279, 0.3984]. Recommendation = [0.0, 0.2749, 0.0595], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.6372, -0.0530] = 432.5444, sampling [1.0, 0.7275, 0.3664]. Recommendation = [0.0, 0.2749, 0.0595], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.6372, -0.0530] = 432.5444, sampling [1.0, 0.6171, 0.5278]. Recommendation = [0.0, 0.2749, 0.0595], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.6372, -0.0530] = 432.5444, sampling [1.0, -0.5601, -0.1425]. Recommendation = [0.0, 0.2749, 0.0595], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.6372, -0.0530] = 432.5444, sampling [1.0, 0.7854, 0.3454]. Recommendation = [0.0, 0.2749, 0.0595], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.6372, -0.0530] = 432.5444, sampling [1.0, -0.4651, 0.2861]. Recommendation = [0.0, 0.2749, 0.0595], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.6372, -0.0530] = 432.5444, sampling [1.0, -0.3151, 0.5038]. Recommendation = [0.0, 0.2749, 0.0595], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -0.6372, -0.0530] = 432.5444, sampling [1.0, -0.0213, 0.6685]. Recommendation = [0.0, 0.2749, 0.0595], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -0.6372, -0.0530] = 432.5444, sampling [1.0, 0.9545, -0.0338]. Recommendation = [0.0, 0.2749, 0.0595], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -0.6372, -0.0530] = 432.5444, sampling [1.0, 0.6025, 0.5474]. Recommendation = [0.0, 0.2749, 0.0595], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -0.6372, -0.0530] = 432.5444, sampling [1.0, 0.2355, 0.8708]. Recommendation = [0.0, 0.2749, 0.0595], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, -0.6372, -0.0530] = 432.5444, sampling [1.0, 0.2506, -0.5407]. Recommendation = [0.0, 0.2749, 0.0595], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, -0.6372, -0.0530] = 432.5444, sampling [1.0, 1.0664, 0.5806]. Recommendation = [0.0, 0.2749, 0.0595], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, -0.6372, -0.0530] = 432.5444, sampling [1.0, 0.7153, 0.9336]. Recommendation = [0.0, 0.2749, 0.0595], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, -0.6372, -0.0530] = 432.5444, sampling [1.0, 1.0160, 0.8914]. Recommendation = [0.0, 0.2749, 0.0595], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, -0.6372, -0.0530] = 432.5444, sampling [1.0, 0.8604, 1.0449]. Recommendation = [0.0, 0.2749, 0.0595], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, -0.6372, -0.0530] = 432.5444, sampling [1.0, 1.1682, 0.8366]. Recommendation = [0.0, 0.2749, 0.0595], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, -0.6372, -0.0530] = 432.5444, sampling [1.0, 0.5837, 1.1855]. Recommendation = [0.0, 0.2749, 0.0595], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, -0.6372, -0.0530] = 432.5444, sampling [1.0, -0.3422, 0.6340]. Recommendation = [0.0, 0.2749, 0.0595], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, -0.6372, -0.0530] = 432.5444, sampling [1.0, -0.2428, -0.6601]. Recommendation = [0.0, 0.2749, 0.0595], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, -0.6372, -0.0530] = 432.5444, sampling [1.0, -0.5569, -0.4989]. Recommendation = [0.0, 0.2749, 0.0595], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, -0.6372, -0.0530] = 432.5444, sampling [1.0, 1.2459, 0.4091]. Recommendation = [0.0, 0.2749, 0.0595], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, -0.6372, -0.0530] = 432.5444, sampling [1.0, -0.6695, 0.5628]. Recommendation = [0.0, 0.2749, 0.0595], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, -0.6372, -0.0530] = 432.5444, sampling [1.0, -0.9431, 0.0840]. Recommendation = [0.0, 0.2749, 0.0595], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, -0.6372, -0.0530] = 432.5444, sampling [1.0, -0.7864, 0.6119]. Recommendation = [0.0, 0.2749, 0.0595], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, -0.6372, -0.0530] = 432.5444, sampling [1.0, -0.7040, 0.7592]. Recommendation = [0.0, 0.2749, 0.0595], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, -0.6372, -0.0530] = 432.5444, sampling [1.0, -0.7577, 0.7077]. Recommendation = [0.0, 0.2749, 0.0595], Current Cost = 5049.00, Rho = 1.000
