(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -0.0395, 0.5807]. Recommendation = [0.0, -0.0395, 0.5807], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.7032, -0.0120]. Recommendation = [0.0, 0.8289, 0.8095], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.4175, 1.3687]. Recommendation = [0.0, 0.8289, 0.8095], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 1.4072, 0.6233]. Recommendation = [0.0, 0.8289, 0.8095], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.0467, 0.0888]. Recommendation = [0.0, 0.8289, 0.8095], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.3631, -0.0216]. Recommendation = [0.0, 0.3631, -0.0216], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.5682, 0.7099]. Recommendation = [0.0, 0.0639, 0.2337], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -0.3217, 0.9836]. Recommendation = [0.0, 0.0639, 0.2337], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 1.0309, 1.2346]. Recommendation = [0.0, 0.0639, 0.2337], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -0.3554, 0.5109]. Recommendation = [0.0, 0.0639, 0.2337], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.8060, 0.4524]. Recommendation = [0.0, 0.0639, 0.2337], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.9768, 1.7923]. Recommendation = [0.0, 0.0639, 0.2337], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.5007, -0.3685]. Recommendation = [0.0, 0.0639, 0.2337], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 1.3620, 1.2549]. Recommendation = [0.0, 0.0639, 0.2337], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -0.2814, 0.2458]. Recommendation = [0.0, 0.0639, 0.2337], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.1996, -0.1494]. Recommendation = [0.0, 0.0639, 0.2337], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.0639, 0.2337]. Recommendation = [0.0, 0.0639, 0.2337], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 1.9949, 1.4017]. Recommendation = [0.0, 0.8289, 0.8095], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 1.0671, 0.8938]. Recommendation = [0.0, 0.8289, 0.8095], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.5396, 1.0380]. Recommendation = [0.0, 0.8289, 0.8095], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.9453, 0.2044]. Recommendation = [0.0, 0.8289, 0.8095], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 1.0086, 1.0693]. Recommendation = [0.0, 0.8289, 0.8095], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.7935, 1.3570]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -0.0678, 1.9500]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -0.5210, 0.5279]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.4822, -0.1382]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 1.0470, -0.4431]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -0.0543, 0.9228]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -0.7374, 0.7914]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -0.5620, 0.8375]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -0.0052, -0.3370]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -0.4225, 0.0165]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -0.4825, 0.4355]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -0.6888, 0.4942]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.9408, 0.4188]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 0.8858, 1.5633]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 1.1888, 0.9452]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, 1.1353, 1.9776]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -0.7990, 1.2983]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -0.6578, 1.0104]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -1.0440, 0.9016]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -1.0212, 1.0932]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -0.9063, 0.5303]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, 0.8289, 0.8095] = 454.7726, sampling [1.0, -1.2702, 1.3193]. Recommendation = [0.0, 1.0086, 1.0693], Current Cost = 5048.00, Rho = 1.000
