(iter 10) [0.0, -1.2274, 1.4837] = 451.2869, sampling [1.0, -1.0298, 0.9636]. Recommendation = [0.0, -1.2274, 1.4837], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -1.2274, 1.4837] = 451.2869, sampling [1.0, -0.8462, 0.6954]. Recommendation = [0.0, -1.2274, 1.4837], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -1.2274, 1.4837] = 451.2869, sampling [1.0, -0.8056, 0.3582]. Recommendation = [0.0, -0.8462, 0.6954], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -1.2274, 1.4837] = 451.2869, sampling [1.0, -1.2510, 1.0679]. Recommendation = [0.0, -0.8462, 0.6954], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -1.2274, 1.4837] = 451.2869, sampling [1.0, -0.9743, 1.2144]. Recommendation = [0.0, -0.8462, 0.6954], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -1.2274, 1.4837] = 451.2869, sampling [1.0, -0.6820, 0.9806]. Recommendation = [0.0, -0.8462, 0.6954], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -1.2274, 1.4837] = 451.2869, sampling [1.0, -0.6520, 0.4363]. Recommendation = [0.0, -0.8462, 0.6954], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -1.2274, 1.4837] = 451.2869, sampling [1.0, -1.1187, 0.1511]. Recommendation = [0.0, -0.6520, 0.4363], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -1.2274, 1.4837] = 451.2869, sampling [1.0, -0.5684, 0.5909]. Recommendation = [0.0, -0.6520, 0.4363], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -1.2274, 1.4837] = 451.2869, sampling [1.0, -0.9986, 1.4713]. Recommendation = [0.0, -0.6520, 0.4363], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -1.2274, 1.4837] = 451.2869, sampling [1.0, -0.6084, 0.2977]. Recommendation = [0.0, -0.6520, 0.4363], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -1.2274, 1.4837] = 451.2869, sampling [1.0, -0.6658, 0.3481]. Recommendation = [0.0, -0.6520, 0.4363], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -1.2274, 1.4837] = 451.2869, sampling [1.0, -1.0738, 1.0263]. Recommendation = [0.0, -0.6520, 0.4363], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -1.2274, 1.4837] = 451.2869, sampling [1.0, -1.1939, 0.8356]. Recommendation = [0.0, -0.6520, 0.4363], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -1.2274, 1.4837] = 451.2869, sampling [1.0, -0.3594, 0.1779]. Recommendation = [0.0, -0.6520, 0.4363], Current Cost = 5019.00, Rho = 1.000
