(iter 10) [0.0, -0.5869, -0.1493] = 429.3982, sampling [1.0, -0.2533, 0.3379]. Recommendation = [0.0, -0.5869, -0.1493], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.5869, -0.1493] = 429.3982, sampling [1.0, -0.0566, 0.0637]. Recommendation = [0.0, -0.2533, 0.3379], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.5869, -0.1493] = 429.3982, sampling [1.0, 0.3025, 0.7413]. Recommendation = [0.0, -0.0566, 0.0637], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.5869, -0.1493] = 429.3982, sampling [1.0, 0.0006, -0.0129]. Recommendation = [0.0, -0.0566, 0.0637], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.5869, -0.1493] = 429.3982, sampling [1.0, 0.0745, -0.0827]. Recommendation = [0.0, 0.0006, -0.0129], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.5869, -0.1493] = 429.3982, sampling [1.0, 0.3893, 0.2510]. Recommendation = [0.0, 0.0006, -0.0129], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.5869, -0.1493] = 429.3982, sampling [1.0, 0.5717, 0.0938]. Recommendation = [0.0, 0.0006, -0.0129], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.5869, -0.1493] = 429.3982, sampling [1.0, 0.4622, -0.1398]. Recommendation = [0.0, 0.0006, -0.0129], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.5869, -0.1493] = 429.3982, sampling [1.0, 0.0875, -0.2960]. Recommendation = [0.0, 0.0006, -0.0129], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.5869, -0.1493] = 429.3982, sampling [1.0, 0.3315, -0.2249]. Recommendation = [0.0, 0.0006, -0.0129], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.5869, -0.1493] = 429.3982, sampling [1.0, -0.4665, -0.0784]. Recommendation = [0.0, 0.0006, -0.0129], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.5869, -0.1493] = 429.3982, sampling [1.0, -0.4198, 0.3262]. Recommendation = [0.0, 0.0006, -0.0129], Current Cost = 5016.00, Rho = 1.000
