(iter 10) [0.0, -0.9032, -0.0120] = 384.1750, sampling [1.0, -0.3807, 0.1773]. Recommendation = [0.0, -0.9032, -0.0120], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.9032, -0.0120] = 384.1750, sampling [1.0, -0.2237, 0.5428]. Recommendation = [0.0, -0.3807, 0.1773], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.9032, -0.0120] = 384.1750, sampling [1.0, -0.3635, 0.3175]. Recommendation = [0.0, -0.3807, 0.1773], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.9032, -0.0120] = 384.1750, sampling [1.0, -0.5656, 0.2336]. Recommendation = [0.0, -0.3807, 0.1773], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.9032, -0.0120] = 384.1750, sampling [1.0, 0.0108, 0.4370]. Recommendation = [0.0, -0.3807, 0.1773], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.9032, -0.0120] = 384.1750, sampling [1.0, 0.0962, 0.0860]. Recommendation = [0.0, -0.3807, 0.1773], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.9032, -0.0120] = 384.1750, sampling [1.0, 0.1748, 0.3396]. Recommendation = [0.0, -0.3506, 0.2087], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.9032, -0.0120] = 384.1750, sampling [1.0, 0.0269, -0.1048]. Recommendation = [0.0, -0.3506, 0.2087], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.9032, -0.0120] = 384.1750, sampling [1.0, 0.3638, 0.1517]. Recommendation = [0.0, -0.3506, 0.2087], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.9032, -0.0120] = 384.1750, sampling [1.0, 0.2841, 0.3968]. Recommendation = [0.0, -0.3506, 0.2087], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.9032, -0.0120] = 384.1750, sampling [1.0, 0.2505, 0.6440]. Recommendation = [0.0, -0.3506, 0.2087], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.9032, -0.0120] = 384.1750, sampling [1.0, -0.5575, -0.3024]. Recommendation = [0.0, -0.3506, 0.2087], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.9032, -0.0120] = 384.1750, sampling [1.0, -0.1505, -0.3567]. Recommendation = [0.0, -0.3506, 0.2087], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.9032, -0.0120] = 384.1750, sampling [1.0, 0.3354, -0.1226]. Recommendation = [0.0, -0.3506, 0.2087], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.9032, -0.0120] = 384.1750, sampling [1.0, -0.3506, 0.2087]. Recommendation = [0.0, -0.3506, 0.2087], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.9032, -0.0120] = 384.1750, sampling [1.0, -0.0882, 0.6165]. Recommendation = [0.0, 0.3638, 0.1517], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.9032, -0.0120] = 384.1750, sampling [1.0, 0.6129, 0.4094]. Recommendation = [0.0, 0.3638, 0.1517], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.9032, -0.0120] = 384.1750, sampling [1.0, 0.5154, 0.5718]. Recommendation = [0.0, 0.3638, 0.1517], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.9032, -0.0120] = 384.1750, sampling [1.0, 0.6974, 0.1148]. Recommendation = [0.0, 0.3638, 0.1517], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.9032, -0.0120] = 384.1750, sampling [1.0, 0.7417, 0.6336]. Recommendation = [0.0, 0.3638, 0.1517], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.9032, -0.0120] = 384.1750, sampling [1.0, 0.8342, 0.6061]. Recommendation = [0.0, 0.3638, 0.1517], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.9032, -0.0120] = 384.1750, sampling [1.0, 0.3686, 0.7112]. Recommendation = [0.0, 0.3638, 0.1517], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.9032, -0.0120] = 384.1750, sampling [1.0, 0.5023, -0.1865]. Recommendation = [0.0, 0.3638, 0.1517], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.9032, -0.0120] = 384.1750, sampling [1.0, 1.0056, 0.7956]. Recommendation = [0.0, 0.3638, 0.1517], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.9032, -0.0120] = 384.1750, sampling [1.0, 1.1001, 0.6611]. Recommendation = [0.0, 0.3638, 0.1517], Current Cost = 5029.00, Rho = 1.000
