(iter 10) [0.0, -0.3317, -0.2671] = 440.3040, sampling [1.0, 0.0408, -0.1710]. Recommendation = [0.0, -0.3317, -0.2671], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.3317, -0.2671] = 440.3040, sampling [1.0, 0.2122, 0.0856]. Recommendation = [0.0, 0.0408, -0.1710], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.3317, -0.2671] = 440.3040, sampling [1.0, -0.0642, -0.0562]. Recommendation = [0.0, 0.2122, 0.0856], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.3317, -0.2671] = 440.3040, sampling [1.0, 0.1316, 0.4607]. Recommendation = [0.0, -0.0642, -0.0562], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.3317, -0.2671] = 440.3040, sampling [1.0, -0.1162, 0.3752]. Recommendation = [0.0, -0.0642, -0.0562], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.3317, -0.2671] = 440.3040, sampling [1.0, 0.5397, -0.0819]. Recommendation = [0.0, -0.0642, -0.0562], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.3317, -0.2671] = 440.3040, sampling [1.0, 0.2020, 0.2912]. Recommendation = [0.0, -0.0642, -0.0562], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.3317, -0.2671] = 440.3040, sampling [1.0, 0.0841, -0.4016]. Recommendation = [0.0, -0.0642, -0.0562], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.3317, -0.2671] = 440.3040, sampling [1.0, -0.3101, -0.0201]. Recommendation = [0.0, -0.0642, -0.0562], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.3317, -0.2671] = 440.3040, sampling [1.0, 0.0700, 0.9098]. Recommendation = [0.0, -0.1458, -0.1047], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.3317, -0.2671] = 440.3040, sampling [1.0, -0.2854, 0.1697]. Recommendation = [0.0, -0.1458, -0.1047], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.3317, -0.2671] = 440.3040, sampling [1.0, -0.1458, -0.1047]. Recommendation = [0.0, -0.1458, -0.1047], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.3317, -0.2671] = 440.3040, sampling [1.0, 0.3727, 0.6969]. Recommendation = [0.0, -0.0642, -0.0562], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.3317, -0.2671] = 440.3040, sampling [1.0, 0.6127, 0.0719]. Recommendation = [0.0, -0.0642, -0.0562], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.3317, -0.2671] = 440.3040, sampling [1.0, 0.2833, 0.4782]. Recommendation = [0.0, -0.0642, -0.0562], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.3317, -0.2671] = 440.3040, sampling [1.0, 0.8335, 0.5194]. Recommendation = [0.0, -0.0642, -0.0562], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.3317, -0.2671] = 440.3040, sampling [1.0, 0.7154, 0.7240]. Recommendation = [0.0, -0.0642, -0.0562], Current Cost = 5021.00, Rho = 1.000
