(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, 0.0302, 0.3275]. Recommendation = [0.0, -0.1019, -0.2257], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, -0.1382, 0.0395]. Recommendation = [0.0, -0.1019, -0.2257], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, 0.1527, 0.8366]. Recommendation = [0.0, -0.1382, 0.0395], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, -0.1537, 0.2863]. Recommendation = [0.0, -0.1382, 0.0395], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, -0.2068, -0.0958]. Recommendation = [0.0, -0.1382, 0.0395], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, -0.0307, -0.1413]. Recommendation = [0.0, -0.1382, 0.0395], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, 0.1882, 0.2693]. Recommendation = [0.0, -0.1382, 0.0395], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, 0.2259, -0.0692]. Recommendation = [0.0, -0.1382, 0.0395], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, 0.3739, 0.0908]. Recommendation = [0.0, -0.1382, 0.0395], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, 0.4795, 0.5096]. Recommendation = [0.0, 0.3739, 0.0908], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, 0.5168, 0.2201]. Recommendation = [0.0, 0.3739, 0.0908], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, 0.9728, 0.8854]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, 0.6327, 0.7907]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, 0.8805, 1.0583]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, 0.6176, 0.4511]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, 1.1380, 1.0223]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, 1.0942, 0.6402]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, 0.9876, 1.2031]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, 0.3030, 0.4858]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, 0.7501, 0.2259]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, 0.9562, 1.4100]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, 1.3400, 1.1243]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, 0.5760, 1.3475]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, -0.4790, 0.1767]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, -0.4116, -0.0511]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, -0.3032, 0.5905]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, -0.0848, 0.3965]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, -0.2130, -0.2040]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, 0.7024, 0.1423]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, 1.2956, 1.3673]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, 1.1948, 1.5621]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, 1.0252, 1.5157]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, 0.4420, 0.5566]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, 1.0231, 0.2890]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, 0.0428, 0.3805]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, 1.3002, 0.9059]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, 0.2223, 0.6340]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, -0.5709, 0.7030]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, -0.7963, 0.5234]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, -0.8140, 0.3503]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, -0.8207, 0.4453]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, -0.6578, 0.7373]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, -0.1633, -0.2441]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, 1.0479, 1.7463]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, -0.1891, 0.9597]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, 1.1060, 0.7178]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5050.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, -0.8712, 0.9708]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5051.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, -0.9698, 0.8005]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5052.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, -0.5450, 1.1434]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5053.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, -0.2279, -0.2138]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5054.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, -1.1555, 1.0352]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5055.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, -0.9479, 1.3036]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5056.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, -1.1336, 0.8255]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5057.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, -1.3093, 1.3226]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5058.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, -1.1103, 1.6001]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5059.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, -0.7465, 1.6436]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5060.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, -1.4068, 1.2220]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5061.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, 0.8761, 0.0171]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5062.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, 0.8446, 1.4067]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5063.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, 1.4833, 1.8158]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5064.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, 1.1247, 1.9220]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5065.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, 1.4412, 1.5987]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5066.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.2257] = 449.5146, sampling [1.0, 1.7454, 1.7645]. Recommendation = [0.0, 0.5168, 0.2201], Current Cost = 5067.00, Rho = 1.000
