(iter 10) [0.0, -0.1604, 1.4430] = 254.0934, sampling [1.0, 0.1473, -1.0018]. Recommendation = [0.0, -0.1604, 1.4430], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.1604, 1.4430] = 254.0934, sampling [1.0, 0.2050, -1.2043]. Recommendation = [0.0, 0.1473, -1.0018], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.1604, 1.4430] = 254.0934, sampling [1.0, -0.1880, -0.7247]. Recommendation = [0.0, 0.1473, -1.0018], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.1604, 1.4430] = 254.0934, sampling [1.0, -0.2437, -0.3557]. Recommendation = [0.0, -0.1880, -0.7247], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.1604, 1.4430] = 254.0934, sampling [1.0, 0.0859, -0.3470]. Recommendation = [0.0, -0.2437, -0.3557], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.1604, 1.4430] = 254.0934, sampling [1.0, -0.1180, -0.0287]. Recommendation = [0.0, 0.0859, -0.3470], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.1604, 1.4430] = 254.0934, sampling [1.0, -0.2196, -0.1935]. Recommendation = [0.0, -0.1180, -0.0287], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.1604, 1.4430] = 254.0934, sampling [1.0, -0.5074, -0.0808]. Recommendation = [0.0, -0.1180, -0.0287], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.1604, 1.4430] = 254.0934, sampling [1.0, -0.4496, 0.2269]. Recommendation = [0.0, -0.1180, -0.0287], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.1604, 1.4430] = 254.0934, sampling [1.0, -0.2030, 0.3008]. Recommendation = [0.0, -0.1180, -0.0287], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.1604, 1.4430] = 254.0934, sampling [1.0, -0.4691, 0.4870]. Recommendation = [0.0, -0.1180, -0.0287], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.1604, 1.4430] = 254.0934, sampling [1.0, 0.0096, 0.1655]. Recommendation = [0.0, -0.1180, -0.0287], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.1604, 1.4430] = 254.0934, sampling [1.0, -0.1590, 0.4487]. Recommendation = [0.0, -0.1180, -0.0287], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.1604, 1.4430] = 254.0934, sampling [1.0, -0.3503, 0.6051]. Recommendation = [0.0, -0.1180, -0.0287], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.1604, 1.4430] = 254.0934, sampling [1.0, 0.1774, -0.0346]. Recommendation = [0.0, -0.1180, -0.0287], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.1604, 1.4430] = 254.0934, sampling [1.0, -0.5709, 0.3804]. Recommendation = [0.0, 0.1774, -0.0346], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.1604, 1.4430] = 254.0934, sampling [1.0, -0.8216, 0.0814]. Recommendation = [0.0, -0.4909, 0.3055], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.1604, 1.4430] = 254.0934, sampling [1.0, -0.6748, -0.1231]. Recommendation = [0.0, -0.4909, 0.3055], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.1604, 1.4430] = 254.0934, sampling [1.0, -0.3644, -0.4399]. Recommendation = [0.0, -0.4909, 0.3055], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.1604, 1.4430] = 254.0934, sampling [1.0, -0.0573, 0.2421]. Recommendation = [0.0, -0.4909, 0.3055], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.1604, 1.4430] = 254.0934, sampling [1.0, -0.4909, 0.3055]. Recommendation = [0.0, -0.4909, 0.3055], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.1604, 1.4430] = 254.0934, sampling [1.0, 0.2276, -0.4199]. Recommendation = [0.0, 0.1774, -0.0346], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.1604, 1.4430] = 254.0934, sampling [1.0, 0.1719, 0.1176]. Recommendation = [0.0, 0.1774, -0.0346], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.1604, 1.4430] = 254.0934, sampling [1.0, 0.0641, 0.2621]. Recommendation = [0.0, 0.1434, 0.0162], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.1604, 1.4430] = 254.0934, sampling [1.0, -0.2739, 0.8063]. Recommendation = [0.0, 0.1434, 0.0162], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -0.1604, 1.4430] = 254.0934, sampling [1.0, -0.5826, 0.9397]. Recommendation = [0.0, 0.1434, 0.0162], Current Cost = 5030.00, Rho = 1.000
