(iter 10) [0.0, 0.6153, -0.0729] = 435.7715, sampling [1.0, 0.5001, 0.2066]. Recommendation = [0.0, 0.6153, -0.0729], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.6153, -0.0729] = 435.7715, sampling [1.0, 0.5755, 0.0743]. Recommendation = [0.0, 0.5001, 0.2066], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.6153, -0.0729] = 435.7715, sampling [1.0, 0.2867, 0.0978]. Recommendation = [0.0, 0.5001, 0.2066], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.6153, -0.0729] = 435.7715, sampling [1.0, 0.2002, 0.2551]. Recommendation = [0.0, 0.5001, 0.2066], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.6153, -0.0729] = 435.7715, sampling [1.0, 0.4740, 0.6443]. Recommendation = [0.0, 0.5001, 0.2066], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.6153, -0.0729] = 435.7715, sampling [1.0, 0.6417, 0.3877]. Recommendation = [0.0, 0.5001, 0.2066], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.6153, -0.0729] = 435.7715, sampling [1.0, 0.0819, 0.5663]. Recommendation = [0.0, 0.6417, 0.3877], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.6153, -0.0729] = 435.7715, sampling [1.0, 0.2280, 0.7404]. Recommendation = [0.0, 0.6417, 0.3877], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.6153, -0.0729] = 435.7715, sampling [1.0, 0.7425, 0.4476]. Recommendation = [0.0, 0.6417, 0.3877], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.6153, -0.0729] = 435.7715, sampling [1.0, 0.7115, 0.7360]. Recommendation = [0.0, 0.6417, 0.3877], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.6153, -0.0729] = 435.7715, sampling [1.0, 0.5782, 0.8515]. Recommendation = [0.0, 0.6417, 0.3877], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.6153, -0.0729] = 435.7715, sampling [1.0, 0.8644, 0.6628]. Recommendation = [0.0, 0.6417, 0.3877], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.6153, -0.0729] = 435.7715, sampling [1.0, 1.0123, 0.2648]. Recommendation = [0.0, 0.6417, 0.3877], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.6153, -0.0729] = 435.7715, sampling [1.0, 0.9370, 0.0242]. Recommendation = [0.0, 0.6417, 0.3877], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.6153, -0.0729] = 435.7715, sampling [1.0, 0.8239, 0.8462]. Recommendation = [0.0, 0.6417, 0.3877], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.6153, -0.0729] = 435.7715, sampling [1.0, 0.4345, 1.1336]. Recommendation = [0.0, 0.6417, 0.3877], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.6153, -0.0729] = 435.7715, sampling [1.0, 0.7218, 1.0521]. Recommendation = [0.0, 0.6417, 0.3877], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.6153, -0.0729] = 435.7715, sampling [1.0, 0.1254, 0.9974]. Recommendation = [0.0, 0.6417, 0.3877], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.6153, -0.0729] = 435.7715, sampling [1.0, 0.7808, -0.1245]. Recommendation = [0.0, 0.6417, 0.3877], Current Cost = 5023.00, Rho = 1.000
