(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, 0.2885, -0.0662]. Recommendation = [0.0, -1.1636, 1.5060], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, 0.5450, 0.0111]. Recommendation = [0.0, 0.2885, -0.0662], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, 0.2210, 0.2395]. Recommendation = [0.0, 0.2885, -0.0662], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, 0.5413, 0.2994]. Recommendation = [0.0, 0.2885, -0.0662], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, -0.1894, -0.1011]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, -0.2411, 0.4372]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, 0.0901, 0.4859]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, -0.1074, -0.2992]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, -0.4921, 0.1867]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, -0.6197, 0.7994]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, -0.4450, 0.4734]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, -0.9158, 1.0503]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, -0.4065, 1.1056]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, -0.2015, 0.6185]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, -0.7993, 0.4234]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, -0.5370, 0.5830]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, -0.5056, -0.0083]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, -0.7451, 0.2566]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, -0.2566, -0.0331]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, 0.6646, 0.1002]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, 0.5167, 0.5046]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, -1.1220, 1.1008]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, -0.0025, 0.8693]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, -0.8632, 1.5971]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, -0.3301, -0.1711]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, 0.4613, -0.1802]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, -1.0684, 0.9582]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, -0.4289, 0.3912]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, -0.7534, 0.0275]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, -0.5895, 0.0733]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, 0.3994, 0.8406]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, 0.8427, 0.5664]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, 0.8054, 0.1720]. Recommendation = [0.0, 0.5872, 0.3794], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, 0.5667, 0.7517]. Recommendation = [0.0, 0.5872, 0.3794], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, 0.5872, 0.3794]. Recommendation = [0.0, 0.5872, 0.3794], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, -0.3986, -0.4155]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, -0.6740, -0.2071]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, 0.0273, 0.6856]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, -0.5652, 1.4457]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, -1.0285, 0.2797]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, 0.1219, -0.4265]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, 0.8179, 0.8859]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, 0.6381, 0.9368]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, 0.9091, 0.5154]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, 0.8860, 0.6278]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, -0.1171, 0.5385]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5050.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, -0.9742, 1.0082]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5051.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, 0.2472, 1.0006]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5052.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, -0.8149, 0.3443]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5053.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, 1.1875, 0.6487]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5054.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, 0.6474, 1.0858]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5055.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, 0.0636, 1.3287]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5056.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, 0.6135, 0.8533]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5057.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, 0.9730, 1.2388]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5058.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, 1.2275, 1.1671]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5059.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, 0.9535, 1.3956]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5060.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, 0.7008, 1.5811]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5061.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, 0.9191, 1.3144]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5062.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, -0.2875, -0.1137]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5063.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, 1.3730, 1.4201]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5064.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, 1.3491, 1.1402]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5065.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, 1.1098, 1.7574]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5066.00, Rho = 1.000
(iter 10) [0.0, -1.1636, 1.5060] = 449.3039, sampling [1.0, 1.4113, 1.6799]. Recommendation = [0.0, 0.5413, 0.2994], Current Cost = 5067.00, Rho = 1.000
