(iter 10) [0.0, -0.8706, -0.3215] = 336.2613, sampling [1.0, -0.6097, -0.0189]. Recommendation = [0.0, -0.8706, -0.3215], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.8706, -0.3215] = 336.2613, sampling [1.0, -0.2877, -0.0495]. Recommendation = [0.0, -0.6097, -0.0189], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.8706, -0.3215] = 336.2613, sampling [1.0, -0.4065, -0.3600]. Recommendation = [0.0, -0.6097, -0.0189], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.8706, -0.3215] = 336.2613, sampling [1.0, -0.1910, 0.3516]. Recommendation = [0.0, -0.6097, -0.0189], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.8706, -0.3215] = 336.2613, sampling [1.0, 0.1468, -0.0323]. Recommendation = [0.0, -0.6097, -0.0189], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.8706, -0.3215] = 336.2613, sampling [1.0, -0.1231, 0.0749]. Recommendation = [0.0, -0.6097, -0.0189], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.8706, -0.3215] = 336.2613, sampling [1.0, -0.1360, -0.1750]. Recommendation = [0.0, -0.6097, -0.0189], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.8706, -0.3215] = 336.2613, sampling [1.0, -0.4840, 0.5265]. Recommendation = [0.0, -0.6097, -0.0189], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.8706, -0.3215] = 336.2613, sampling [1.0, 0.0654, 0.6664]. Recommendation = [0.0, -0.6097, -0.0189], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.8706, -0.3215] = 336.2613, sampling [1.0, -0.3042, 0.1401]. Recommendation = [0.0, -0.6097, -0.0189], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.8706, -0.3215] = 336.2613, sampling [1.0, -0.2133, 0.7259]. Recommendation = [0.0, -0.6097, -0.0189], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.8706, -0.3215] = 336.2613, sampling [1.0, 0.0014, 0.2836]. Recommendation = [0.0, -0.8706, -0.3215], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.8706, -0.3215] = 336.2613, sampling [1.0, -0.0386, -0.4858]. Recommendation = [0.0, -0.8706, -0.3215], Current Cost = 5017.00, Rho = 1.000
