(iter 10) [0.0, -0.8415, -0.2138] = 367.9082, sampling [1.0, -0.4933, -0.1649]. Recommendation = [0.0, -0.8415, -0.2138], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.8415, -0.2138] = 367.9082, sampling [1.0, -0.2854, 0.1629]. Recommendation = [0.0, -0.4933, -0.1649], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.8415, -0.2138] = 367.9082, sampling [1.0, -0.2144, -0.0803]. Recommendation = [0.0, -0.2854, 0.1629], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.8415, -0.2138] = 367.9082, sampling [1.0, 0.0007, 0.1381]. Recommendation = [0.0, -0.2854, 0.1629], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.8415, -0.2138] = 367.9082, sampling [1.0, -0.0885, 0.0012]. Recommendation = [0.0, -0.2854, 0.1629], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.8415, -0.2138] = 367.9082, sampling [1.0, -0.2917, 0.3659]. Recommendation = [0.0, -0.0885, 0.0012], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.8415, -0.2138] = 367.9082, sampling [1.0, 0.0715, 0.3079]. Recommendation = [0.0, -0.0885, 0.0012], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.8415, -0.2138] = 367.9082, sampling [1.0, 0.1015, -0.1264]. Recommendation = [0.0, -0.0885, 0.0012], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.8415, -0.2138] = 367.9082, sampling [1.0, -0.5781, 0.4734]. Recommendation = [0.0, -0.0427, -0.0052], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.8415, -0.2138] = 367.9082, sampling [1.0, -0.3565, 0.7140]. Recommendation = [0.0, -0.0427, -0.0052], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.8415, -0.2138] = 367.9082, sampling [1.0, 0.0262, 0.8421]. Recommendation = [0.0, -0.0427, -0.0052], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.8415, -0.2138] = 367.9082, sampling [1.0, 0.3857, 0.0375]. Recommendation = [0.0, -0.0427, -0.0052], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.8415, -0.2138] = 367.9082, sampling [1.0, 0.4129, 0.3746]. Recommendation = [0.0, -0.0427, -0.0052], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.8415, -0.2138] = 367.9082, sampling [1.0, 0.1332, 0.2006]. Recommendation = [0.0, 0.1332, 0.2006], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.8415, -0.2138] = 367.9082, sampling [1.0, 0.2904, -0.0994]. Recommendation = [0.0, -0.0427, -0.0052], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.8415, -0.2138] = 367.9082, sampling [1.0, 0.1747, -0.4359]. Recommendation = [0.0, -0.0427, -0.0052], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.8415, -0.2138] = 367.9082, sampling [1.0, 0.2323, -0.2779]. Recommendation = [0.0, -0.0427, -0.0052], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.8415, -0.2138] = 367.9082, sampling [1.0, -0.3374, -0.4553]. Recommendation = [0.0, -0.0427, -0.0052], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.8415, -0.2138] = 367.9082, sampling [1.0, 0.5017, 0.6137]. Recommendation = [0.0, -0.0427, -0.0052], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.8415, -0.2138] = 367.9082, sampling [1.0, 0.6073, 0.2385]. Recommendation = [0.0, -0.0427, -0.0052], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.8415, -0.2138] = 367.9082, sampling [1.0, 0.6651, -0.0262]. Recommendation = [0.0, -0.0427, -0.0052], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.8415, -0.2138] = 367.9082, sampling [1.0, 0.3769, -0.3789]. Recommendation = [0.0, -0.0427, -0.0052], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.8415, -0.2138] = 367.9082, sampling [1.0, 0.5322, 0.3417]. Recommendation = [0.0, -0.0427, -0.0052], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.8415, -0.2138] = 367.9082, sampling [1.0, 0.6892, -0.2432]. Recommendation = [0.0, 0.5322, 0.3417], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.8415, -0.2138] = 367.9082, sampling [1.0, -0.5152, 0.5527]. Recommendation = [0.0, 0.5322, 0.3417], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -0.8415, -0.2138] = 367.9082, sampling [1.0, -0.3113, 0.2718]. Recommendation = [0.0, 0.5322, 0.3417], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -0.8415, -0.2138] = 367.9082, sampling [1.0, 0.4904, 0.9005]. Recommendation = [0.0, 0.5322, 0.3417], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -0.8415, -0.2138] = 367.9082, sampling [1.0, 0.2187, 0.8621]. Recommendation = [0.0, 0.5322, 0.3417], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -0.8415, -0.2138] = 367.9082, sampling [1.0, 0.7117, 0.5360]. Recommendation = [0.0, 0.5322, 0.3417], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, -0.8415, -0.2138] = 367.9082, sampling [1.0, 0.7255, 0.3256]. Recommendation = [0.0, 0.7117, 0.5360], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, -0.8415, -0.2138] = 367.9082, sampling [1.0, 0.7386, 0.1123]. Recommendation = [0.0, 0.7117, 0.5360], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, -0.8415, -0.2138] = 367.9082, sampling [1.0, -0.8309, 0.0275]. Recommendation = [0.0, 0.7117, 0.5360], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, -0.8415, -0.2138] = 367.9082, sampling [1.0, 0.3522, -0.7067]. Recommendation = [0.0, 0.7117, 0.5360], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, -0.8415, -0.2138] = 367.9082, sampling [1.0, 0.1790, -0.1930]. Recommendation = [0.0, 0.7117, 0.5360], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, -0.8415, -0.2138] = 367.9082, sampling [1.0, 0.6389, -0.6248]. Recommendation = [0.0, 0.7117, 0.5360], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, -0.8415, -0.2138] = 367.9082, sampling [1.0, -0.2313, 1.0846]. Recommendation = [0.0, 0.7117, 0.5360], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, -0.8415, -0.2138] = 367.9082, sampling [1.0, -0.6101, 0.6635]. Recommendation = [0.0, 0.7117, 0.5360], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, -0.8415, -0.2138] = 367.9082, sampling [1.0, -0.2438, 0.7748]. Recommendation = [0.0, 0.7117, 0.5360], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, -0.8415, -0.2138] = 367.9082, sampling [1.0, -0.8497, 0.6786]. Recommendation = [0.0, 0.7117, 0.5360], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, -0.8415, -0.2138] = 367.9082, sampling [1.0, -0.6865, 1.1430]. Recommendation = [0.0, 0.7117, 0.5360], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, -0.8415, -0.2138] = 367.9082, sampling [1.0, -1.0068, 0.5886]. Recommendation = [0.0, 0.7117, 0.5360], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, -0.8415, -0.2138] = 367.9082, sampling [1.0, -0.5035, 0.6953]. Recommendation = [0.0, 0.7117, 0.5360], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, -0.8415, -0.2138] = 367.9082, sampling [1.0, -1.1119, 0.9767]. Recommendation = [0.0, 0.7117, 0.5360], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, -0.8415, -0.2138] = 367.9082, sampling [1.0, -0.9075, 1.1675]. Recommendation = [0.0, 0.7117, 0.5360], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, -0.8415, -0.2138] = 367.9082, sampling [1.0, -1.1904, 0.8094]. Recommendation = [0.0, 0.7117, 0.5360], Current Cost = 5049.00, Rho = 1.000
