(iter 10) [0.0, -1.0327, 1.7370] = 407.2075, sampling [1.0, 0.2075, -0.2731]. Recommendation = [0.0, -1.0327, 1.7370], Current Cost = 5005.00, Rho = 0.918
(iter 10) [0.0, -1.0327, 1.7370] = 407.2075, sampling [1.0, 0.3067, 0.2355]. Recommendation = [0.0, -1.0327, 1.7370], Current Cost = 5006.00, Rho = 0.918
(iter 10) [0.0, -1.0327, 1.7370] = 407.2075, sampling [1.0, 0.6322, -0.0391]. Recommendation = [0.0, -1.0327, 1.7370], Current Cost = 5007.00, Rho = 0.918
(iter 10) [0.0, -1.0327, 1.7370] = 407.2075, sampling [1.0, 0.0434, -0.0075]. Recommendation = [0.0, -1.0327, 1.7370], Current Cost = 5008.00, Rho = 0.918
(iter 10) [0.0, -1.0327, 1.7370] = 407.2075, sampling [1.0, -0.1896, 0.6280]. Recommendation = [0.0, -1.0327, 1.7370], Current Cost = 5009.00, Rho = 0.918
(iter 10) [0.0, -1.0327, 1.7370] = 407.2075, sampling [1.0, -0.7932, 1.4288]. Recommendation = [0.0, -1.0327, 1.7370], Current Cost = 5010.00, Rho = 0.918
(iter 10) [0.0, -1.0327, 1.7370] = 407.2075, sampling [1.0, -0.0578, -0.4341]. Recommendation = [0.0, -1.0327, 1.7370], Current Cost = 5011.00, Rho = 0.918
(iter 10) [0.0, -1.0327, 1.7370] = 407.2075, sampling [1.0, 0.3532, -0.5424]. Recommendation = [0.0, -1.0327, 1.7370], Current Cost = 5012.00, Rho = 0.918
(iter 10) [0.0, -1.0327, 1.7370] = 407.2075, sampling [1.0, -0.2534, 0.3399]. Recommendation = [0.0, -1.0327, 1.7370], Current Cost = 5013.00, Rho = 0.918
(iter 10) [0.0, -1.0327, 1.7370] = 407.2075, sampling [1.0, 0.1157, -0.6895]. Recommendation = [0.0, -1.0327, 1.7370], Current Cost = 5014.00, Rho = 0.918
(iter 10) [0.0, -1.0327, 1.7370] = 407.2075, sampling [1.0, -0.1756, -0.1989]. Recommendation = [0.0, -1.0327, 1.7370], Current Cost = 5015.00, Rho = 0.918
(iter 10) [0.0, -1.0327, 1.7370] = 407.2075, sampling [1.0, -0.6130, 1.0192]. Recommendation = [0.0, -1.0327, 1.7370], Current Cost = 5016.00, Rho = 0.918
(iter 10) [0.0, -1.0327, 1.7370] = 407.2075, sampling [1.0, -0.5830, 0.3956]. Recommendation = [0.0, -1.0327, 1.7370], Current Cost = 5017.00, Rho = 0.918
