(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, 0.3648, 0.6294]. Recommendation = [0.0, 0.4838, 0.1623], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, 0.1099, 1.4594]. Recommendation = [0.0, 0.4838, 0.1623], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, 0.7114, -0.0170]. Recommendation = [0.0, 0.4838, 0.1623], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, 0.9817, 0.6550]. Recommendation = [0.0, 0.4838, 0.1623], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, -0.0845, 0.2288]. Recommendation = [0.0, 0.4838, 0.1623], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, 1.4961, 0.4415]. Recommendation = [0.0, 0.4838, 0.1623], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, -0.4386, 0.8705]. Recommendation = [0.0, 0.4838, 0.1623], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, 0.2822, -0.2970]. Recommendation = [0.0, 0.4838, 0.1623], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, 0.7998, 1.1406]. Recommendation = [0.0, 0.4838, 0.1623], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, 0.4838, 0.1623]. Recommendation = [0.0, 0.4838, 0.1623], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, -0.0208, -0.0054]. Recommendation = [0.0, -0.0208, -0.0054], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, 0.0874, 0.3401]. Recommendation = [0.0, 0.0874, 0.3401], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, 0.8476, 0.8981]. Recommendation = [0.0, 0.4838, 0.1623], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, 0.7445, 0.3085]. Recommendation = [0.0, 0.4838, 0.1623], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, -0.2354, 0.5453]. Recommendation = [0.0, 0.5524, 0.3296], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, -0.5484, 1.4085]. Recommendation = [0.0, 0.5524, 0.3296], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, 1.0788, 1.6697]. Recommendation = [0.0, 0.5524, 0.3296], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, 0.5322, 0.9896]. Recommendation = [0.0, 0.5524, 0.3296], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, 1.6570, 1.8752]. Recommendation = [0.0, 0.5524, 0.3296], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, 1.4023, 1.4380]. Recommendation = [0.0, 0.5524, 0.3296], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, 0.5524, 0.3296]. Recommendation = [0.0, 0.5524, 0.3296], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, -0.9599, 1.0134]. Recommendation = [0.0, 0.5524, 0.3296], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, -0.6722, 0.5116]. Recommendation = [0.0, 0.5524, 0.3296], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, -0.7472, 0.8103]. Recommendation = [0.0, 0.5524, 0.3296], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, -0.4121, 0.3827]. Recommendation = [0.0, 0.5524, 0.3296], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, -0.2558, 0.0263]. Recommendation = [0.0, 0.5524, 0.3296], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, 1.0341, 1.9573]. Recommendation = [0.0, -0.0744, -0.0826], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, 0.9461, 1.2419]. Recommendation = [0.0, -0.0744, -0.0826], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, -1.3982, 1.9240]. Recommendation = [0.0, -0.0744, -0.0826], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, -1.4215, 1.5549]. Recommendation = [0.0, -0.0744, -0.0826], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, -0.5734, 1.9422]. Recommendation = [0.0, -0.0744, -0.0826], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, -1.1744, 1.1215]. Recommendation = [0.0, -0.0744, -0.0826], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, -1.1920, 0.8448]. Recommendation = [0.0, -0.0744, -0.0826], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, -1.7488, 1.4972]. Recommendation = [0.0, -0.0744, -0.0826], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, -1.2937, 1.7587]. Recommendation = [0.0, -0.0744, -0.0826], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, -0.9100, 0.6131]. Recommendation = [0.0, -0.0744, -0.0826], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, 0.4704, -0.4007]. Recommendation = [0.0, -0.0744, -0.0826], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, 0.2187, 0.4892]. Recommendation = [0.0, -0.0744, -0.0826], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, 0.6406, 1.5869]. Recommendation = [0.0, -0.0744, -0.0826], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, 1.2568, 1.7329]. Recommendation = [0.0, -0.0744, -0.0826], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, 1.2288, 1.0490]. Recommendation = [0.0, -0.0744, -0.0826], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, -0.5828, 0.5933]. Recommendation = [0.0, -0.0744, -0.0826], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, 0.8884, -0.2578]. Recommendation = [0.0, -0.0744, -0.0826], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, 1.7037, 1.5351]. Recommendation = [0.0, -0.0744, -0.0826], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, 0.9380, 0.9547]. Recommendation = [0.0, -0.0744, -0.0826], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, -0.0744, -0.0826]. Recommendation = [0.0, -0.0744, -0.0826], Current Cost = 5050.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, -0.7351, 0.3867]. Recommendation = [0.0, 0.5524, 0.3296], Current Cost = 5051.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, -0.4530, -0.1100]. Recommendation = [0.0, 0.5524, 0.3296], Current Cost = 5052.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, 0.6233, -0.1267]. Recommendation = [0.0, 0.5524, 0.3296], Current Cost = 5053.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, 0.0512, 1.0847]. Recommendation = [0.0, 0.5524, 0.3296], Current Cost = 5054.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, 0.2262, -0.5083]. Recommendation = [0.0, 0.5524, 0.3296], Current Cost = 5055.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, 1.2683, 1.8982]. Recommendation = [0.0, 0.5524, 0.3296], Current Cost = 5056.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, -0.8592, 0.0821]. Recommendation = [0.0, 0.5524, 0.3296], Current Cost = 5057.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, -0.9163, 0.4594]. Recommendation = [0.0, 0.5524, 0.3296], Current Cost = 5058.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, -0.6110, 0.7716]. Recommendation = [0.0, 0.5524, 0.3296], Current Cost = 5059.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, -1.4339, 1.2580]. Recommendation = [0.0, 0.5524, 0.3296], Current Cost = 5060.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, -0.2687, 0.8237]. Recommendation = [0.0, 0.5524, 0.3296], Current Cost = 5061.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, -1.2130, 0.3640]. Recommendation = [0.0, 0.5524, 0.3296], Current Cost = 5062.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, -1.4573, 1.7943]. Recommendation = [0.0, 0.5524, 0.3296], Current Cost = 5063.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, 0.8121, 1.3206]. Recommendation = [0.0, 0.5524, 0.3296], Current Cost = 5064.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, 1.0689, 0.2405]. Recommendation = [0.0, 0.5524, 0.3296], Current Cost = 5065.00, Rho = 1.000
(iter 10) [0.0, -0.1019, -0.3454] = 442.4265, sampling [1.0, 0.0399, 0.4036]. Recommendation = [0.0, 0.5524, 0.3296], Current Cost = 5066.00, Rho = 1.000
