(iter 10) [0.0, 0.1258, -0.8131] = 386.8295, sampling [1.0, -0.0335, -0.6396]. Recommendation = [0.0, 0.1258, -0.8131], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.1258, -0.8131] = 386.8295, sampling [1.0, 0.1003, -0.1783]. Recommendation = [0.0, 0.1258, -0.8131], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.1258, -0.8131] = 386.8295, sampling [1.0, -0.2027, -0.1084]. Recommendation = [0.0, 0.1258, -0.8131], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.1258, -0.8131] = 386.8295, sampling [1.0, -0.2930, -0.3697]. Recommendation = [0.0, 0.1258, -0.8131], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.1258, -0.8131] = 386.8295, sampling [1.0, -0.0979, -0.5562]. Recommendation = [0.0, 0.1258, -0.8131], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.1258, -0.8131] = 386.8295, sampling [1.0, -0.0535, 0.2435]. Recommendation = [0.0, 0.1258, -0.8131], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.1258, -0.8131] = 386.8295, sampling [1.0, -0.0781, 0.0075]. Recommendation = [0.0, 0.1258, -0.8131], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.1258, -0.8131] = 386.8295, sampling [1.0, 0.2296, -0.2975]. Recommendation = [0.0, 0.1258, -0.8131], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.1258, -0.8131] = 386.8295, sampling [1.0, -0.3555, 0.1378]. Recommendation = [0.0, 0.1258, -0.8131], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.1258, -0.8131] = 386.8295, sampling [1.0, 0.0094, 0.5386]. Recommendation = [0.0, 0.1258, -0.8131], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.1258, -0.8131] = 386.8295, sampling [1.0, 0.2591, -0.1521]. Recommendation = [0.0, 0.1258, -0.8131], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.1258, -0.8131] = 386.8295, sampling [1.0, -0.4408, -0.1251]. Recommendation = [0.0, 0.1258, -0.8131], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.1258, -0.8131] = 386.8295, sampling [1.0, -0.3129, 0.6840]. Recommendation = [0.0, 0.1258, -0.8131], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.1258, -0.8131] = 386.8295, sampling [1.0, 0.4040, 0.4309]. Recommendation = [0.0, 0.1258, -0.8131], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.1258, -0.8131] = 386.8295, sampling [1.0, -0.4155, -0.6075]. Recommendation = [0.0, 0.1258, -0.8131], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.1258, -0.8131] = 386.8295, sampling [1.0, 0.0602, 0.3983]. Recommendation = [0.0, 0.1258, -0.8131], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.1258, -0.8131] = 386.8295, sampling [1.0, 0.5549, 0.1069]. Recommendation = [0.0, 0.1258, -0.8131], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.1258, -0.8131] = 386.8295, sampling [1.0, 0.0675, 1.0100]. Recommendation = [0.0, 0.1258, -0.8131], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.1258, -0.8131] = 386.8295, sampling [1.0, -0.6246, 0.3720]. Recommendation = [0.0, 0.1258, -0.8131], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.1258, -0.8131] = 386.8295, sampling [1.0, -0.5521, 0.0419]. Recommendation = [0.0, 0.1258, -0.8131], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.1258, -0.8131] = 386.8295, sampling [1.0, 0.4205, -0.3999]. Recommendation = [0.0, 0.1258, -0.8131], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.1258, -0.8131] = 386.8295, sampling [1.0, -0.5947, -0.3626]. Recommendation = [0.0, 0.1258, -0.8131], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.1258, -0.8131] = 386.8295, sampling [1.0, 0.5104, 0.6374]. Recommendation = [0.0, 0.1258, -0.8131], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.1258, -0.8131] = 386.8295, sampling [1.0, -0.3836, 1.0013]. Recommendation = [0.0, 0.1258, -0.8131], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.1258, -0.8131] = 386.8295, sampling [1.0, 0.7183, 0.3387]. Recommendation = [0.0, 0.1258, -0.8131], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.1258, -0.8131] = 386.8295, sampling [1.0, 0.5731, -0.0065]. Recommendation = [0.0, 0.1258, -0.8131], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.1258, -0.8131] = 386.8295, sampling [1.0, 0.4868, 0.4476]. Recommendation = [0.0, 0.1258, -0.8131], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.1258, -0.8131] = 386.8295, sampling [1.0, 0.3859, 0.7671]. Recommendation = [0.0, 0.1258, -0.8131], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.1258, -0.8131] = 386.8295, sampling [1.0, -0.7975, 0.5235]. Recommendation = [0.0, 0.1258, -0.8131], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.1258, -0.8131] = 386.8295, sampling [1.0, -0.8236, -0.2246]. Recommendation = [0.0, 0.1258, -0.8131], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.1258, -0.8131] = 386.8295, sampling [1.0, -0.1233, 0.8602]. Recommendation = [0.0, 0.1258, -0.8131], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 0.1258, -0.8131] = 386.8295, sampling [1.0, -0.6823, 1.0659]. Recommendation = [0.0, 0.1258, -0.8131], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 0.1258, -0.8131] = 386.8295, sampling [1.0, -0.8655, 0.7974]. Recommendation = [0.0, 0.1258, -0.8131], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, 0.1258, -0.8131] = 386.8295, sampling [1.0, 0.3733, -0.7388]. Recommendation = [0.0, 0.1258, -0.8131], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, 0.1258, -0.8131] = 386.8295, sampling [1.0, 0.4697, -0.3367]. Recommendation = [0.0, 0.1258, -0.8131], Current Cost = 5039.00, Rho = 1.000
