(iter 10) [0.0, 0.3695, 1.0499] = 372.4790, sampling [1.0, -0.2258, -0.7970]. Recommendation = [0.0, 0.3695, 1.0499], Current Cost = 5005.00, Rho = 0.855
(iter 10) [0.0, 0.3695, 1.0499] = 372.4790, sampling [1.0, 0.1193, -0.6681]. Recommendation = [0.0, 0.3695, 1.0499], Current Cost = 5006.00, Rho = 0.855
(iter 10) [0.0, 0.3695, 1.0499] = 372.4790, sampling [1.0, -0.1543, -0.2679]. Recommendation = [0.0, 0.3695, 1.0499], Current Cost = 5007.00, Rho = 0.855
(iter 10) [0.0, 0.3695, 1.0499] = 372.4790, sampling [1.0, 0.3312, 0.3480]. Recommendation = [0.0, 0.3695, 1.0499], Current Cost = 5008.00, Rho = 0.855
(iter 10) [0.0, 0.3695, 1.0499] = 372.4790, sampling [1.0, 0.2578, -0.1181]. Recommendation = [0.0, 0.3695, 1.0499], Current Cost = 5009.00, Rho = 0.855
(iter 10) [0.0, 0.3695, 1.0499] = 372.4790, sampling [1.0, 0.1657, 0.8511]. Recommendation = [0.0, 0.3695, 1.0499], Current Cost = 5010.00, Rho = 0.855
(iter 10) [0.0, 0.3695, 1.0499] = 372.4790, sampling [1.0, 0.4953, 0.6166]. Recommendation = [0.0, 0.3695, 1.0499], Current Cost = 5011.00, Rho = 0.855
(iter 10) [0.0, 0.3695, 1.0499] = 372.4790, sampling [1.0, -0.3057, -0.4165]. Recommendation = [0.0, 0.3695, 1.0499], Current Cost = 5012.00, Rho = 0.855
(iter 10) [0.0, 0.3695, 1.0499] = 372.4790, sampling [1.0, 0.5458, 0.8867]. Recommendation = [0.0, 0.3695, 1.0499], Current Cost = 5013.00, Rho = 0.855
(iter 10) [0.0, 0.3695, 1.0499] = 372.4790, sampling [1.0, 0.0706, 0.0333]. Recommendation = [0.0, 0.3695, 1.0499], Current Cost = 5014.00, Rho = 0.855
(iter 10) [0.0, 0.3695, 1.0499] = 372.4790, sampling [1.0, 0.0486, 0.4290]. Recommendation = [0.0, 0.3695, 1.0499], Current Cost = 5015.00, Rho = 0.855
(iter 10) [0.0, 0.3695, 1.0499] = 372.4790, sampling [1.0, -0.0235, -0.7426]. Recommendation = [0.0, 0.3695, 1.0499], Current Cost = 5016.00, Rho = 0.855
(iter 10) [0.0, 0.3695, 1.0499] = 372.4790, sampling [1.0, 0.5166, 0.9994]. Recommendation = [0.0, 0.3695, 1.0499], Current Cost = 5017.00, Rho = 0.855
(iter 10) [0.0, 0.3695, 1.0499] = 372.4790, sampling [1.0, 0.2254, 0.1347]. Recommendation = [0.0, 0.3695, 1.0499], Current Cost = 5018.00, Rho = 0.855
(iter 10) [0.0, 0.3695, 1.0499] = 372.4790, sampling [1.0, -0.0845, -0.1456]. Recommendation = [0.0, 0.3695, 1.0499], Current Cost = 5019.00, Rho = 0.855
(iter 10) [0.0, 0.3695, 1.0499] = 372.4790, sampling [1.0, 0.4332, -0.4768]. Recommendation = [0.0, 0.3695, 1.0499], Current Cost = 5020.00, Rho = 0.855
(iter 10) [0.0, 0.3695, 1.0499] = 372.4790, sampling [1.0, -0.4094, -0.4617]. Recommendation = [0.0, 0.3695, 1.0499], Current Cost = 5021.00, Rho = 0.855
(iter 10) [0.0, 0.3695, 1.0499] = 372.4790, sampling [1.0, 0.7140, 0.4685]. Recommendation = [0.0, 0.3695, 1.0499], Current Cost = 5022.00, Rho = 0.855
(iter 10) [0.0, 0.3695, 1.0499] = 372.4790, sampling [1.0, 0.6692, 0.8449]. Recommendation = [0.0, 0.3695, 1.0499], Current Cost = 5023.00, Rho = 0.855
(iter 10) [0.0, 0.3695, 1.0499] = 372.4790, sampling [1.0, -0.3982, -0.9867]. Recommendation = [0.0, 0.3695, 1.0499], Current Cost = 5024.00, Rho = 0.855
(iter 10) [0.0, 0.3695, 1.0499] = 372.4790, sampling [1.0, -0.1271, 0.1222]. Recommendation = [0.0, 0.3695, 1.0499], Current Cost = 5025.00, Rho = 0.855
(iter 10) [0.0, 0.3695, 1.0499] = 372.4790, sampling [1.0, 0.7555, -0.0672]. Recommendation = [0.0, 0.3695, 1.0499], Current Cost = 5026.00, Rho = 0.855
(iter 10) [0.0, 0.3695, 1.0499] = 372.4790, sampling [1.0, 0.4122, 0.3296]. Recommendation = [0.0, 0.3695, 1.0499], Current Cost = 5027.00, Rho = 0.855
(iter 10) [0.0, 0.3695, 1.0499] = 372.4790, sampling [1.0, 0.7487, 0.7173]. Recommendation = [0.0, 0.3695, 1.0499], Current Cost = 5028.00, Rho = 0.855
(iter 10) [0.0, 0.3695, 1.0499] = 372.4790, sampling [1.0, -0.3330, -0.0839]. Recommendation = [0.0, 0.3695, 1.0499], Current Cost = 5029.00, Rho = 0.855
(iter 10) [0.0, 0.3695, 1.0499] = 372.4790, sampling [1.0, 0.4197, -0.7782]. Recommendation = [0.0, 0.3695, 1.0499], Current Cost = 5030.00, Rho = 0.855
(iter 10) [0.0, 0.3695, 1.0499] = 372.4790, sampling [1.0, 0.0017, -1.2010]. Recommendation = [0.0, 0.3695, 1.0499], Current Cost = 5031.00, Rho = 0.855
(iter 10) [0.0, 0.3695, 1.0499] = 372.4790, sampling [1.0, -0.0535, 0.9225]. Recommendation = [0.0, 0.3695, 1.0499], Current Cost = 5032.00, Rho = 0.855
(iter 10) [0.0, 0.3695, 1.0499] = 372.4790, sampling [1.0, 0.5320, -0.3205]. Recommendation = [0.0, 0.3695, 1.0499], Current Cost = 5033.00, Rho = 0.855
