(iter 5) [0.0, 0.3073, 0.3602] = 448.7574, sampling [0.0, -0.1166, 0.4560]. Recommendation = [0.0, 0.3073, 0.3602], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, 0.3073, 0.3602] = 448.7574, sampling [0.0, -0.0706, 0.9530]. Recommendation = [0.0, 0.3073, 0.3602], Current Cost = 6000.00, Rho = -1.230
(iter 5) [0.0, 0.3073, 0.3602] = 448.7574, sampling [0.0, -0.4322, 0.3693]. Recommendation = [0.0, 0.3073, 0.3602], Current Cost = 7000.00, Rho = -1.230
(iter 7) [0.0, -0.4322, 0.3693] = 450.9190, sampling [0.0, -0.2524, 0.1509]. Recommendation = [0.0, -0.4322, 0.3693], Current Cost = 8000.00, Rho = -1.230
(iter 8) [0.0, -0.2524, 0.1509] = 453.9717, sampling [0.0, -0.9046, 0.2473]. Recommendation = [0.0, -0.2524, 0.1509], Current Cost = 9000.00, Rho = -1.230
(iter 8) [0.0, -0.2524, 0.1509] = 453.9717, sampling [0.0, -0.4631, 0.0458]. Recommendation = [0.0, -0.2524, 0.1509], Current Cost = 10000.00, Rho = -1.230
(iter 8) [0.0, -0.2524, 0.1509] = 453.9717, sampling [0.0, -0.1733, -0.0211]. Recommendation = [0.0, -0.2524, 0.1509], Current Cost = 11000.00, Rho = -1.230
(iter 11) [0.0, -0.1733, -0.0211] = 454.6617, sampling [0.0, 0.2444, -0.1296]. Recommendation = [0.0, -0.1733, -0.0211], Current Cost = 12000.00, Rho = -1.230
(iter 11) [0.0, -0.1733, -0.0211] = 454.6617, sampling [0.0, -0.2950, -0.3277]. Recommendation = [0.0, -0.1733, -0.0211], Current Cost = 13000.00, Rho = -1.230
(iter 11) [0.0, -0.1733, -0.0211] = 454.6617, sampling [0.0, -0.9229, 0.6040]. Recommendation = [0.0, -0.1733, -0.0211], Current Cost = 14000.00, Rho = -1.230
(iter 11) [0.0, -0.1733, -0.0211] = 454.6617, sampling [0.0, -0.6518, 0.5904]. Recommendation = [0.0, -0.1733, -0.0211], Current Cost = 15000.00, Rho = -1.230
(iter 11) [0.0, -0.1733, -0.0211] = 454.6617, sampling [0.0, -0.2630, -0.1534]. Recommendation = [0.0, -0.1733, -0.0211], Current Cost = 16000.00, Rho = -1.230
(iter 11) [0.0, -0.1733, -0.0211] = 454.6617, sampling [0.0, -0.8885, -0.4260]. Recommendation = [0.0, -0.1733, -0.0211], Current Cost = 17000.00, Rho = -1.230
(iter 11) [0.0, -0.1733, -0.0211] = 454.6617, sampling [0.0, 0.4286, -0.0453]. Recommendation = [0.0, -0.1733, -0.0211], Current Cost = 18000.00, Rho = -1.230
(iter 11) [0.0, -0.1733, -0.0211] = 454.6617, sampling [0.0, 0.0137, 0.6117]. Recommendation = [0.0, -0.1733, -0.0211], Current Cost = 19000.00, Rho = -1.230
(iter 11) [0.0, -0.1733, -0.0211] = 454.6617, sampling [0.0, 0.7283, 0.5745]. Recommendation = [0.0, -0.1733, -0.0211], Current Cost = 20000.00, Rho = -1.230
(iter 20) [0.0, 0.7283, 0.5745] = 456.0327, sampling [0.0, 0.5443, 0.7539]. Recommendation = [0.0, 0.7283, 0.5745], Current Cost = 21000.00, Rho = -1.230
(iter 20) [0.0, 0.7283, 0.5745] = 456.0327, sampling [0.0, 0.2768, 0.8190]. Recommendation = [0.0, 0.7283, 0.5745], Current Cost = 22000.00, Rho = -1.230
(iter 20) [0.0, 0.7283, 0.5745] = 456.0327, sampling [0.0, -0.6132, 1.1005]. Recommendation = [0.0, 0.7283, 0.5745], Current Cost = 23000.00, Rho = -1.230
(iter 20) [0.0, 0.7283, 0.5745] = 456.0327, sampling [0.0, -0.4182, 0.7763]. Recommendation = [0.0, 0.7283, 0.5745], Current Cost = 24000.00, Rho = -1.230
(iter 20) [0.0, 0.7283, 0.5745] = 456.0327, sampling [0.0, -1.0264, 0.9677]. Recommendation = [0.0, 0.7283, 0.5745], Current Cost = 25000.00, Rho = -1.230
