(iter 5) [0.0, 0.4916, -0.6316] = 379.7956, sampling [0.0, 0.5645, -0.3538]. Recommendation = [0.0, 0.4916, -0.6316], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, 0.5645, -0.3538] = 410.8823, sampling [0.0, 0.6373, -0.1206]. Recommendation = [0.0, 0.5645, -0.3538], Current Cost = 6000.00, Rho = -1.230
(iter 6) [0.0, 0.6373, -0.1206] = 428.4204, sampling [0.0, 0.3393, 0.0074]. Recommendation = [0.0, 0.6373, -0.1206], Current Cost = 7000.00, Rho = -1.230
(iter 7) [0.0, 0.3393, 0.0074] = 454.7020, sampling [0.0, 0.4315, 0.3165]. Recommendation = [0.0, 0.3393, 0.0074], Current Cost = 8000.00, Rho = -1.230
(iter 7) [0.0, 0.3393, 0.0074] = 454.7020, sampling [0.0, 0.1996, 0.1663]. Recommendation = [0.0, 0.3393, 0.0074], Current Cost = 9000.00, Rho = -1.230
(iter 7) [0.0, 0.3393, 0.0074] = 454.7020, sampling [0.0, 0.1029, -0.0177]. Recommendation = [0.0, 0.3393, 0.0074], Current Cost = 10000.00, Rho = -1.230
(iter 10) [0.0, 0.1029, -0.0177] = 455.4154, sampling [0.0, 0.1354, 0.1066]. Recommendation = [0.0, 0.1029, -0.0177], Current Cost = 11000.00, Rho = -1.230
(iter 10) [0.0, 0.1029, -0.0177] = 455.4154, sampling [0.0, 0.0529, 0.3251]. Recommendation = [0.0, 0.1029, -0.0177], Current Cost = 12000.00, Rho = -1.230
(iter 10) [0.0, 0.1029, -0.0177] = 455.4154, sampling [0.0, 0.3965, 0.4074]. Recommendation = [0.0, 0.1029, -0.0177], Current Cost = 13000.00, Rho = -1.230
(iter 10) [0.0, 0.1029, -0.0177] = 455.4154, sampling [0.0, 0.1207, 0.4851]. Recommendation = [0.0, 0.1029, -0.0177], Current Cost = 14000.00, Rho = -1.230
(iter 10) [0.0, 0.1029, -0.0177] = 455.4154, sampling [0.0, -0.0022, 0.1599]. Recommendation = [0.0, 0.1029, -0.0177], Current Cost = 15000.00, Rho = -1.230
(iter 10) [0.0, 0.1029, -0.0177] = 455.4154, sampling [0.0, 0.6789, 0.3967]. Recommendation = [0.0, 0.1029, -0.0177], Current Cost = 16000.00, Rho = -1.230
(iter 16) [0.0, 0.6789, 0.3967] = 455.7846, sampling [0.0, 0.8121, 0.0947]. Recommendation = [0.0, 0.6789, 0.3967], Current Cost = 17000.00, Rho = -1.230
(iter 16) [0.0, 0.6789, 0.3967] = 455.7846, sampling [0.0, 0.4550, 0.5374]. Recommendation = [0.0, 0.6789, 0.3967], Current Cost = 18000.00, Rho = -1.230
(iter 16) [0.0, 0.6789, 0.3967] = 455.7846, sampling [0.0, 0.7998, 0.3704]. Recommendation = [0.0, 0.6789, 0.3967], Current Cost = 19000.00, Rho = -1.230
(iter 16) [0.0, 0.6789, 0.3967] = 455.7846, sampling [0.0, 0.9063, 0.4608]. Recommendation = [0.0, 0.6789, 0.3967], Current Cost = 20000.00, Rho = -1.230
(iter 16) [0.0, 0.6789, 0.3967] = 455.7846, sampling [0.0, 0.8311, 0.7185]. Recommendation = [0.0, 0.6789, 0.3967], Current Cost = 21000.00, Rho = -1.230
(iter 21) [0.0, 0.8311, 0.7185] = 456.1942, sampling [0.0, 0.5466, 0.8847]. Recommendation = [0.0, 0.8311, 0.7185], Current Cost = 22000.00, Rho = -1.230
(iter 21) [0.0, 0.8311, 0.7185] = 456.1942, sampling [0.0, 0.9801, 0.6233]. Recommendation = [0.0, 0.8311, 0.7185], Current Cost = 23000.00, Rho = -1.230
(iter 21) [0.0, 0.8311, 0.7185] = 456.1942, sampling [0.0, 0.8517, 0.9047]. Recommendation = [0.0, 0.8311, 0.7185], Current Cost = 24000.00, Rho = -1.230
(iter 21) [0.0, 0.8311, 0.7185] = 456.1942, sampling [0.0, 0.9751, 0.8229]. Recommendation = [0.0, 0.8311, 0.7185], Current Cost = 25000.00, Rho = -1.230
(iter 21) [0.0, 0.8311, 0.7185] = 456.1942, sampling [0.0, 0.6906, 1.0290]. Recommendation = [0.0, 0.8311, 0.7185], Current Cost = 26000.00, Rho = -1.230
(iter 21) [0.0, 0.8311, 0.7185] = 456.1942, sampling [0.0, 1.0443, 0.1220]. Recommendation = [0.0, 0.8311, 0.7185], Current Cost = 27000.00, Rho = -1.230
(iter 21) [0.0, 0.8311, 0.7185] = 456.1942, sampling [0.0, 0.0081, 0.5562]. Recommendation = [0.0, 0.8311, 0.7185], Current Cost = 28000.00, Rho = -1.230
(iter 21) [0.0, 0.8311, 0.7185] = 456.1942, sampling [0.0, 0.3321, -0.4693]. Recommendation = [0.0, 0.8311, 0.7185], Current Cost = 29000.00, Rho = -1.230
(iter 21) [0.0, 0.8311, 0.7185] = 456.1942, sampling [0.0, 0.0428, -0.4350]. Recommendation = [0.0, 0.8311, 0.7185], Current Cost = 30000.00, Rho = -1.230
(iter 21) [0.0, 0.8311, 0.7185] = 456.1942, sampling [0.0, -0.2387, -0.2172]. Recommendation = [0.0, 0.8311, 0.7185], Current Cost = 31000.00, Rho = -1.230
(iter 21) [0.0, 0.8311, 0.7185] = 456.1942, sampling [0.0, -0.3193, 0.0292]. Recommendation = [0.0, 0.8311, 0.7185], Current Cost = 32000.00, Rho = -1.230
(iter 21) [0.0, 0.8311, 0.7185] = 456.1942, sampling [0.0, -0.3839, -0.0828]. Recommendation = [0.0, 0.8311, 0.7185], Current Cost = 33000.00, Rho = -1.230
(iter 21) [0.0, 0.8311, 0.7185] = 456.1942, sampling [0.0, -0.3956, 0.4347]. Recommendation = [0.0, 0.8311, 0.7185], Current Cost = 34000.00, Rho = -1.230
(iter 21) [0.0, 0.8311, 0.7185] = 456.1942, sampling [0.0, -0.4231, 0.6902]. Recommendation = [0.0, 0.8311, 0.7185], Current Cost = 35000.00, Rho = -1.230
(iter 21) [0.0, 0.8311, 0.7185] = 456.1942, sampling [0.0, 0.1569, 0.9459]. Recommendation = [0.0, 0.8311, 0.7185], Current Cost = 36000.00, Rho = -1.230
(iter 21) [0.0, 0.8311, 0.7185] = 456.1942, sampling [0.0, -0.6448, 0.2058]. Recommendation = [0.0, 0.8311, 0.7185], Current Cost = 37000.00, Rho = -1.230
(iter 21) [0.0, 0.8311, 0.7185] = 456.1942, sampling [0.0, -0.4332, -0.1875]. Recommendation = [0.0, 0.8311, 0.7185], Current Cost = 38000.00, Rho = -1.230
(iter 21) [0.0, 0.8311, 0.7185] = 456.1942, sampling [0.0, -0.3288, -0.3354]. Recommendation = [0.0, 0.8311, 0.7185], Current Cost = 39000.00, Rho = -1.230
(iter 21) [0.0, 0.8311, 0.7185] = 456.1942, sampling [0.0, -0.6595, 0.6242]. Recommendation = [0.0, 0.8311, 0.7185], Current Cost = 40000.00, Rho = -1.230
(iter 21) [0.0, 0.8311, 0.7185] = 456.1942, sampling [0.0, -0.5517, 0.6828]. Recommendation = [0.0, 0.8311, 0.7185], Current Cost = 41000.00, Rho = -1.230
(iter 21) [0.0, 0.8311, 0.7185] = 456.1942, sampling [0.0, 1.0793, 0.5014]. Recommendation = [0.0, 0.8311, 0.7185], Current Cost = 42000.00, Rho = -1.230
(iter 21) [0.0, 0.8311, 0.7185] = 456.1942, sampling [0.0, -0.5191, 0.9628]. Recommendation = [0.0, 0.8311, 0.7185], Current Cost = 43000.00, Rho = -1.230
(iter 21) [0.0, 0.8311, 0.7185] = 456.1942, sampling [0.0, 1.1120, 0.7595]. Recommendation = [0.0, 0.8311, 0.7185], Current Cost = 44000.00, Rho = -1.230
(iter 21) [0.0, 0.8311, 0.7185] = 456.1942, sampling [0.0, 0.6485, -0.0641]. Recommendation = [0.0, 0.8311, 0.7185], Current Cost = 45000.00, Rho = -1.230
(iter 21) [0.0, 0.8311, 0.7185] = 456.1942, sampling [0.0, -0.7697, 0.8713]. Recommendation = [0.0, 0.8311, 0.7185], Current Cost = 46000.00, Rho = -1.230
(iter 21) [0.0, 0.8311, 0.7185] = 456.1942, sampling [0.0, -0.8769, 0.5712]. Recommendation = [0.0, 0.8311, 0.7185], Current Cost = 47000.00, Rho = -1.230
(iter 21) [0.0, 0.8311, 0.7185] = 456.1942, sampling [0.0, -0.9215, 1.0958]. Recommendation = [0.0, 0.8311, 0.7185], Current Cost = 48000.00, Rho = -1.230
(iter 21) [0.0, 0.8311, 0.7185] = 456.1942, sampling [0.0, -0.7567, 1.2000]. Recommendation = [0.0, 0.8311, 0.7185], Current Cost = 49000.00, Rho = -1.230
(iter 21) [0.0, 0.8311, 0.7185] = 456.1942, sampling [0.0, -1.0286, 1.0821]. Recommendation = [0.0, 0.8311, 0.7185], Current Cost = 50000.00, Rho = -1.230
(iter 21) [0.0, 0.8311, 0.7185] = 456.1942, sampling [0.0, -1.1421, 0.8367]. Recommendation = [0.0, 0.8311, 0.7185], Current Cost = 51000.00, Rho = -1.230
(iter 21) [0.0, 0.8311, 0.7185] = 456.1942, sampling [0.0, -1.1958, 1.1720]. Recommendation = [0.0, 0.8311, 0.7185], Current Cost = 52000.00, Rho = -1.230
(iter 21) [0.0, 0.8311, 0.7185] = 456.1942, sampling [0.0, -1.0724, 1.1188]. Recommendation = [0.0, 0.8311, 0.7185], Current Cost = 53000.00, Rho = -1.230
(iter 21) [0.0, 0.8311, 0.7185] = 456.1942, sampling [0.0, -1.2077, 1.5407]. Recommendation = [0.0, 0.8311, 0.7185], Current Cost = 54000.00, Rho = -1.230
(iter 21) [0.0, 0.8311, 0.7185] = 456.1942, sampling [0.0, -1.3355, 1.3522]. Recommendation = [0.0, 0.8311, 0.7185], Current Cost = 55000.00, Rho = -1.230
(iter 21) [0.0, 0.8311, 0.7185] = 456.1942, sampling [0.0, -1.1100, 1.6067]. Recommendation = [0.0, 0.8311, 0.7185], Current Cost = 56000.00, Rho = -1.230
(iter 21) [0.0, 0.8311, 0.7185] = 456.1942, sampling [0.0, -0.8575, 1.6401]. Recommendation = [0.0, 0.8311, 0.7185], Current Cost = 57000.00, Rho = -1.230
(iter 21) [0.0, 0.8311, 0.7185] = 456.1942, sampling [0.0, -0.9559, 0.4309]. Recommendation = [0.0, 0.8311, 0.7185], Current Cost = 58000.00, Rho = -1.230
(iter 21) [0.0, 0.8311, 0.7185] = 456.1942, sampling [0.0, -1.5556, 1.1283]. Recommendation = [0.0, 0.8311, 0.7185], Current Cost = 59000.00, Rho = -1.230
(iter 21) [0.0, 0.8311, 0.7185] = 456.1942, sampling [0.0, -0.7153, 1.4216]. Recommendation = [0.0, 0.8311, 0.7185], Current Cost = 60000.00, Rho = -1.230
(iter 21) [0.0, 0.8311, 0.7185] = 456.1942, sampling [0.0, -0.3555, 0.9833]. Recommendation = [0.0, 0.8311, 0.7185], Current Cost = 61000.00, Rho = -1.230
(iter 21) [0.0, 0.8311, 0.7185] = 456.1942, sampling [0.0, 0.2488, -0.5843]. Recommendation = [0.0, 0.8311, 0.7185], Current Cost = 62000.00, Rho = -1.230
(iter 21) [0.0, 0.8311, 0.7185] = 456.1942, sampling [0.0, 0.9131, 1.2167]. Recommendation = [0.0, 0.8311, 0.7185], Current Cost = 63000.00, Rho = -1.230
(iter 21) [0.0, 0.8311, 0.7185] = 456.1942, sampling [0.0, 0.8460, 1.2665]. Recommendation = [0.0, 0.8311, 0.7185], Current Cost = 64000.00, Rho = -1.230
