(iter 10) [0.0, -0.6794, -0.5167] = 357.7709, sampling [1.0, -0.3916, -0.7110]. Recommendation = [0.0, -0.6794, -0.5167], Current Cost = 5005.00, Rho = 0.284
(iter 10) [0.0, -0.6794, -0.5167] = 357.7709, sampling [1.0, -0.6641, -0.7641]. Recommendation = [0.0, -0.3916, -0.7110], Current Cost = 5006.00, Rho = 0.284
(iter 10) [0.0, -0.6794, -0.5167] = 357.7709, sampling [1.0, -0.1221, -0.8451]. Recommendation = [0.0, -0.3916, -0.7110], Current Cost = 5007.00, Rho = 0.284
(iter 10) [0.0, -0.6794, -0.5167] = 357.7709, sampling [1.0, -0.1515, -0.9161]. Recommendation = [0.0, -0.3916, -0.7110], Current Cost = 5008.00, Rho = 0.284
(iter 10) [0.0, -0.6794, -0.5167] = 357.7709, sampling [1.0, 0.0717, -0.4721]. Recommendation = [0.0, -0.3916, -0.7110], Current Cost = 5009.00, Rho = 0.284
(iter 10) [0.0, -0.6794, -0.5167] = 357.7709, sampling [1.0, 0.0213, -0.4025]. Recommendation = [0.0, 0.0717, -0.4721], Current Cost = 5010.00, Rho = 0.284
(iter 10) [0.0, -0.6794, -0.5167] = 357.7709, sampling [1.0, 0.1274, -0.3154]. Recommendation = [0.0, 0.0213, -0.4025], Current Cost = 5011.00, Rho = 0.284
(iter 10) [0.0, -0.6794, -0.5167] = 357.7709, sampling [1.0, 0.2706, -0.4949]. Recommendation = [0.0, 0.1274, -0.3154], Current Cost = 5012.00, Rho = 0.284
(iter 10) [0.0, -0.6794, -0.5167] = 357.7709, sampling [1.0, 0.1581, -0.8028]. Recommendation = [0.0, 0.1274, -0.3154], Current Cost = 5013.00, Rho = 0.284
(iter 10) [0.0, -0.6794, -0.5167] = 357.7709, sampling [1.0, -0.1704, -0.0842]. Recommendation = [0.0, 0.1274, -0.3154], Current Cost = 5014.00, Rho = 0.284
(iter 10) [0.0, -0.6794, -0.5167] = 357.7709, sampling [1.0, -0.0895, -0.0360]. Recommendation = [0.0, -0.1704, -0.0842], Current Cost = 5015.00, Rho = 0.284
