(iter 10) [0.0, 0.9051, 0.2599] = 425.0084, sampling [1.0, 0.1681, 0.4347]. Recommendation = [0.0, 0.9051, 0.2599], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.9051, 0.2599] = 425.0084, sampling [1.0, 0.6089, 0.7202]. Recommendation = [0.0, 0.1681, 0.4347], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.9051, 0.2599] = 425.0084, sampling [1.0, -0.1156, 0.0118]. Recommendation = [0.0, 0.6322, 0.5675], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.9051, 0.2599] = 425.0084, sampling [1.0, 0.3644, -0.0496]. Recommendation = [0.0, -0.1156, 0.0118], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.9051, 0.2599] = 425.0084, sampling [1.0, -0.2647, 0.3990]. Recommendation = [0.0, 0.3683, 0.2200], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.9051, 0.2599] = 425.0084, sampling [1.0, 0.5683, 0.2248]. Recommendation = [0.0, 0.1828, 0.1605], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.9051, 0.2599] = 425.0084, sampling [1.0, 0.2468, 0.9443]. Recommendation = [0.0, 0.1828, 0.1605], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.9051, 0.2599] = 425.0084, sampling [1.0, 0.1828, 0.1605]. Recommendation = [0.0, 0.1828, 0.1605], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.9051, 0.2599] = 425.0084, sampling [1.0, 0.5920, 0.4535]. Recommendation = [0.0, 0.3683, 0.2200], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.9051, 0.2599] = 425.0084, sampling [1.0, 0.0817, -0.1961]. Recommendation = [0.0, 0.3683, 0.2200], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.9051, 0.2599] = 425.0084, sampling [1.0, -0.1610, 0.7890]. Recommendation = [0.0, 0.3683, 0.2200], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.9051, 0.2599] = 425.0084, sampling [1.0, 0.7600, -0.1354]. Recommendation = [0.0, 0.3683, 0.2200], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.9051, 0.2599] = 425.0084, sampling [1.0, -0.0161, 0.3506]. Recommendation = [0.0, 0.3683, 0.2200], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.9051, 0.2599] = 425.0084, sampling [1.0, 0.8854, 1.3329]. Recommendation = [0.0, 0.3683, 0.2200], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.9051, 0.2599] = 425.0084, sampling [1.0, 1.1430, 1.1601]. Recommendation = [0.0, 0.3683, 0.2200], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.9051, 0.2599] = 425.0084, sampling [1.0, 1.0391, 0.8146]. Recommendation = [0.0, 0.3683, 0.2200], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.9051, 0.2599] = 425.0084, sampling [1.0, 1.5222, 0.9311]. Recommendation = [0.0, 0.3683, 0.2200], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.9051, 0.2599] = 425.0084, sampling [1.0, 0.6522, 1.3166]. Recommendation = [0.0, 0.3683, 0.2200], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.9051, 0.2599] = 425.0084, sampling [1.0, 0.3683, 0.2200]. Recommendation = [0.0, 0.3683, 0.2200], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.9051, 0.2599] = 425.0084, sampling [1.0, -0.7151, 0.6477]. Recommendation = [0.0, 0.5920, 0.4535], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.9051, 0.2599] = 425.0084, sampling [1.0, -0.4394, 0.6685]. Recommendation = [0.0, 0.5920, 0.4535], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.9051, 0.2599] = 425.0084, sampling [1.0, -0.9831, 0.2735]. Recommendation = [0.0, 0.5920, 0.4535], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.9051, 0.2599] = 425.0084, sampling [1.0, -0.8453, -0.1224]. Recommendation = [0.0, -0.1414, 0.1309], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.9051, 0.2599] = 425.0084, sampling [1.0, -0.3811, -0.4606]. Recommendation = [0.0, -0.1414, 0.1309], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.9051, 0.2599] = 425.0084, sampling [1.0, -0.6962, 0.9772]. Recommendation = [0.0, -0.1414, 0.1309], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.9051, 0.2599] = 425.0084, sampling [1.0, 0.4671, -0.2768]. Recommendation = [0.0, -0.1414, 0.1309], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.9051, 0.2599] = 425.0084, sampling [1.0, -0.9618, 0.5847]. Recommendation = [0.0, -0.1414, 0.1309], Current Cost = 5031.00, Rho = 1.000
