(iter 10) [0.0, -0.7651, 0.4671] = 451.7865, sampling [1.0, -0.5724, 0.8782]. Recommendation = [0.0, -0.7651, 0.4671], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.7651, 0.4671] = 451.7865, sampling [1.0, -0.3426, 0.3472]. Recommendation = [0.0, -0.7651, 0.4671], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.7651, 0.4671] = 451.7865, sampling [1.0, -0.2067, 0.7885]. Recommendation = [0.0, -0.7651, 0.4671], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.7651, 0.4671] = 451.7865, sampling [1.0, -0.8032, 0.6088]. Recommendation = [0.0, -0.7651, 0.4671], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.7651, 0.4671] = 451.7865, sampling [1.0, -0.0022, 0.2952]. Recommendation = [0.0, -0.7651, 0.4671], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.7651, 0.4671] = 451.7865, sampling [1.0, -0.6854, 0.3541]. Recommendation = [0.0, -0.7651, 0.4671], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.7651, 0.4671] = 451.7865, sampling [1.0, -0.9752, 1.0222]. Recommendation = [0.0, -0.7651, 0.4671], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.7651, 0.4671] = 451.7865, sampling [1.0, -0.4747, 1.1249]. Recommendation = [0.0, -0.7651, 0.4671], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.7651, 0.4671] = 451.7865, sampling [1.0, -0.1044, -0.0868]. Recommendation = [0.0, -0.7651, 0.4671], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.7651, 0.4671] = 451.7865, sampling [1.0, 0.2151, -0.3920]. Recommendation = [0.0, -0.7651, 0.4671], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.7651, 0.4671] = 451.7865, sampling [1.0, -1.0859, 0.7472]. Recommendation = [0.0, -0.7651, 0.4671], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.7651, 0.4671] = 451.7865, sampling [1.0, 0.4606, 0.3844]. Recommendation = [0.0, -0.7651, 0.4671], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.7651, 0.4671] = 451.7865, sampling [1.0, -0.0598, 0.4932]. Recommendation = [0.0, -0.7651, 0.4671], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.7651, 0.4671] = 451.7865, sampling [1.0, -0.5041, 0.0026]. Recommendation = [0.0, -0.7651, 0.4671], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.7651, 0.4671] = 451.7865, sampling [1.0, -0.2643, 0.1569]. Recommendation = [0.0, -0.7651, 0.4671], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.7651, 0.4671] = 451.7865, sampling [1.0, 0.0571, 1.2379]. Recommendation = [0.0, -0.7651, 0.4671], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.7651, 0.4671] = 451.7865, sampling [1.0, -0.9158, 0.5861]. Recommendation = [0.0, -0.7651, 0.4671], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.7651, 0.4671] = 451.7865, sampling [1.0, -0.8782, 0.1900]. Recommendation = [0.0, -0.7651, 0.4671], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.7651, 0.4671] = 451.7865, sampling [1.0, 0.5278, -0.5207]. Recommendation = [0.0, -0.7651, 0.4671], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.7651, 0.4671] = 451.7865, sampling [1.0, -1.0259, 1.5042]. Recommendation = [0.0, -0.7651, 0.4671], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.7651, 0.4671] = 451.7865, sampling [1.0, 0.4132, 0.7658]. Recommendation = [0.0, -0.7651, 0.4671], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.7651, 0.4671] = 451.7865, sampling [1.0, -1.3082, 1.2074]. Recommendation = [0.0, -0.7651, 0.4671], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.7651, 0.4671] = 451.7865, sampling [1.0, -1.0705, 1.2233]. Recommendation = [0.0, -0.7651, 0.4671], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.7651, 0.4671] = 451.7865, sampling [1.0, -0.6163, 1.0586]. Recommendation = [0.0, -0.7651, 0.4671], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.7651, 0.4671] = 451.7865, sampling [1.0, 0.8024, 0.1297]. Recommendation = [0.0, -0.7651, 0.4671], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -0.7651, 0.4671] = 451.7865, sampling [1.0, 0.8211, -0.2756]. Recommendation = [0.0, -0.7651, 0.4671], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -0.7651, 0.4671] = 451.7865, sampling [1.0, -1.3629, 0.5188]. Recommendation = [0.0, -0.7651, 0.4671], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -0.7651, 0.4671] = 451.7865, sampling [1.0, -0.8252, 1.7922]. Recommendation = [0.0, -0.7651, 0.4671], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -0.7651, 0.4671] = 451.7865, sampling [1.0, -0.3522, 1.3044]. Recommendation = [0.0, -0.7651, 0.4671], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, -0.7651, 0.4671] = 451.7865, sampling [1.0, 0.3305, 0.5651]. Recommendation = [0.0, -0.7651, 0.4671], Current Cost = 5034.00, Rho = 1.000
