(iter 10) [0.0, -0.7743, 0.2597] = 441.6024, sampling [1.0, -0.5660, -0.1608]. Recommendation = [0.0, -0.7743, 0.2597], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.7743, 0.2597] = 441.6024, sampling [1.0, -0.9541, -0.1153]. Recommendation = [0.0, -0.7743, 0.2597], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.7743, 0.2597] = 441.6024, sampling [1.0, -0.6148, 0.5151]. Recommendation = [0.0, -0.7743, 0.2597], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.7743, 0.2597] = 441.6024, sampling [1.0, -0.2665, 0.4011]. Recommendation = [0.0, -0.6148, 0.5151], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.7743, 0.2597] = 441.6024, sampling [1.0, -0.3207, -0.0989]. Recommendation = [0.0, -0.6148, 0.5151], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.7743, 0.2597] = 441.6024, sampling [1.0, -0.7233, 0.6695]. Recommendation = [0.0, -0.6148, 0.5151], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.7743, 0.2597] = 441.6024, sampling [1.0, -0.8644, 0.3969]. Recommendation = [0.0, -0.6148, 0.5151], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.7743, 0.2597] = 441.6024, sampling [1.0, -0.2912, 0.9203]. Recommendation = [0.0, -0.6148, 0.5151], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.7743, 0.2597] = 441.6024, sampling [1.0, -0.0935, 0.2278]. Recommendation = [0.0, -0.6148, 0.5151], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.7743, 0.2597] = 441.6024, sampling [1.0, -0.0759, 0.0626]. Recommendation = [0.0, -0.6148, 0.5151], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.7743, 0.2597] = 441.6024, sampling [1.0, -0.7183, 0.8379]. Recommendation = [0.0, -0.0759, 0.0626], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.7743, 0.2597] = 441.6024, sampling [1.0, -0.4170, -0.2055]. Recommendation = [0.0, -0.0759, 0.0626], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.7743, 0.2597] = 441.6024, sampling [1.0, -1.0002, 0.4980]. Recommendation = [0.0, -0.0759, 0.0626], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.7743, 0.2597] = 441.6024, sampling [1.0, -0.1110, 0.4597]. Recommendation = [0.0, -0.0759, 0.0626], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.7743, 0.2597] = 441.6024, sampling [1.0, -0.8894, 1.0361]. Recommendation = [0.0, -0.0759, 0.0626], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.7743, 0.2597] = 441.6024, sampling [1.0, -0.6648, 1.1343]. Recommendation = [0.0, -0.0759, 0.0626], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.7743, 0.2597] = 441.6024, sampling [1.0, 0.0482, 0.3053]. Recommendation = [0.0, -0.0759, 0.0626], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.7743, 0.2597] = 441.6024, sampling [1.0, 0.1057, -0.0960]. Recommendation = [0.0, -0.0759, 0.0626], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.7743, 0.2597] = 441.6024, sampling [1.0, -0.0272, -0.4434]. Recommendation = [0.0, -0.0759, 0.0626], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.7743, 0.2597] = 441.6024, sampling [1.0, 0.1501, 0.6083]. Recommendation = [0.0, -0.0759, 0.0626], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.7743, 0.2597] = 441.6024, sampling [1.0, 0.1769, 0.3551]. Recommendation = [0.0, -0.0759, 0.0626], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.7743, 0.2597] = 441.6024, sampling [1.0, 0.0386, 0.4943]. Recommendation = [0.0, -0.0759, 0.0626], Current Cost = 5026.00, Rho = 1.000
