(iter 10) [0.0, -0.3420, -0.6048] = 402.4100, sampling [1.0, 0.1523, 0.9405]. Recommendation = [0.0, -0.3420, -0.6048], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.3420, -0.6048] = 402.4100, sampling [1.0, -0.2857, 0.2779]. Recommendation = [0.0, -0.3420, -0.6048], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.3420, -0.6048] = 402.4100, sampling [1.0, -0.1954, 0.0140]. Recommendation = [0.0, -0.2857, 0.2779], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.3420, -0.6048] = 402.4100, sampling [1.0, -0.4946, -0.0412]. Recommendation = [0.0, -0.1954, 0.0140], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.3420, -0.6048] = 402.4100, sampling [1.0, -0.2570, -0.2991]. Recommendation = [0.0, -0.1954, 0.0140], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.3420, -0.6048] = 402.4100, sampling [1.0, 0.0146, 0.5276]. Recommendation = [0.0, -0.1954, 0.0140], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.3420, -0.6048] = 402.4100, sampling [1.0, -0.4686, 0.4317]. Recommendation = [0.0, -0.1954, 0.0140], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.3420, -0.6048] = 402.4100, sampling [1.0, -0.3946, 0.7804]. Recommendation = [0.0, -0.1954, 0.0140], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.3420, -0.6048] = 402.4100, sampling [1.0, -0.0233, 0.1417]. Recommendation = [0.0, -0.1954, 0.0140], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.3420, -0.6048] = 402.4100, sampling [1.0, -0.6339, 0.3196]. Recommendation = [0.0, -0.1954, 0.0140], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.3420, -0.6048] = 402.4100, sampling [1.0, -0.4055, -0.2507]. Recommendation = [0.0, -0.1954, 0.0140], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.3420, -0.6048] = 402.4100, sampling [1.0, -0.7277, 0.6299]. Recommendation = [0.0, -0.1954, 0.0140], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.3420, -0.6048] = 402.4100, sampling [1.0, -0.6030, 0.5819]. Recommendation = [0.0, -0.1954, 0.0140], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.3420, -0.6048] = 402.4100, sampling [1.0, -0.6493, 0.0408]. Recommendation = [0.0, -0.1954, 0.0140], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.3420, -0.6048] = 402.4100, sampling [1.0, -0.7906, 0.4959]. Recommendation = [0.0, -0.1954, 0.0140], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.3420, -0.6048] = 402.4100, sampling [1.0, -0.1242, 0.7494]. Recommendation = [0.0, -0.1954, 0.0140], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.3420, -0.6048] = 402.4100, sampling [1.0, 0.0248, -0.2652]. Recommendation = [0.0, -0.1954, 0.0140], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.3420, -0.6048] = 402.4100, sampling [1.0, 0.0564, 0.2587]. Recommendation = [0.0, -0.1954, 0.0140], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.3420, -0.6048] = 402.4100, sampling [1.0, -0.9975, 0.8184]. Recommendation = [0.0, -0.1954, 0.0140], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.3420, -0.6048] = 402.4100, sampling [1.0, -0.5836, 1.1798]. Recommendation = [0.0, -0.1954, 0.0140], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.3420, -0.6048] = 402.4100, sampling [1.0, -1.0824, 0.2088]. Recommendation = [0.0, -0.1954, 0.0140], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.3420, -0.6048] = 402.4100, sampling [1.0, -0.6780, 0.7351]. Recommendation = [0.0, -0.1954, 0.0140], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.3420, -0.6048] = 402.4100, sampling [1.0, -0.8872, 0.5759]. Recommendation = [0.0, -0.1954, 0.0140], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.3420, -0.6048] = 402.4100, sampling [1.0, -1.0657, 0.9890]. Recommendation = [0.0, -0.1954, 0.0140], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.3420, -0.6048] = 402.4100, sampling [1.0, -1.1737, 0.6132]. Recommendation = [0.0, -0.1954, 0.0140], Current Cost = 5029.00, Rho = 1.000
