(iter 10) [0.0, -0.7878, 0.3354] = 444.9689, sampling [1.0, 0.2734, 1.1525]. Recommendation = [0.0, -0.7878, 0.3354], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.7878, 0.3354] = 444.9689, sampling [1.0, 0.2015, 0.7287]. Recommendation = [0.0, -0.7878, 0.3354], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.7878, 0.3354] = 444.9689, sampling [1.0, -0.6978, 0.4016]. Recommendation = [0.0, -0.7878, 0.3354], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.7878, 0.3354] = 444.9689, sampling [1.0, 0.7735, 1.0711]. Recommendation = [0.0, -0.7878, 0.3354], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.7878, 0.3354] = 444.9689, sampling [1.0, -0.2078, 0.2557]. Recommendation = [0.0, -0.7878, 0.3354], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.7878, 0.3354] = 444.9689, sampling [1.0, -0.7122, 0.8643]. Recommendation = [0.0, -0.7878, 0.3354], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.7878, 0.3354] = 444.9689, sampling [1.0, -0.2193, 1.1840]. Recommendation = [0.0, -0.7878, 0.3354], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.7878, 0.3354] = 444.9689, sampling [1.0, 0.0793, 0.4397]. Recommendation = [0.0, -0.7878, 0.3354], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.7878, 0.3354] = 444.9689, sampling [1.0, 0.5658, 1.0286]. Recommendation = [0.0, -0.7878, 0.3354], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.7878, 0.3354] = 444.9689, sampling [1.0, 0.5332, 0.6179]. Recommendation = [0.0, -0.7878, 0.3354], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.7878, 0.3354] = 444.9689, sampling [1.0, 0.7877, 0.8136]. Recommendation = [0.0, -0.7878, 0.3354], Current Cost = 5015.00, Rho = 1.000
