(iter 10) [0.0, 0.5774, 0.9410] = 419.2009, sampling [1.0, 1.0409, 0.7767]. Recommendation = [0.0, 0.5774, 0.9410], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.5774, 0.9410] = 419.2009, sampling [1.0, 0.7999, 1.1511]. Recommendation = [0.0, 1.0409, 0.7767], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.5774, 0.9410] = 419.2009, sampling [1.0, 1.1128, 1.2550]. Recommendation = [0.0, 1.0409, 0.7767], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.5774, 0.9410] = 419.2009, sampling [1.0, 1.2719, 1.1569]. Recommendation = [0.0, 1.1128, 1.2550], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.5774, 0.9410] = 419.2009, sampling [1.0, 0.6503, 0.7977]. Recommendation = [0.0, 1.1128, 1.2550], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.5774, 0.9410] = 419.2009, sampling [1.0, 0.7337, 0.4235]. Recommendation = [0.0, 1.1128, 1.2550], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.5774, 0.9410] = 419.2009, sampling [1.0, 1.3665, 0.7282]. Recommendation = [0.0, 1.1128, 1.2550], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.5774, 0.9410] = 419.2009, sampling [1.0, 0.5590, 0.3936]. Recommendation = [0.0, 1.1128, 1.2550], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.5774, 0.9410] = 419.2009, sampling [1.0, 0.5194, -0.0991]. Recommendation = [0.0, 1.1128, 1.2550], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.5774, 0.9410] = 419.2009, sampling [1.0, 0.7580, -0.1440]. Recommendation = [0.0, 1.1128, 1.2550], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.5774, 0.9410] = 419.2009, sampling [1.0, 0.2179, -0.2889]. Recommendation = [0.0, 1.1128, 1.2550], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.5774, 0.9410] = 419.2009, sampling [1.0, 0.3208, -0.6119]. Recommendation = [0.0, 1.1128, 1.2550], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.5774, 0.9410] = 419.2009, sampling [1.0, 0.1338, 0.0670]. Recommendation = [0.0, 1.1128, 1.2550], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.5774, 0.9410] = 419.2009, sampling [1.0, 0.2295, 0.5601]. Recommendation = [0.0, 1.1128, 1.2550], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.5774, 0.9410] = 419.2009, sampling [1.0, -0.0761, -0.6036]. Recommendation = [0.0, 1.1128, 1.2550], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.5774, 0.9410] = 419.2009, sampling [1.0, -0.0965, -0.1473]. Recommendation = [0.0, 1.1128, 1.2550], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.5774, 0.9410] = 419.2009, sampling [1.0, 0.0622, 0.2530]. Recommendation = [0.0, 1.1128, 1.2550], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.5774, 0.9410] = 419.2009, sampling [1.0, 0.1780, -0.1952]. Recommendation = [0.0, 1.1128, 1.2550], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.5774, 0.9410] = 419.2009, sampling [1.0, -0.0203, -0.0335]. Recommendation = [0.0, 1.1128, 1.2550], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.5774, 0.9410] = 419.2009, sampling [1.0, 0.6596, -0.3717]. Recommendation = [0.0, 1.1128, 1.2550], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.5774, 0.9410] = 419.2009, sampling [1.0, 0.0466, -0.9501]. Recommendation = [0.0, 1.1128, 1.2550], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.5774, 0.9410] = 419.2009, sampling [1.0, 0.5929, 0.3284]. Recommendation = [0.0, 1.1128, 1.2550], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.5774, 0.9410] = 419.2009, sampling [1.0, 1.1665, 0.0532]. Recommendation = [0.0, 1.1128, 1.2550], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.5774, 0.9410] = 419.2009, sampling [1.0, 0.2662, 0.9076]. Recommendation = [0.0, 1.1128, 1.2550], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.5774, 0.9410] = 419.2009, sampling [1.0, 0.5635, 0.7680]. Recommendation = [0.0, 1.1128, 1.2550], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.5774, 0.9410] = 419.2009, sampling [1.0, 0.0760, 0.4754]. Recommendation = [0.0, 1.1128, 1.2550], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.5774, 0.9410] = 419.2009, sampling [1.0, -0.1405, -0.7734]. Recommendation = [0.0, 1.1128, 1.2550], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.5774, 0.9410] = 419.2009, sampling [1.0, -0.1267, -0.2261]. Recommendation = [0.0, 1.1128, 1.2550], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.5774, 0.9410] = 419.2009, sampling [1.0, -0.2403, 0.0447]. Recommendation = [0.0, 1.1128, 1.2550], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.5774, 0.9410] = 419.2009, sampling [1.0, -0.2294, 0.3129]. Recommendation = [0.0, -0.0449, 0.0249], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.5774, 0.9410] = 419.2009, sampling [1.0, -0.0842, 0.5057]. Recommendation = [0.0, -0.0449, 0.0249], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 0.5774, 0.9410] = 419.2009, sampling [1.0, -0.0449, 0.0249]. Recommendation = [0.0, -0.0449, 0.0249], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 0.5774, 0.9410] = 419.2009, sampling [1.0, 0.1052, 0.6502]. Recommendation = [0.0, 1.1128, 1.2550], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, 0.5774, 0.9410] = 419.2009, sampling [1.0, 0.6824, 1.2735]. Recommendation = [0.0, 1.1128, 1.2550], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, 0.5774, 0.9410] = 419.2009, sampling [1.0, 0.4503, -0.5414]. Recommendation = [0.0, 1.1128, 1.2550], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, 0.5774, 0.9410] = 419.2009, sampling [1.0, 0.7696, 0.3797]. Recommendation = [0.0, 1.1128, 1.2550], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, 0.5774, 0.9410] = 419.2009, sampling [1.0, 1.0702, 1.6042]. Recommendation = [0.0, 1.1128, 1.2550], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, 0.5774, 0.9410] = 419.2009, sampling [1.0, 0.8458, 1.6229]. Recommendation = [0.0, 1.1128, 1.2550], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, 0.5774, 0.9410] = 419.2009, sampling [1.0, 0.4258, 1.2919]. Recommendation = [0.0, 1.1128, 1.2550], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, 0.5774, 0.9410] = 419.2009, sampling [1.0, -0.2893, -0.7351]. Recommendation = [0.0, 1.1128, 1.2550], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, 0.5774, 0.9410] = 419.2009, sampling [1.0, -0.1979, 0.8904]. Recommendation = [0.0, 1.1128, 1.2550], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, 0.5774, 0.9410] = 419.2009, sampling [1.0, -0.3954, 0.5126]. Recommendation = [0.0, 1.1128, 1.2550], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, 0.5774, 0.9410] = 419.2009, sampling [1.0, -0.3546, 0.6679]. Recommendation = [0.0, 1.1128, 1.2550], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, 0.5774, 0.9410] = 419.2009, sampling [1.0, -0.5105, 0.1481]. Recommendation = [0.0, 1.1128, 1.2550], Current Cost = 5048.00, Rho = 1.000
