(iter 10) [0.0, -0.2268, -0.6058] = 411.6011, sampling [1.0, -0.5438, 1.6160]. Recommendation = [0.0, -0.2268, -0.6058], Current Cost = 5005.00, Rho = 0.632
(iter 10) [0.0, -0.2268, -0.6058] = 411.6011, sampling [1.0, -0.1302, -0.1991]. Recommendation = [0.0, -0.2268, -0.6058], Current Cost = 5006.00, Rho = 0.632
(iter 10) [0.0, -0.2268, -0.6058] = 411.6011, sampling [1.0, 0.0572, -0.1259]. Recommendation = [0.0, -0.1302, -0.1991], Current Cost = 5007.00, Rho = 0.632
(iter 10) [0.0, -0.2268, -0.6058] = 411.6011, sampling [1.0, -0.0853, -0.1098]. Recommendation = [0.0, 0.0572, -0.1259], Current Cost = 5008.00, Rho = 0.632
(iter 10) [0.0, -0.2268, -0.6058] = 411.6011, sampling [1.0, 0.0439, 0.2829]. Recommendation = [0.0, -0.0853, -0.1098], Current Cost = 5009.00, Rho = 0.632
(iter 10) [0.0, -0.2268, -0.6058] = 411.6011, sampling [1.0, 0.2407, 0.0961]. Recommendation = [0.0, -0.0853, -0.1098], Current Cost = 5010.00, Rho = 0.632
(iter 10) [0.0, -0.2268, -0.6058] = 411.6011, sampling [1.0, 0.1521, -0.0482]. Recommendation = [0.0, 0.2407, 0.0961], Current Cost = 5011.00, Rho = 0.632
(iter 10) [0.0, -0.2268, -0.6058] = 411.6011, sampling [1.0, 0.2044, -0.1618]. Recommendation = [0.0, 0.2407, 0.0961], Current Cost = 5012.00, Rho = 0.632
(iter 10) [0.0, -0.2268, -0.6058] = 411.6011, sampling [1.0, 0.2611, 0.1461]. Recommendation = [0.0, 0.2407, 0.0961], Current Cost = 5013.00, Rho = 0.632
(iter 10) [0.0, -0.2268, -0.6058] = 411.6011, sampling [1.0, 0.4037, 0.5633]. Recommendation = [0.0, 0.2407, 0.0961], Current Cost = 5014.00, Rho = 0.632
(iter 10) [0.0, -0.2268, -0.6058] = 411.6011, sampling [1.0, 0.5963, 0.3879]. Recommendation = [0.0, 0.2407, 0.0961], Current Cost = 5015.00, Rho = 0.632
(iter 10) [0.0, -0.2268, -0.6058] = 411.6011, sampling [1.0, 0.6483, 0.5506]. Recommendation = [0.0, 0.2407, 0.0961], Current Cost = 5016.00, Rho = 0.632
(iter 10) [0.0, -0.2268, -0.6058] = 411.6011, sampling [1.0, 0.5877, 0.6505]. Recommendation = [0.0, 0.2407, 0.0961], Current Cost = 5017.00, Rho = 0.632
(iter 10) [0.0, -0.2268, -0.6058] = 411.6011, sampling [1.0, 0.1140, 0.7951]. Recommendation = [0.0, 0.2407, 0.0961], Current Cost = 5018.00, Rho = 0.632
(iter 10) [0.0, -0.2268, -0.6058] = 411.6011, sampling [1.0, 0.7244, 0.0842]. Recommendation = [0.0, 0.2407, 0.0961], Current Cost = 5019.00, Rho = 0.632
(iter 10) [0.0, -0.2268, -0.6058] = 411.6011, sampling [1.0, 0.8039, 0.4998]. Recommendation = [0.0, 0.2407, 0.0961], Current Cost = 5020.00, Rho = 0.632
(iter 10) [0.0, -0.2268, -0.6058] = 411.6011, sampling [1.0, 0.8763, 0.2707]. Recommendation = [0.0, 0.2407, 0.0961], Current Cost = 5021.00, Rho = 0.632
(iter 10) [0.0, -0.2268, -0.6058] = 411.6011, sampling [1.0, -0.2540, 0.0780]. Recommendation = [0.0, 0.2407, 0.0961], Current Cost = 5022.00, Rho = 0.632
(iter 10) [0.0, -0.2268, -0.6058] = 411.6011, sampling [1.0, -0.2233, 0.3058]. Recommendation = [0.0, 0.2407, 0.0961], Current Cost = 5023.00, Rho = 0.632
