(iter 10) [0.0, -0.9193, 0.0767] = 393.5702, sampling [1.0, -0.7950, -0.1277]. Recommendation = [0.0, -0.9193, 0.0767], Current Cost = 5005.00, Rho = 0.792
(iter 10) [0.0, -0.9193, 0.0767] = 393.5702, sampling [1.0, -0.5682, 0.0142]. Recommendation = [0.0, -0.9193, 0.0767], Current Cost = 5006.00, Rho = 0.792
(iter 10) [0.0, -0.9193, 0.0767] = 393.5702, sampling [1.0, -0.8863, 0.2956]. Recommendation = [0.0, -0.9193, 0.0767], Current Cost = 5007.00, Rho = 0.792
(iter 10) [0.0, -0.9193, 0.0767] = 393.5702, sampling [1.0, -0.5971, 0.4549]. Recommendation = [0.0, -0.9193, 0.0767], Current Cost = 5008.00, Rho = 0.792
(iter 10) [0.0, -0.9193, 0.0767] = 393.5702, sampling [1.0, -1.0395, 0.1604]. Recommendation = [0.0, -0.9193, 0.0767], Current Cost = 5009.00, Rho = 0.792
(iter 10) [0.0, -0.9193, 0.0767] = 393.5702, sampling [1.0, -0.2897, -0.0015]. Recommendation = [0.0, -0.9193, 0.0767], Current Cost = 5010.00, Rho = 0.792
(iter 10) [0.0, -0.9193, 0.0767] = 393.5702, sampling [1.0, -0.7163, -0.4625]. Recommendation = [0.0, -0.9193, 0.0767], Current Cost = 5011.00, Rho = 0.792
(iter 10) [0.0, -0.9193, 0.0767] = 393.5702, sampling [1.0, -0.2399, 0.7130]. Recommendation = [0.0, -0.9193, 0.0767], Current Cost = 5012.00, Rho = 0.792
(iter 10) [0.0, -0.9193, 0.0767] = 393.5702, sampling [1.0, -0.2524, -0.6473]. Recommendation = [0.0, -0.9193, 0.0767], Current Cost = 5013.00, Rho = 0.792
(iter 10) [0.0, -0.9193, 0.0767] = 393.5702, sampling [1.0, -0.1322, 0.3860]. Recommendation = [0.0, -0.9193, 0.0767], Current Cost = 5014.00, Rho = 0.792
(iter 10) [0.0, -0.9193, 0.0767] = 393.5702, sampling [1.0, -0.2089, -0.2776]. Recommendation = [0.0, -0.9193, 0.0767], Current Cost = 5015.00, Rho = 0.792
(iter 10) [0.0, -0.9193, 0.0767] = 393.5702, sampling [1.0, -0.9059, -0.2579]. Recommendation = [0.0, -0.9193, 0.0767], Current Cost = 5016.00, Rho = 0.792
(iter 10) [0.0, -0.9193, 0.0767] = 393.5702, sampling [1.0, -0.8695, 0.5530]. Recommendation = [0.0, -0.9193, 0.0767], Current Cost = 5017.00, Rho = 0.792
(iter 10) [0.0, -0.9193, 0.0767] = 393.5702, sampling [1.0, -0.6354, 0.9823]. Recommendation = [0.0, -0.9193, 0.0767], Current Cost = 5018.00, Rho = 0.792
(iter 10) [0.0, -0.9193, 0.0767] = 393.5702, sampling [1.0, -0.4570, 0.6196]. Recommendation = [0.0, -0.9193, 0.0767], Current Cost = 5019.00, Rho = 0.792
(iter 10) [0.0, -0.9193, 0.0767] = 393.5702, sampling [1.0, -0.3783, -1.1768]. Recommendation = [0.0, -0.9193, 0.0767], Current Cost = 5020.00, Rho = 0.792
(iter 10) [0.0, -0.9193, 0.0767] = 393.5702, sampling [1.0, -1.1921, -0.1681]. Recommendation = [0.0, -0.9193, 0.0767], Current Cost = 5021.00, Rho = 0.792
(iter 10) [0.0, -0.9193, 0.0767] = 393.5702, sampling [1.0, -0.1279, 1.0692]. Recommendation = [0.0, -0.9193, 0.0767], Current Cost = 5022.00, Rho = 0.792
(iter 10) [0.0, -0.9193, 0.0767] = 393.5702, sampling [1.0, -1.0720, 0.3176]. Recommendation = [0.0, -0.9193, 0.0767], Current Cost = 5023.00, Rho = 0.792
(iter 10) [0.0, -0.9193, 0.0767] = 393.5702, sampling [1.0, 0.0931, -0.1342]. Recommendation = [0.0, -0.9193, 0.0767], Current Cost = 5024.00, Rho = 0.792
(iter 10) [0.0, -0.9193, 0.0767] = 393.5702, sampling [1.0, 0.2040, -1.2013]. Recommendation = [0.0, -0.9193, 0.0767], Current Cost = 5025.00, Rho = 0.792
(iter 10) [0.0, -0.9193, 0.0767] = 393.5702, sampling [1.0, 0.1191, -0.5993]. Recommendation = [0.0, -0.9193, 0.0767], Current Cost = 5026.00, Rho = 0.792
(iter 10) [0.0, -0.9193, 0.0767] = 393.5702, sampling [1.0, -0.7668, 0.6637]. Recommendation = [0.0, -0.9193, 0.0767], Current Cost = 5027.00, Rho = 0.792
(iter 10) [0.0, -0.9193, 0.0767] = 393.5702, sampling [1.0, -0.1863, 0.0964]. Recommendation = [0.0, -0.9193, 0.0767], Current Cost = 5028.00, Rho = 0.792
(iter 10) [0.0, -0.9193, 0.0767] = 393.5702, sampling [1.0, -0.4439, 1.5228]. Recommendation = [0.0, -0.9193, 0.0767], Current Cost = 5029.00, Rho = 0.792
(iter 10) [0.0, -0.9193, 0.0767] = 393.5702, sampling [1.0, -0.4223, -0.5917]. Recommendation = [0.0, -0.9193, 0.0767], Current Cost = 5030.00, Rho = 0.792
(iter 10) [0.0, -0.9193, 0.0767] = 393.5702, sampling [1.0, -0.7378, -0.3316]. Recommendation = [0.0, -0.9193, 0.0767], Current Cost = 5031.00, Rho = 0.792
(iter 10) [0.0, -0.9193, 0.0767] = 393.5702, sampling [1.0, 0.0765, 0.7361]. Recommendation = [0.0, -0.9193, 0.0767], Current Cost = 5032.00, Rho = 0.792
(iter 10) [0.0, -0.9193, 0.0767] = 393.5702, sampling [1.0, -1.0086, 0.4389]. Recommendation = [0.0, -0.9193, 0.0767], Current Cost = 5033.00, Rho = 0.792
(iter 10) [0.0, -0.9193, 0.0767] = 393.5702, sampling [1.0, 0.2595, 0.1910]. Recommendation = [0.0, -0.9193, 0.0767], Current Cost = 5034.00, Rho = 0.792
(iter 10) [0.0, -0.9193, 0.0767] = 393.5702, sampling [1.0, -1.1139, -0.8020]. Recommendation = [0.0, -0.9193, 0.0767], Current Cost = 5035.00, Rho = 0.792
(iter 10) [0.0, -0.9193, 0.0767] = 393.5702, sampling [1.0, 0.1666, 1.2886]. Recommendation = [0.0, -0.9193, 0.0767], Current Cost = 5036.00, Rho = 0.792
(iter 10) [0.0, -0.9193, 0.0767] = 393.5702, sampling [1.0, -0.3375, 1.1520]. Recommendation = [0.0, -0.9193, 0.0767], Current Cost = 5037.00, Rho = 0.792
(iter 10) [0.0, -0.9193, 0.0767] = 393.5702, sampling [1.0, -1.2239, 0.1432]. Recommendation = [0.0, -0.9193, 0.0767], Current Cost = 5038.00, Rho = 0.792
(iter 10) [0.0, -0.9193, 0.0767] = 393.5702, sampling [1.0, -0.3119, -0.9023]. Recommendation = [0.0, -0.9193, 0.0767], Current Cost = 5039.00, Rho = 0.792
