(iter 10) [0.0, 0.2552, 0.3877] = 445.3384, sampling [1.0, 0.0915, -0.3287]. Recommendation = [0.0, 0.2552, 0.3877], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.2552, 0.3877] = 445.3384, sampling [1.0, 0.0319, 0.0486]. Recommendation = [0.0, 0.2552, 0.3877], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.2552, 0.3877] = 445.3384, sampling [1.0, 0.4132, 0.0230]. Recommendation = [0.0, 0.0319, 0.0486], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.2552, 0.3877] = 445.3384, sampling [1.0, 0.2939, 0.7715]. Recommendation = [0.0, 0.1276, 0.1002], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.2552, 0.3877] = 445.3384, sampling [1.0, -0.2086, -0.4126]. Recommendation = [0.0, 0.1276, 0.1002], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.2552, 0.3877] = 445.3384, sampling [1.0, 0.1627, -0.7809]. Recommendation = [0.0, 0.1276, 0.1002], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.2552, 0.3877] = 445.3384, sampling [1.0, -0.2794, 0.3444]. Recommendation = [0.0, 0.1276, 0.1002], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.2552, 0.3877] = 445.3384, sampling [1.0, -0.1111, -0.1010]. Recommendation = [0.0, 0.1276, 0.1002], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.2552, 0.3877] = 445.3384, sampling [1.0, 0.6317, -0.2194]. Recommendation = [0.0, 0.1276, 0.1002], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.2552, 0.3877] = 445.3384, sampling [1.0, 0.7476, 0.5504]. Recommendation = [0.0, 0.1276, 0.1002], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.2552, 0.3877] = 445.3384, sampling [1.0, 0.6623, 0.1452]. Recommendation = [0.0, 0.1276, 0.1002], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.2552, 0.3877] = 445.3384, sampling [1.0, 0.7732, 0.9443]. Recommendation = [0.0, 0.5562, 0.1813], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.2552, 0.3877] = 445.3384, sampling [1.0, 0.5285, -0.5962]. Recommendation = [0.0, 0.1276, 0.1002], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.2552, 0.3877] = 445.3384, sampling [1.0, -0.2486, 0.1249]. Recommendation = [0.0, 0.1276, 0.1002], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.2552, 0.3877] = 445.3384, sampling [1.0, 0.4476, 0.8709]. Recommendation = [0.0, 0.1276, 0.1002], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.2552, 0.3877] = 445.3384, sampling [1.0, -0.2979, 1.0565]. Recommendation = [0.0, 0.1276, 0.1002], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.2552, 0.3877] = 445.3384, sampling [1.0, -0.3706, 0.6054]. Recommendation = [0.0, 0.1276, 0.1002], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.2552, 0.3877] = 445.3384, sampling [1.0, 0.1884, 0.5793]. Recommendation = [0.0, 0.1276, 0.1002], Current Cost = 5022.00, Rho = 1.000
