(iter 5) [0.0, 0.3214, -0.0120] = 454.5104, sampling [0.0, 0.1514, 1.0270]. Recommendation = [0.0, 0.3214, -0.0120], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, 0.3214, -0.0120] = 454.5104, sampling [0.0, 0.1167, 1.7909]. Recommendation = [0.0, 0.3214, -0.0120], Current Cost = 6000.00, Rho = -1.230
(iter 5) [0.0, 0.3214, -0.0120] = 454.5104, sampling [0.0, -0.0447, 0.4449]. Recommendation = [0.0, 0.3214, -0.0120], Current Cost = 7000.00, Rho = -1.230
(iter 5) [0.0, 0.3214, -0.0120] = 454.5104, sampling [0.0, 0.3675, 0.4236]. Recommendation = [0.0, 0.3214, -0.0120], Current Cost = 8000.00, Rho = -1.230
(iter 5) [0.0, 0.3214, -0.0120] = 454.5104, sampling [0.0, -0.5229, 0.7837]. Recommendation = [0.0, 0.3214, -0.0120], Current Cost = 9000.00, Rho = -1.230
(iter 5) [0.0, 0.3214, -0.0120] = 454.5104, sampling [0.0, 0.2301, 0.2080]. Recommendation = [0.0, 0.3214, -0.0120], Current Cost = 10000.00, Rho = -1.230
(iter 5) [0.0, 0.3214, -0.0120] = 454.5104, sampling [0.0, 0.6266, 0.8727]. Recommendation = [0.0, 0.3214, -0.0120], Current Cost = 11000.00, Rho = -1.230
(iter 5) [0.0, 0.3214, -0.0120] = 454.5104, sampling [0.0, 0.1389, 0.5803]. Recommendation = [0.0, 0.3214, -0.0120], Current Cost = 12000.00, Rho = -1.230
(iter 5) [0.0, 0.3214, -0.0120] = 454.5104, sampling [0.0, -0.2809, 0.9906]. Recommendation = [0.0, 0.3214, -0.0120], Current Cost = 13000.00, Rho = -1.230
(iter 5) [0.0, 0.3214, -0.0120] = 454.5104, sampling [0.0, -0.4512, 0.3969]. Recommendation = [0.0, 0.3214, -0.0120], Current Cost = 14000.00, Rho = -1.230
(iter 5) [0.0, 0.3214, -0.0120] = 454.5104, sampling [0.0, -0.9148, 0.7055]. Recommendation = [0.0, 0.3214, -0.0120], Current Cost = 15000.00, Rho = -1.230
(iter 5) [0.0, 0.3214, -0.0120] = 454.5104, sampling [0.0, -0.0003, 0.0447]. Recommendation = [0.0, 0.3214, -0.0120], Current Cost = 16000.00, Rho = -1.230
(iter 16) [0.0, -0.0003, 0.0447] = 455.0996, sampling [0.0, -1.3864, 1.2253]. Recommendation = [0.0, 0.1726, 0.0716], Current Cost = 17000.00, Rho = -1.230
(iter 16) [0.0, -0.0003, 0.0447] = 455.0996, sampling [0.0, -1.3224, 0.8125]. Recommendation = [0.0, 0.1726, 0.0716], Current Cost = 18000.00, Rho = -1.230
(iter 16) [0.0, -0.0003, 0.0447] = 455.0996, sampling [0.0, -0.2379, 0.2294]. Recommendation = [0.0, 0.1726, 0.0716], Current Cost = 19000.00, Rho = -1.230
(iter 16) [0.0, -0.0003, 0.0447] = 455.0996, sampling [0.0, -0.7866, 0.3591]. Recommendation = [0.0, 0.1726, 0.0716], Current Cost = 20000.00, Rho = -1.230
(iter 16) [0.0, -0.0003, 0.0447] = 455.0996, sampling [0.0, -1.1241, 1.7245]. Recommendation = [0.0, 0.1726, 0.0716], Current Cost = 21000.00, Rho = -1.230
(iter 16) [0.0, -0.0003, 0.0447] = 455.0996, sampling [0.0, -1.6263, 1.8044]. Recommendation = [0.0, 0.1726, 0.0716], Current Cost = 22000.00, Rho = -1.230
