(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, 0.2018, -0.7315]. Recommendation = [0.0, -1.5504, 1.6819], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, -1.3502, 1.4143]. Recommendation = [0.0, -1.5504, 1.6819], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, -1.0619, 1.2252]. Recommendation = [0.0, -1.3502, 1.4143], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, -0.7896, 1.2482]. Recommendation = [0.0, -1.0619, 1.2252], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, -0.9331, 1.1360]. Recommendation = [0.0, -1.0619, 1.2252], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, -1.0923, 1.0896]. Recommendation = [0.0, -1.0619, 1.2252], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, -0.9203, 0.9776]. Recommendation = [0.0, -1.0619, 1.2252], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, -0.8108, 1.0481]. Recommendation = [0.0, -1.0619, 1.2252], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, -1.1482, 0.9085]. Recommendation = [0.0, -1.0619, 1.2252], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, -0.6953, 0.7171]. Recommendation = [0.0, -1.0619, 1.2252], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, -0.8863, 0.6245]. Recommendation = [0.0, -1.0619, 1.2252], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, -0.5671, 0.8736]. Recommendation = [0.0, -1.0619, 1.2252], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, -0.6696, 1.0255]. Recommendation = [0.0, -1.0619, 1.2252], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, -1.2023, 0.5994]. Recommendation = [0.0, -1.0619, 1.2252], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, -0.1093, -0.4576]. Recommendation = [0.0, -1.0619, 1.2252], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, -0.5060, 0.0586]. Recommendation = [0.0, -1.0619, 1.2252], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, -0.2768, -0.0892]. Recommendation = [0.0, -1.0619, 1.2252], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, -0.2928, 0.4746]. Recommendation = [0.0, -0.2768, -0.0892], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, -0.0271, -0.2220]. Recommendation = [0.0, -0.2768, -0.0892], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, -0.3472, 0.0021]. Recommendation = [0.0, -0.2768, -0.0892], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, 0.0098, 0.1656]. Recommendation = [0.0, -0.3472, 0.0021], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, 0.1351, -0.5274]. Recommendation = [0.0, -0.2583, -0.0710], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, -0.6751, -0.0076]. Recommendation = [0.0, -0.2583, -0.0710], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, -0.2533, 0.7505]. Recommendation = [0.0, -0.2583, -0.0710], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, 0.0344, 0.3450]. Recommendation = [0.0, -0.2583, -0.0710], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, -0.3155, 0.5639]. Recommendation = [0.0, -0.2583, -0.0710], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, -0.0086, 0.5237]. Recommendation = [0.0, -0.2583, -0.0710], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, -0.7325, -0.3081]. Recommendation = [0.0, -0.2583, -0.0710], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, -0.0578, -0.2517]. Recommendation = [0.0, -0.2583, -0.0710], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, -0.3890, 0.8374]. Recommendation = [0.0, -0.2583, -0.0710], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, 0.0821, -0.6497]. Recommendation = [0.0, -0.2583, -0.0710], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, 0.1229, 0.2751]. Recommendation = [0.0, -0.2583, -0.0710], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, 0.0575, 0.1984]. Recommendation = [0.0, -0.2583, -0.0710], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, -0.2583, -0.0710]. Recommendation = [0.0, -0.2583, -0.0710], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, 0.3332, 0.2127]. Recommendation = [0.0, -0.3472, 0.0021], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, 0.1565, 0.5014]. Recommendation = [0.0, 0.3332, 0.2127], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, 0.4572, -0.3684]. Recommendation = [0.0, 0.3332, 0.2127], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, 0.5208, -0.1215]. Recommendation = [0.0, 0.3332, 0.2127], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, 0.3846, 0.3235]. Recommendation = [0.0, 0.3332, 0.2127], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, -0.8365, 1.6294]. Recommendation = [0.0, 0.3332, 0.2127], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, -0.6558, 1.1693]. Recommendation = [0.0, 0.3332, 0.2127], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, -0.7637, 1.0162]. Recommendation = [0.0, 0.3332, 0.2127], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, 0.0657, 0.8905]. Recommendation = [0.0, 0.3332, 0.2127], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, -0.1758, 0.9360]. Recommendation = [0.0, 0.3332, 0.2127], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, -0.3618, -0.0161]. Recommendation = [0.0, 0.3332, 0.2127], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, -1.2426, 0.3562]. Recommendation = [0.0, 0.3332, 0.2127], Current Cost = 5050.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, -1.6921, 1.0072]. Recommendation = [0.0, 0.3332, 0.2127], Current Cost = 5051.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, 0.5071, 0.6209]. Recommendation = [0.0, 0.3332, 0.2127], Current Cost = 5052.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, 0.2546, 0.8317]. Recommendation = [0.0, 0.3332, 0.2127], Current Cost = 5053.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, 0.4696, 0.7828]. Recommendation = [0.0, 0.3332, 0.2127], Current Cost = 5054.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, 0.6071, 0.6427]. Recommendation = [0.0, 0.3332, 0.2127], Current Cost = 5055.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, -0.6116, -0.8344]. Recommendation = [0.0, 0.3332, 0.2127], Current Cost = 5056.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, -0.3245, 0.9550]. Recommendation = [0.0, 0.3332, 0.2127], Current Cost = 5057.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, 0.1792, 0.8028]. Recommendation = [0.0, 0.3332, 0.2127], Current Cost = 5058.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, 0.0162, 1.1504]. Recommendation = [0.0, 0.3332, 0.2127], Current Cost = 5059.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, 0.1085, -0.5930]. Recommendation = [0.0, 0.3332, 0.2127], Current Cost = 5060.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, -0.3682, -0.9793]. Recommendation = [0.0, 0.3332, 0.2127], Current Cost = 5061.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, 0.7663, -0.2259]. Recommendation = [0.0, 0.3332, 0.2127], Current Cost = 5062.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, 0.7072, -0.5637]. Recommendation = [0.0, 0.3332, 0.2127], Current Cost = 5063.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, -1.4278, 1.9331]. Recommendation = [0.0, 0.3332, 0.2127], Current Cost = 5064.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, -0.9481, 1.8806]. Recommendation = [0.0, 0.3332, 0.2127], Current Cost = 5065.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, -0.5831, 1.5478]. Recommendation = [0.0, 0.3332, 0.2127], Current Cost = 5066.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, -0.8544, -0.5044]. Recommendation = [0.0, 0.3332, 0.2127], Current Cost = 5067.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, 0.8753, 0.4893]. Recommendation = [0.0, 0.3332, 0.2127], Current Cost = 5068.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, 0.9374, 0.2412]. Recommendation = [0.0, 0.3332, 0.2127], Current Cost = 5069.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, 0.9607, 0.3736]. Recommendation = [0.0, 0.3332, 0.2127], Current Cost = 5070.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, 0.8939, 0.7282]. Recommendation = [0.0, 0.3332, 0.2127], Current Cost = 5071.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, 0.9524, 0.5387]. Recommendation = [0.0, 0.8939, 0.7282], Current Cost = 5072.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, 0.9015, 0.9620]. Recommendation = [0.0, 0.8939, 0.7282], Current Cost = 5073.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, 0.7283, 1.1095]. Recommendation = [0.0, 0.8939, 0.7282], Current Cost = 5074.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, 0.3457, 1.1666]. Recommendation = [0.0, 0.8939, 0.7282], Current Cost = 5075.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, 1.0735, 0.6984]. Recommendation = [0.0, 0.8939, 0.7282], Current Cost = 5076.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, 0.9809, 1.0733]. Recommendation = [0.0, 0.8939, 0.7282], Current Cost = 5077.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, 0.6230, 1.3991]. Recommendation = [0.0, 0.8939, 0.7282], Current Cost = 5078.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, 0.9237, -0.1302]. Recommendation = [0.0, 0.8939, 0.7282], Current Cost = 5079.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, 1.0900, 0.4293]. Recommendation = [0.0, 0.8939, 0.7282], Current Cost = 5080.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, 0.7842, -0.3568]. Recommendation = [0.0, 0.8939, 0.7282], Current Cost = 5081.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, -0.2282, 1.0705]. Recommendation = [0.0, 0.8939, 0.7282], Current Cost = 5082.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, 0.4423, 1.3788]. Recommendation = [0.0, 0.8939, 0.7282], Current Cost = 5083.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, -1.7740, 1.9048]. Recommendation = [0.0, 0.8939, 0.7282], Current Cost = 5084.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, -1.2304, 0.0884]. Recommendation = [0.0, 0.8939, 0.7282], Current Cost = 5085.00, Rho = 1.000
(iter 10) [0.0, -1.5504, 1.6819] = 397.7080, sampling [1.0, 0.4802, -0.8570]. Recommendation = [0.0, 0.8939, 0.7282], Current Cost = 5086.00, Rho = 1.000
