(iter 10) [0.0, 0.2328, -0.3476] = 439.5682, sampling [1.0, -0.0443, 0.4767]. Recommendation = [0.0, -0.0702, 0.2087], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.2328, -0.3476] = 439.5682, sampling [1.0, -0.4834, 0.8617]. Recommendation = [0.0, 0.0204, 0.0707], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.2328, -0.3476] = 439.5682, sampling [1.0, 0.0204, 0.0707]. Recommendation = [0.0, 0.0204, 0.0707], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.2328, -0.3476] = 439.5682, sampling [1.0, -0.2186, 0.1999]. Recommendation = [0.0, 0.0204, 0.0707], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.2328, -0.3476] = 439.5682, sampling [1.0, 0.3040, 0.3392]. Recommendation = [0.0, 0.0204, 0.0707], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.2328, -0.3476] = 439.5682, sampling [1.0, -0.5329, 0.4275]. Recommendation = [0.0, 0.0204, 0.0707], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.2328, -0.3476] = 439.5682, sampling [1.0, 0.2102, 0.1559]. Recommendation = [0.0, 0.0204, 0.0707], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.2328, -0.3476] = 439.5682, sampling [1.0, 0.4141, 0.8069]. Recommendation = [0.0, 0.0204, 0.0707], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.2328, -0.3476] = 439.5682, sampling [1.0, -0.2905, 0.0039]. Recommendation = [0.0, 0.0204, 0.0707], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.2328, -0.3476] = 439.5682, sampling [1.0, 0.3267, -0.0771]. Recommendation = [0.0, -0.1614, 0.0925], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.2328, -0.3476] = 439.5682, sampling [1.0, -0.4655, 0.0579]. Recommendation = [0.0, -0.1614, 0.0925], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.2328, -0.3476] = 439.5682, sampling [1.0, -0.1425, 0.0464]. Recommendation = [0.0, -0.1614, 0.0925], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.2328, -0.3476] = 439.5682, sampling [1.0, -0.8223, 0.7204]. Recommendation = [0.0, -0.1614, 0.0925], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.2328, -0.3476] = 439.5682, sampling [1.0, -0.6897, 0.3853]. Recommendation = [0.0, -0.1614, 0.0925], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.2328, -0.3476] = 439.5682, sampling [1.0, 0.0854, 0.2936]. Recommendation = [0.0, -0.1614, 0.0925], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.2328, -0.3476] = 439.5682, sampling [1.0, -0.0728, -0.2622]. Recommendation = [0.0, -0.1614, 0.0925], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.2328, -0.3476] = 439.5682, sampling [1.0, -0.5670, 0.3134]. Recommendation = [0.0, -0.1425, 0.0464], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.2328, -0.3476] = 439.5682, sampling [1.0, 0.5551, 0.3005]. Recommendation = [0.0, -0.1425, 0.0464], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.2328, -0.3476] = 439.5682, sampling [1.0, 0.5363, 0.4866]. Recommendation = [0.0, 0.5551, 0.3005], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.2328, -0.3476] = 439.5682, sampling [1.0, 0.4387, 0.3995]. Recommendation = [0.0, 0.5551, 0.3005], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.2328, -0.3476] = 439.5682, sampling [1.0, -1.1619, 0.6275]. Recommendation = [0.0, 0.5551, 0.3005], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.2328, -0.3476] = 439.5682, sampling [1.0, 0.8040, 0.4603]. Recommendation = [0.0, 0.5551, 0.3005], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.2328, -0.3476] = 439.5682, sampling [1.0, 0.8091, 0.6630]. Recommendation = [0.0, 0.5551, 0.3005], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.2328, -0.3476] = 439.5682, sampling [1.0, 0.6379, 0.6053]. Recommendation = [0.0, 0.8091, 0.6630], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.2328, -0.3476] = 439.5682, sampling [1.0, 0.6687, 0.2696]. Recommendation = [0.0, 0.8091, 0.6630], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.2328, -0.3476] = 439.5682, sampling [1.0, 0.8889, 0.8766]. Recommendation = [0.0, 0.8091, 0.6630], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.2328, -0.3476] = 439.5682, sampling [1.0, 1.0425, 0.6396]. Recommendation = [0.0, 0.8091, 0.6630], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.2328, -0.3476] = 439.5682, sampling [1.0, 0.6870, 0.7379]. Recommendation = [0.0, 0.8091, 0.6630], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.2328, -0.3476] = 439.5682, sampling [1.0, -0.0702, 0.2087]. Recommendation = [0.0, 0.8091, 0.6630], Current Cost = 5033.00, Rho = 1.000
