(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, -1.0016, -0.3697]. Recommendation = [0.0, -0.9059, -0.5647], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, -1.1345, -0.5080]. Recommendation = [0.0, -1.0016, -0.3697], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, -0.5693, -0.3303]. Recommendation = [0.0, -1.0016, -0.3697], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, -0.6462, -0.1334]. Recommendation = [0.0, -0.5693, -0.3303], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, -0.7631, -0.1183]. Recommendation = [0.0, -0.6462, -0.1334], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, -0.6122, -0.0558]. Recommendation = [0.0, -0.6462, -0.1334], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, -0.5419, 0.0064]. Recommendation = [0.0, -0.6122, -0.0558], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, -0.6948, -0.0084]. Recommendation = [0.0, -0.5419, 0.0064], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, -0.3490, 0.0347]. Recommendation = [0.0, -0.5419, 0.0064], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, -0.5322, 0.2245]. Recommendation = [0.0, -0.3490, 0.0347], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, -0.7324, 0.1202]. Recommendation = [0.0, -0.3490, 0.0347], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, -0.6395, 0.3106]. Recommendation = [0.0, -0.3490, 0.0347], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, -0.3808, 0.3854]. Recommendation = [0.0, -0.3490, 0.0347], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, -0.3282, 0.0770]. Recommendation = [0.0, -0.3490, 0.0347], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, -0.2082, 0.3222]. Recommendation = [0.0, -0.3282, 0.0770], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, -0.1396, 0.1644]. Recommendation = [0.0, -0.3282, 0.0770], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, -0.1245, 0.0560]. Recommendation = [0.0, -0.3282, 0.0770], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, -0.1342, -0.1278]. Recommendation = [0.0, -0.1245, 0.0560], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, -0.2587, -0.3038]. Recommendation = [0.0, -0.1245, 0.0560], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, -0.2883, 0.4100]. Recommendation = [0.0, -0.1245, 0.0560], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, -0.0465, 0.1354]. Recommendation = [0.0, -0.1245, 0.0560], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, -0.0555, 0.2136]. Recommendation = [0.0, -0.1245, 0.0560], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, -0.2839, 0.5337]. Recommendation = [0.0, -0.1245, 0.0560], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, -0.5057, 0.6278]. Recommendation = [0.0, -0.1245, 0.0560], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, -0.6795, 0.5464]. Recommendation = [0.0, -0.1245, 0.0560], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, -0.6204, 0.3320]. Recommendation = [0.0, -0.6204, 0.3320], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, -0.7954, 0.4880]. Recommendation = [0.0, -0.1245, 0.0560], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, -0.6648, 0.6519]. Recommendation = [0.0, -0.1245, 0.0560], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, -0.4977, 0.7628]. Recommendation = [0.0, -0.1245, 0.0560], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, -0.8009, 0.6588]. Recommendation = [0.0, -0.1245, 0.0560], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, -0.7013, 0.7396]. Recommendation = [0.0, -0.1245, 0.0560], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, -0.1825, 0.6089]. Recommendation = [0.0, -0.1245, 0.0560], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, 0.0247, 0.4291]. Recommendation = [0.0, -0.1245, 0.0560], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, 0.0897, 0.0849]. Recommendation = [0.0, -0.1245, 0.0560], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, 0.1114, 0.2811]. Recommendation = [0.0, -0.1245, 0.0560], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, 0.1347, 0.1989]. Recommendation = [0.0, -0.1245, 0.0560], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, 0.0757, -0.2570]. Recommendation = [0.0, -0.1245, 0.0560], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, 0.2557, -0.0880]. Recommendation = [0.0, -0.1245, 0.0560], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, 0.3222, 0.0519]. Recommendation = [0.0, -0.1245, 0.0560], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, 0.0418, -0.3884]. Recommendation = [0.0, 0.3222, 0.0519], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, 0.2773, -0.2929]. Recommendation = [0.0, 0.3222, 0.0519], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, -0.2306, -0.5013]. Recommendation = [0.0, 0.3222, 0.0519], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, 0.1919, -0.4219]. Recommendation = [0.0, 0.3222, 0.0519], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, -0.4657, -0.3777]. Recommendation = [0.0, 0.3222, 0.0519], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, -0.0830, -0.5589]. Recommendation = [0.0, 0.3222, 0.0519], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, -0.0010, 0.5078]. Recommendation = [0.0, 0.3222, 0.0519], Current Cost = 5050.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, -0.2499, 0.4330]. Recommendation = [0.0, 0.3222, 0.0519], Current Cost = 5051.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, -0.2194, 0.8822]. Recommendation = [0.0, 0.3222, 0.0519], Current Cost = 5052.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, -0.8521, 0.4674]. Recommendation = [0.0, 0.3222, 0.0519], Current Cost = 5053.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, 0.1451, -0.5366]. Recommendation = [0.0, 0.3222, 0.0519], Current Cost = 5054.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, -0.4617, 0.9348]. Recommendation = [0.0, 0.3222, 0.0519], Current Cost = 5055.00, Rho = 1.000
(iter 10) [0.0, -0.9059, -0.5647] = 260.7378, sampling [1.0, -0.7190, 0.8030]. Recommendation = [0.0, 0.3222, 0.0519], Current Cost = 5056.00, Rho = 1.000
