(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, 0.2241, -0.0046]. Recommendation = [0.0, 0.5467, 0.0009], Current Cost = 5005.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, 0.3128, 0.2393]. Recommendation = [0.0, 0.5467, 0.0009], Current Cost = 5006.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, 0.0041, 0.3492]. Recommendation = [0.0, 0.5467, 0.0009], Current Cost = 5007.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, 0.5467, 0.0009]. Recommendation = [0.0, 0.5467, 0.0009], Current Cost = 5008.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, 0.5165, -0.1302]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5009.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, 0.1007, 0.1348]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5010.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, 0.5408, 0.0511]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5011.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, 0.2400, 0.3074]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5012.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, -0.1353, 0.5079]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5013.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, 0.0760, -0.0983]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5014.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, -0.0549, 0.2050]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5015.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, 0.0954, 0.4323]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5016.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, 0.3625, 0.3013]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5017.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, -0.1939, 0.2939]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5018.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, -0.0405, 0.0843]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5019.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, -0.2362, 0.4906]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5020.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, 0.3226, 0.5302]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5021.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, -0.3450, 0.4313]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5022.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, -0.2748, 0.1442]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5023.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, 0.6205, 0.3766]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5024.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, -0.0656, 0.8771]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5025.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, -0.0939, 0.1029]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5026.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, 0.5851, -0.2477]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5027.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, -0.4182, 0.5539]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5028.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, 0.2069, 0.6286]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5029.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, -0.0129, -0.2705]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5030.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, -0.3330, 0.5023]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5031.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, -0.2673, 0.2811]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5032.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, -0.2807, 0.6909]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5033.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, -0.4821, 0.3651]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5034.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, -0.4642, 0.7750]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5035.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, -0.3574, 0.2762]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5036.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, 0.5571, 0.4871]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5037.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, 0.1136, -0.3949]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5038.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, -0.3141, 0.0600]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5039.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, -0.5708, 0.5191]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5040.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, 0.7977, -0.0586]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5041.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, -0.4729, 0.1421]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5042.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, 0.3995, 0.8096]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5043.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, -0.2026, 0.8545]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5044.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, -0.3081, -0.2302]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5045.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, 0.3108, -0.4646]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5046.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, -0.5251, 0.6761]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5047.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, 0.8761, 0.1788]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5048.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, 0.2095, 0.8291]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5049.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, -0.5430, 0.9715]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5050.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, 0.7082, 0.6187]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5051.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, -0.8461, 0.1613]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5052.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, -0.6768, 0.7501]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5053.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, -0.1803, 1.1664]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5054.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [1.0, 0.2215, 0.6979]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5055.00, Rho = 0.299
(iter 10) [0.0, 0.6498, -0.0216] = 436.4707, sampling [0.0, 0.1007, 0.1348]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 5056.00, Rho = 0.299
(iter 61) [0.0, 0.1007, 0.1348] = 453.9383, sampling [0.0, 0.3226, 0.5302]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 6056.00, Rho = 0.299
(iter 61) [0.0, 0.1007, 0.1348] = 453.9383, sampling [1.0, 0.6028, 0.7220]. Recommendation = [0.0, 0.3128, 0.2393], Current Cost = 7056.00, Rho = 0.299
(iter 61) [0.0, 0.1007, 0.1348] = 453.9383, sampling [0.0, -0.3141, 0.0600]. Recommendation = [0.0, 0.3128, 0.2393], Current Cost = 7057.00, Rho = 0.299
(iter 64) [0.0, -0.3141, 0.0600] = 454.4237, sampling [1.0, -0.5553, -0.1665]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 8057.00, Rho = 0.299
(iter 64) [0.0, -0.3141, 0.0600] = 454.4237, sampling [1.0, -0.1846, -0.4310]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 8058.00, Rho = 0.299
(iter 64) [0.0, -0.3141, 0.0600] = 454.4237, sampling [0.0, -0.1939, 0.2939]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 8059.00, Rho = 0.299
(iter 64) [0.0, -0.3141, 0.0600] = 454.4237, sampling [1.0, 0.0262, -0.4048]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 9059.00, Rho = 0.299
(iter 64) [0.0, -0.3141, 0.0600] = 454.4237, sampling [0.0, 0.3128, 0.2393]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 9060.00, Rho = 0.299
(iter 64) [0.0, -0.3141, 0.0600] = 454.4237, sampling [0.0, 0.0760, -0.0983]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 10060.00, Rho = 0.299
(iter 64) [0.0, -0.3141, 0.0600] = 454.4237, sampling [0.0, 0.0954, 0.4323]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 11060.00, Rho = 0.299
(iter 64) [0.0, -0.3141, 0.0600] = 454.4237, sampling [0.0, -0.8461, 0.1613]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 12060.00, Rho = 0.299
(iter 64) [0.0, -0.3141, 0.0600] = 454.4237, sampling [1.0, -0.7297, -0.0108]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 13060.00, Rho = 0.299
(iter 64) [0.0, -0.3141, 0.0600] = 454.4237, sampling [1.0, -1.0603, 0.4764]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 13061.00, Rho = 0.299
(iter 64) [0.0, -0.3141, 0.0600] = 454.4237, sampling [1.0, -0.9060, 0.2303]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 13062.00, Rho = 0.299
(iter 64) [0.0, -0.3141, 0.0600] = 454.4237, sampling [1.0, -0.8363, 0.0202]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 13063.00, Rho = 0.299
(iter 64) [0.0, -0.3141, 0.0600] = 454.4237, sampling [1.0, -0.6032, 0.6689]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 13064.00, Rho = 0.299
(iter 64) [0.0, -0.3141, 0.0600] = 454.4237, sampling [1.0, -0.3899, -0.2813]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 13065.00, Rho = 0.299
(iter 64) [0.0, -0.3141, 0.0600] = 454.4237, sampling [1.0, -0.9838, 0.0783]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 13066.00, Rho = 0.299
(iter 64) [0.0, -0.3141, 0.0600] = 454.4237, sampling [1.0, -0.7025, -0.2639]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 13067.00, Rho = 0.299
(iter 64) [0.0, -0.3141, 0.0600] = 454.4237, sampling [1.0, -1.0707, 0.8914]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 13068.00, Rho = 0.299
(iter 64) [0.0, -0.3141, 0.0600] = 454.4237, sampling [0.0, -0.4821, 0.3651]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 13069.00, Rho = 0.299
(iter 64) [0.0, -0.3141, 0.0600] = 454.4237, sampling [0.0, -0.3081, -0.2302]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 14069.00, Rho = 0.299
(iter 64) [0.0, -0.3141, 0.0600] = 454.4237, sampling [1.0, -0.3706, -0.3599]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 15069.00, Rho = 0.299
(iter 64) [0.0, -0.3141, 0.0600] = 454.4237, sampling [1.0, -0.5024, -0.3486]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 15070.00, Rho = 0.299
(iter 64) [0.0, -0.3141, 0.0600] = 454.4237, sampling [1.0, 0.1597, -0.4759]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 15071.00, Rho = 0.299
(iter 64) [0.0, -0.3141, 0.0600] = 454.4237, sampling [1.0, -0.5946, -0.1839]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 15072.00, Rho = 0.299
(iter 64) [0.0, -0.3141, 0.0600] = 454.4237, sampling [0.0, -0.7740, 0.9472]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 15073.00, Rho = 0.299
(iter 64) [0.0, -0.3141, 0.0600] = 454.4237, sampling [1.0, -0.7740, 0.9472]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 16073.00, Rho = 0.299
(iter 64) [0.0, -0.3141, 0.0600] = 454.4237, sampling [1.0, -0.7176, 0.9763]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 16074.00, Rho = 0.299
(iter 64) [0.0, -0.3141, 0.0600] = 454.4237, sampling [1.0, -0.6824, 1.0668]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 16075.00, Rho = 0.299
(iter 64) [0.0, -0.3141, 0.0600] = 454.4237, sampling [1.0, -0.7657, 0.9963]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 16076.00, Rho = 0.299
(iter 64) [0.0, -0.3141, 0.0600] = 454.4237, sampling [1.0, -0.9588, 1.1126]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 16077.00, Rho = 0.299
(iter 64) [0.0, -0.3141, 0.0600] = 454.4237, sampling [1.0, -1.2159, 0.7199]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 16078.00, Rho = 0.299
(iter 64) [0.0, -0.3141, 0.0600] = 454.4237, sampling [1.0, -0.7042, 1.0109]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 16079.00, Rho = 0.299
(iter 64) [0.0, -0.3141, 0.0600] = 454.4237, sampling [1.0, -0.7377, 1.4564]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 16080.00, Rho = 0.299
(iter 64) [0.0, -0.3141, 0.0600] = 454.4237, sampling [1.0, -1.0112, 1.0371]. Recommendation = [0.0, 0.2241, -0.0046], Current Cost = 16081.00, Rho = 0.299
