(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -0.6739, 1.0688]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5005.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -0.5358, 0.9183]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5006.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, 0.3046, 0.0334]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5007.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -0.2783, 0.6613]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5008.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, 0.1307, 0.1944]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5009.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, 0.2240, -0.1473]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5010.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -0.7974, 0.6720]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5011.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -0.5522, 0.8146]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5012.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, 0.3943, 0.0495]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5013.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -0.3734, 0.4181]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5014.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, 0.0169, 0.3791]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5015.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, 0.1039, -0.0064]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5016.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -0.4651, 0.6916]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5017.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -0.9634, 1.0853]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5018.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -1.0288, 0.8438]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5019.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -0.4444, 1.1350]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5020.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, 0.3216, 0.2113]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5021.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -0.6692, 0.4833]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5022.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -0.1913, 0.8589]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5023.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -0.1821, 0.0566]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5024.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -0.1191, 0.4995]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5025.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -0.7478, 1.3758]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5026.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, 0.0363, 0.1215]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5027.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -0.5871, 1.2211]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5028.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, 0.2414, 0.4741]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5029.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -1.1255, 1.0441]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5030.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -0.9035, 0.5989]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5031.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -0.4273, 0.9565]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5032.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -1.0392, 1.3268]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5033.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -0.4831, 0.1810]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5034.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, 0.2191, 0.3632]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5035.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -0.6340, 1.1063]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5036.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, 0.2126, -0.2861]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5037.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -1.0877, 0.7445]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5038.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -0.1293, -0.1410]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5039.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, 0.1153, 0.5208]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5040.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -0.5137, 1.0552]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5041.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -0.4003, 0.7414]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5042.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, 0.1938, 0.8908]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5043.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -0.0999, 1.2032]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5044.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, 0.0422, -0.0286]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5045.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -0.6519, 0.2779]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5046.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -0.7867, 0.6263]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5047.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -0.3650, 0.1365]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5048.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -0.8709, 1.4205]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5049.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -1.2756, 1.2422]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5050.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -1.3134, 0.8666]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5051.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -0.9589, 0.4709]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5052.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, 0.2326, 0.6650]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5053.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, 0.3448, 0.2648]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5054.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -0.0203, -0.2715]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5055.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -0.3279, 0.9968]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5056.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, 0.6811, 0.2601]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5057.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, 0.5497, 0.5463]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5058.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, 0.7225, 0.1019]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5059.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -0.5643, 1.5246]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5060.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -1.0044, 0.6160]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5061.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -1.1293, 1.5376]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5062.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, 0.3369, -0.4229]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5063.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -0.3504, -0.0845]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5064.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, 0.0138, 0.9435]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5065.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -0.9719, 1.3961]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5066.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, 0.6399, 0.4375]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5067.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, 0.4981, 0.7800]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5068.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -1.1960, 1.0112]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5069.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -0.4556, 1.2581]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5070.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -0.9962, 1.6508]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5071.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -0.1470, -0.0465]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5072.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -0.8458, 0.5914]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5073.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, 0.0872, -0.4315]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5074.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, 0.7622, -0.0602]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5075.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, 0.1541, 0.4262]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5076.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -0.8218, 0.0889]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5077.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -1.1763, 0.4469]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5078.00, Rho = 0.146
(iter 10) [0.0, -0.8129, 0.9724] = 443.3074, sampling [1.0, -0.7398, 1.5905]. Recommendation = [0.0, -0.8129, 0.9724], Current Cost = 5079.00, Rho = 0.146
