(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.3465, 0.0350]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 1.2665, 0.1411]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -0.0925, 0.5908]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.3630, 1.4324]. Recommendation = [0.0, -0.0434, 0.1532], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 1.3948, 0.9844]. Recommendation = [0.0, -0.0434, 0.1532], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -0.0434, 0.1532]. Recommendation = [0.0, -0.0434, 0.1532], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.1448, -0.4088]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.4421, 0.5672]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.8738, 1.2433]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.8419, -0.4701]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, 0.9814, 1.8999]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.7161, 0.7755] = 449.3225, sampling [1.0, -0.4332, 1.1445]. Recommendation = [0.0, 0.0657, -0.0466], Current Cost = 5016.00, Rho = 1.000
