(iter 10) [0.0, 0.0046, -0.1411] = 453.3172, sampling [1.0, -0.5198, 0.7906]. Recommendation = [0.0, 0.0046, -0.1411], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.0046, -0.1411] = 453.3172, sampling [1.0, -1.0426, 1.3764]. Recommendation = [0.0, 0.0046, -0.1411], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.0046, -0.1411] = 453.3172, sampling [1.0, -0.1502, 0.2202]. Recommendation = [0.0, 0.0046, -0.1411], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.0046, -0.1411] = 453.3172, sampling [1.0, -1.1414, 0.8995]. Recommendation = [0.0, 0.0046, -0.1411], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.0046, -0.1411] = 453.3172, sampling [1.0, -0.4262, 1.4608]. Recommendation = [0.0, 0.0046, -0.1411], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.0046, -0.1411] = 453.3172, sampling [1.0, -0.4888, 0.4091]. Recommendation = [0.0, 0.0046, -0.1411], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.0046, -0.1411] = 453.3172, sampling [1.0, -1.3579, 1.4280]. Recommendation = [0.0, 0.0046, -0.1411], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.0046, -0.1411] = 453.3172, sampling [1.0, -0.8890, 0.5186]. Recommendation = [0.0, 0.0046, -0.1411], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.0046, -0.1411] = 453.3172, sampling [1.0, -0.3838, 0.0208]. Recommendation = [0.0, 0.0046, -0.1411], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.0046, -0.1411] = 453.3172, sampling [1.0, -0.0787, 0.0364]. Recommendation = [0.0, -0.3193, 0.2324], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.0046, -0.1411] = 453.3172, sampling [1.0, -0.3193, 0.2324]. Recommendation = [0.0, -0.3193, 0.2324], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.0046, -0.1411] = 453.3172, sampling [1.0, -0.7571, 0.1429]. Recommendation = [0.0, -0.0787, 0.0364], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.0046, -0.1411] = 453.3172, sampling [1.0, -1.6367, 1.1481]. Recommendation = [0.0, -0.0787, 0.0364], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.0046, -0.1411] = 453.3172, sampling [1.0, -0.8727, 0.9535]. Recommendation = [0.0, -0.0787, 0.0364], Current Cost = 5018.00, Rho = 1.000
