(iter 10) [0.0, 0.1978, -0.0858] = 454.0952, sampling [1.0, -0.1060, 0.0935]. Recommendation = [0.0, 0.1978, -0.0858], Current Cost = 5005.00, Rho = 0.145
(iter 10) [0.0, 0.1978, -0.0858] = 454.0952, sampling [1.0, -0.3685, 0.4846]. Recommendation = [0.0, 0.1978, -0.0858], Current Cost = 5006.00, Rho = 0.145
(iter 10) [0.0, 0.1978, -0.0858] = 454.0952, sampling [1.0, 0.1356, 0.0827]. Recommendation = [0.0, 0.1978, -0.0858], Current Cost = 5007.00, Rho = 0.145
(iter 10) [0.0, 0.1978, -0.0858] = 454.0952, sampling [1.0, -0.4771, 0.3396]. Recommendation = [0.0, 0.1978, -0.0858], Current Cost = 5008.00, Rho = 0.145
(iter 10) [0.0, 0.1978, -0.0858] = 454.0952, sampling [1.0, -0.1265, 0.2577]. Recommendation = [0.0, 0.1978, -0.0858], Current Cost = 5009.00, Rho = 0.145
(iter 10) [0.0, 0.1978, -0.0858] = 454.0952, sampling [1.0, -0.8315, 0.8132]. Recommendation = [0.0, 0.1978, -0.0858], Current Cost = 5010.00, Rho = 0.145
(iter 10) [0.0, 0.1978, -0.0858] = 454.0952, sampling [1.0, -0.6203, 0.5209]. Recommendation = [0.0, 0.1978, -0.0858], Current Cost = 5011.00, Rho = 0.145
(iter 10) [0.0, 0.1978, -0.0858] = 454.0952, sampling [1.0, -0.4452, 0.6808]. Recommendation = [0.0, 0.1978, -0.0858], Current Cost = 5012.00, Rho = 0.145
(iter 10) [0.0, 0.1978, -0.0858] = 454.0952, sampling [1.0, -0.2257, 0.1559]. Recommendation = [0.0, 0.1978, -0.0858], Current Cost = 5013.00, Rho = 0.145
(iter 10) [0.0, 0.1978, -0.0858] = 454.0952, sampling [1.0, -0.0894, -0.1948]. Recommendation = [0.0, 0.1978, -0.0858], Current Cost = 5014.00, Rho = 0.145
(iter 10) [0.0, 0.1978, -0.0858] = 454.0952, sampling [1.0, 0.0088, 0.1791]. Recommendation = [0.0, 0.1978, -0.0858], Current Cost = 5015.00, Rho = 0.145
(iter 10) [0.0, 0.1978, -0.0858] = 454.0952, sampling [1.0, 0.1809, 0.0307]. Recommendation = [0.0, 0.1978, -0.0858], Current Cost = 5016.00, Rho = 0.145
(iter 10) [0.0, 0.1978, -0.0858] = 454.0952, sampling [1.0, -1.1116, 1.2681]. Recommendation = [0.0, 0.1978, -0.0858], Current Cost = 5017.00, Rho = 0.145
(iter 10) [0.0, 0.1978, -0.0858] = 454.0952, sampling [1.0, -0.7802, 0.5604]. Recommendation = [0.0, 0.1978, -0.0858], Current Cost = 5018.00, Rho = 0.145
(iter 10) [0.0, 0.1978, -0.0858] = 454.0952, sampling [1.0, -0.5882, 0.5568]. Recommendation = [0.0, 0.1978, -0.0858], Current Cost = 5019.00, Rho = 0.145
(iter 10) [0.0, 0.1978, -0.0858] = 454.0952, sampling [1.0, -0.1557, 0.4900]. Recommendation = [0.0, 0.1978, -0.0858], Current Cost = 5020.00, Rho = 0.145
(iter 10) [0.0, 0.1978, -0.0858] = 454.0952, sampling [1.0, -0.5247, 0.8382]. Recommendation = [0.0, 0.1978, -0.0858], Current Cost = 5021.00, Rho = 0.145
(iter 10) [0.0, 0.1978, -0.0858] = 454.0952, sampling [1.0, -1.2957, 1.3739]. Recommendation = [0.0, 0.1978, -0.0858], Current Cost = 5022.00, Rho = 0.145
(iter 10) [0.0, 0.1978, -0.0858] = 454.0952, sampling [1.0, -0.7444, 0.3857]. Recommendation = [0.0, 0.1978, -0.0858], Current Cost = 5023.00, Rho = 0.145
(iter 10) [0.0, 0.1978, -0.0858] = 454.0952, sampling [1.0, -0.4601, -0.0488]. Recommendation = [0.0, 0.1978, -0.0858], Current Cost = 5024.00, Rho = 0.145
(iter 10) [0.0, 0.1978, -0.0858] = 454.0952, sampling [1.0, -0.9801, 1.1555]. Recommendation = [0.0, 0.1978, -0.0858], Current Cost = 5025.00, Rho = 0.145
