(iter 10) [0.0, 0.9365, 0.6614] = 451.6510, sampling [1.0, 0.1014, -0.0790]. Recommendation = [0.0, 0.9365, 0.6614], Current Cost = 5005.00, Rho = 0.096
(iter 10) [0.0, 0.9365, 0.6614] = 451.6510, sampling [1.0, 0.2205, 0.0519]. Recommendation = [0.0, 0.1014, -0.0790], Current Cost = 5006.00, Rho = 0.096
(iter 10) [0.0, 0.9365, 0.6614] = 451.6510, sampling [1.0, 0.4071, -0.1281]. Recommendation = [0.0, 0.2205, 0.0519], Current Cost = 5007.00, Rho = 0.096
(iter 10) [0.0, 0.9365, 0.6614] = 451.6510, sampling [1.0, 0.3652, 0.0914]. Recommendation = [0.0, 0.4071, -0.1281], Current Cost = 5008.00, Rho = 0.096
(iter 10) [0.0, 0.9365, 0.6614] = 451.6510, sampling [1.0, 0.5484, -0.0683]. Recommendation = [0.0, 0.4071, -0.1281], Current Cost = 5009.00, Rho = 0.096
(iter 10) [0.0, 0.9365, 0.6614] = 451.6510, sampling [1.0, 0.2774, -0.3245]. Recommendation = [0.0, 0.4071, -0.1281], Current Cost = 5010.00, Rho = 0.096
(iter 10) [0.0, 0.9365, 0.6614] = 451.6510, sampling [1.0, 0.4107, -0.2962]. Recommendation = [0.0, 0.4071, -0.1281], Current Cost = 5011.00, Rho = 0.096
(iter 10) [0.0, 0.9365, 0.6614] = 451.6510, sampling [1.0, 0.5692, 0.2222]. Recommendation = [0.0, 0.4071, -0.1281], Current Cost = 5012.00, Rho = 0.096
(iter 10) [0.0, 0.9365, 0.6614] = 451.6510, sampling [1.0, 0.7381, 0.0142]. Recommendation = [0.0, 0.4071, -0.1281], Current Cost = 5013.00, Rho = 0.096
(iter 10) [0.0, 0.9365, 0.6614] = 451.6510, sampling [1.0, 0.0769, -0.2243]. Recommendation = [0.0, 0.4071, -0.1281], Current Cost = 5014.00, Rho = 0.096
(iter 10) [0.0, 0.9365, 0.6614] = 451.6510, sampling [1.0, 0.2376, 0.3342]. Recommendation = [0.0, 0.4071, -0.1281], Current Cost = 5015.00, Rho = 0.096
(iter 10) [0.0, 0.9365, 0.6614] = 451.6510, sampling [1.0, 0.1103, 0.0601]. Recommendation = [0.0, 0.4071, -0.1281], Current Cost = 5016.00, Rho = 0.096
(iter 10) [0.0, 0.9365, 0.6614] = 451.6510, sampling [1.0, 0.7171, -0.2663]. Recommendation = [0.0, 0.4071, -0.1281], Current Cost = 5017.00, Rho = 0.096
(iter 10) [0.0, 0.9365, 0.6614] = 451.6510, sampling [1.0, 0.5093, 0.4618]. Recommendation = [0.0, 0.4071, -0.1281], Current Cost = 5018.00, Rho = 0.096
(iter 10) [0.0, 0.9365, 0.6614] = 451.6510, sampling [1.0, 0.5395, 0.2959]. Recommendation = [0.0, 0.4071, -0.1281], Current Cost = 5019.00, Rho = 0.096
(iter 10) [0.0, 0.9365, 0.6614] = 451.6510, sampling [1.0, 0.4524, -0.3873]. Recommendation = [0.0, 0.4071, -0.1281], Current Cost = 5020.00, Rho = 0.096
(iter 10) [0.0, 0.9365, 0.6614] = 451.6510, sampling [1.0, 0.1715, -0.3615]. Recommendation = [0.0, 0.4071, -0.1281], Current Cost = 5021.00, Rho = 0.096
(iter 10) [0.0, 0.9365, 0.6614] = 451.6510, sampling [1.0, -0.1331, 0.0032]. Recommendation = [0.0, 0.4071, -0.1281], Current Cost = 5022.00, Rho = 0.096
(iter 10) [0.0, 0.9365, 0.6614] = 451.6510, sampling [1.0, 0.0565, 0.4135]. Recommendation = [0.0, 0.4071, -0.1281], Current Cost = 5023.00, Rho = 0.096
(iter 10) [0.0, 0.9365, 0.6614] = 451.6510, sampling [1.0, 0.2110, 0.4068]. Recommendation = [0.0, 0.0565, 0.4135], Current Cost = 5024.00, Rho = 0.096
(iter 10) [0.0, 0.9365, 0.6614] = 451.6510, sampling [1.0, 0.0836, 0.5303]. Recommendation = [0.0, 0.0565, 0.4135], Current Cost = 5025.00, Rho = 0.096
(iter 10) [0.0, 0.9365, 0.6614] = 451.6510, sampling [1.0, 0.1577, 0.5824]. Recommendation = [0.0, 0.0565, 0.4135], Current Cost = 5026.00, Rho = 0.096
(iter 10) [0.0, 0.9365, 0.6614] = 451.6510, sampling [1.0, 0.3506, 0.6140]. Recommendation = [0.0, 0.0565, 0.4135], Current Cost = 5027.00, Rho = 0.096
(iter 10) [0.0, 0.9365, 0.6614] = 451.6510, sampling [1.0, 0.0303, 0.5204]. Recommendation = [0.0, 0.0565, 0.4135], Current Cost = 5028.00, Rho = 0.096
(iter 10) [0.0, 0.9365, 0.6614] = 451.6510, sampling [1.0, -0.1961, 0.4682]. Recommendation = [0.0, 0.0303, 0.5204], Current Cost = 5029.00, Rho = 0.096
(iter 10) [0.0, 0.9365, 0.6614] = 451.6510, sampling [1.0, -0.2528, 0.4927]. Recommendation = [0.0, -0.1961, 0.4682], Current Cost = 5030.00, Rho = 0.096
(iter 10) [0.0, 0.9365, 0.6614] = 451.6510, sampling [1.0, -0.2574, 0.5883]. Recommendation = [0.0, -0.2528, 0.4927], Current Cost = 5031.00, Rho = 0.096
(iter 10) [0.0, 0.9365, 0.6614] = 451.6510, sampling [1.0, -0.0750, 0.6906]. Recommendation = [0.0, -0.2574, 0.5883], Current Cost = 5032.00, Rho = 0.096
(iter 10) [0.0, 0.9365, 0.6614] = 451.6510, sampling [1.0, -0.3173, 0.7318]. Recommendation = [0.0, -0.2574, 0.5883], Current Cost = 5033.00, Rho = 0.096
(iter 10) [0.0, 0.9365, 0.6614] = 451.6510, sampling [1.0, -0.2876, 0.9414]. Recommendation = [0.0, -0.3173, 0.7318], Current Cost = 5034.00, Rho = 0.096
(iter 10) [0.0, 0.9365, 0.6614] = 451.6510, sampling [1.0, -0.3363, 0.9447]. Recommendation = [0.0, -0.3173, 0.7318], Current Cost = 5035.00, Rho = 0.096
(iter 10) [0.0, 0.9365, 0.6614] = 451.6510, sampling [1.0, -0.2744, 1.1495]. Recommendation = [0.0, -0.3363, 0.9447], Current Cost = 5036.00, Rho = 0.096
(iter 10) [0.0, 0.9365, 0.6614] = 451.6510, sampling [1.0, -0.5824, 0.9874]. Recommendation = [0.0, -0.3363, 0.9447], Current Cost = 5037.00, Rho = 0.096
(iter 10) [0.0, 0.9365, 0.6614] = 451.6510, sampling [1.0, -0.6427, 1.0073]. Recommendation = [0.0, -0.5824, 0.9874], Current Cost = 5038.00, Rho = 0.096
(iter 10) [0.0, 0.9365, 0.6614] = 451.6510, sampling [1.0, -0.6713, 0.9778]. Recommendation = [0.0, -0.6427, 1.0073], Current Cost = 5039.00, Rho = 0.096
(iter 10) [0.0, 0.9365, 0.6614] = 451.6510, sampling [1.0, -0.7240, 1.0378]. Recommendation = [0.0, -0.6713, 0.9778], Current Cost = 5040.00, Rho = 0.096
(iter 10) [0.0, 0.9365, 0.6614] = 451.6510, sampling [1.0, -0.6857, 1.0934]. Recommendation = [0.0, -0.7240, 1.0378], Current Cost = 5041.00, Rho = 0.096
(iter 10) [0.0, 0.9365, 0.6614] = 451.6510, sampling [1.0, -0.7529, 0.9131]. Recommendation = [0.0, -0.7240, 1.0378], Current Cost = 5042.00, Rho = 0.096
(iter 10) [0.0, 0.9365, 0.6614] = 451.6510, sampling [1.0, -0.8972, 1.0860]. Recommendation = [0.0, -0.7529, 0.9131], Current Cost = 5043.00, Rho = 0.096
(iter 10) [0.0, 0.9365, 0.6614] = 451.6510, sampling [1.0, -0.9378, 1.1030]. Recommendation = [0.0, -0.8972, 1.0860], Current Cost = 5044.00, Rho = 0.096
(iter 10) [0.0, 0.9365, 0.6614] = 451.6510, sampling [1.0, -0.9620, 1.0529]. Recommendation = [0.0, -0.9378, 1.1030], Current Cost = 5045.00, Rho = 0.096
(iter 10) [0.0, 0.9365, 0.6614] = 451.6510, sampling [1.0, -1.0088, 0.9249]. Recommendation = [0.0, -0.9620, 1.0529], Current Cost = 5046.00, Rho = 0.096
(iter 10) [0.0, 0.9365, 0.6614] = 451.6510, sampling [1.0, -0.8792, 0.8481]. Recommendation = [0.0, -0.9620, 1.0529], Current Cost = 5047.00, Rho = 0.096
(iter 10) [0.0, 0.9365, 0.6614] = 451.6510, sampling [1.0, -1.1495, 0.8926]. Recommendation = [0.0, -0.9620, 1.0529], Current Cost = 5048.00, Rho = 0.096
