(iter 10) [0.0, -0.2709, 0.2336] = 452.1180, sampling [1.0, -0.5539, 0.7271]. Recommendation = [0.0, -0.2709, 0.2336], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.2709, 0.2336] = 452.1180, sampling [1.0, -0.7125, 0.3825]. Recommendation = [0.0, -0.2709, 0.2336], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.2709, 0.2336] = 452.1180, sampling [1.0, -0.3850, 1.3054]. Recommendation = [0.0, -0.4910, 0.4353], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.2709, 0.2336] = 452.1180, sampling [1.0, -0.8435, 0.7622]. Recommendation = [0.0, -0.4910, 0.4353], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.2709, 0.2336] = 452.1180, sampling [1.0, -1.0684, 0.4096]. Recommendation = [0.0, -0.4910, 0.4353], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.2709, 0.2336] = 452.1180, sampling [1.0, -0.4497, 0.4259]. Recommendation = [0.0, -0.7071, 0.6475], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.2709, 0.2336] = 452.1180, sampling [1.0, -0.2061, 0.8230]. Recommendation = [0.0, -0.7071, 0.6475], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.2709, 0.2336] = 452.1180, sampling [1.0, -0.7613, 0.0527]. Recommendation = [0.0, -0.7071, 0.6475], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.2709, 0.2336] = 452.1180, sampling [1.0, -0.9165, 1.2663]. Recommendation = [0.0, -0.5115, 0.3865], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.2709, 0.2336] = 452.1180, sampling [1.0, -0.8282, 0.9485]. Recommendation = [0.0, -0.5115, 0.3865], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.2709, 0.2336] = 452.1180, sampling [1.0, -0.4467, 0.2468]. Recommendation = [0.0, -0.5115, 0.3865], Current Cost = 5015.00, Rho = 1.000
