(iter 10) [0.0, 0.4833, -0.1264] = 443.0761, sampling [1.0, 0.1801, 0.3357]. Recommendation = [0.0, 0.4833, -0.1264], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.4833, -0.1264] = 443.0761, sampling [1.0, -0.0981, 0.9284]. Recommendation = [0.0, 0.4833, -0.1264], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.4833, -0.1264] = 443.0761, sampling [1.0, 0.2058, 0.0619]. Recommendation = [0.0, 0.4833, -0.1264], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.4833, -0.1264] = 443.0761, sampling [1.0, 0.5450, 0.4536]. Recommendation = [0.0, 0.2058, 0.0619], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.4833, -0.1264] = 443.0761, sampling [1.0, 0.2325, 0.6602]. Recommendation = [0.0, 0.3167, 0.2046], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.4833, -0.1264] = 443.0761, sampling [1.0, -0.0614, 0.4170]. Recommendation = [0.0, 0.3167, 0.2046], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.4833, -0.1264] = 443.0761, sampling [1.0, 0.3870, 0.0762]. Recommendation = [0.0, 0.3167, 0.2046], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.4833, -0.1264] = 443.0761, sampling [1.0, 0.3167, 0.2046]. Recommendation = [0.0, 0.3167, 0.2046], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.4833, -0.1264] = 443.0761, sampling [1.0, -0.0447, 0.1416]. Recommendation = [0.0, 0.3870, 0.0762], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.4833, -0.1264] = 443.0761, sampling [1.0, -0.4920, 0.6845]. Recommendation = [0.0, 0.2540, 0.1931], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.4833, -0.1264] = 443.0761, sampling [1.0, -0.1618, 0.5646]. Recommendation = [0.0, 0.2540, 0.1931], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.4833, -0.1264] = 443.0761, sampling [1.0, -0.4991, 0.9816]. Recommendation = [0.0, 0.2540, 0.1931], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.4833, -0.1264] = 443.0761, sampling [1.0, 0.0693, 0.2526]. Recommendation = [0.0, 0.2540, 0.1931], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.4833, -0.1264] = 443.0761, sampling [1.0, 0.6833, 0.1005]. Recommendation = [0.0, 0.2540, 0.1931], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.4833, -0.1264] = 443.0761, sampling [1.0, 0.3433, 0.9990]. Recommendation = [0.0, 0.3870, 0.0762], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.4833, -0.1264] = 443.0761, sampling [1.0, -0.1859, 1.2346]. Recommendation = [0.0, 0.3870, 0.0762], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.4833, -0.1264] = 443.0761, sampling [1.0, -0.2632, 0.2975]. Recommendation = [0.0, 0.3870, 0.0762], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.4833, -0.1264] = 443.0761, sampling [1.0, -0.4808, 0.4573]. Recommendation = [0.0, 0.3870, 0.0762], Current Cost = 5022.00, Rho = 1.000
