(iter 10) [0.0, 0.0146, 0.1033] = 454.2659, sampling [1.0, -0.2661, -0.2940]. Recommendation = [0.0, 0.0146, 0.1033], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.0146, 0.1033] = 454.2659, sampling [1.0, 0.0702, -0.2382]. Recommendation = [0.0, 0.0146, 0.1033], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.0146, 0.1033] = 454.2659, sampling [1.0, -0.2543, 0.1095]. Recommendation = [0.0, 0.0146, 0.1033], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.0146, 0.1033] = 454.2659, sampling [1.0, -0.0040, 0.5260]. Recommendation = [0.0, 0.0146, 0.1033], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.0146, 0.1033] = 454.2659, sampling [1.0, 0.3811, 0.3150]. Recommendation = [0.0, 0.0146, 0.1033], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.0146, 0.1033] = 454.2659, sampling [1.0, 0.3296, -0.1185]. Recommendation = [0.0, 0.0146, 0.1033], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.0146, 0.1033] = 454.2659, sampling [1.0, 0.1705, 0.2535]. Recommendation = [0.0, 0.0146, 0.1033], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.0146, 0.1033] = 454.2659, sampling [1.0, 0.3974, 0.8767]. Recommendation = [0.0, 0.0146, 0.1033], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.0146, 0.1033] = 454.2659, sampling [1.0, -0.0482, -0.6093]. Recommendation = [0.0, 0.0146, 0.1033], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.0146, 0.1033] = 454.2659, sampling [1.0, -0.0227, -0.1424]. Recommendation = [0.0, 0.0146, 0.1033], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.0146, 0.1033] = 454.2659, sampling [1.0, -0.3386, -0.0842]. Recommendation = [0.0, 0.0146, 0.1033], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.0146, 0.1033] = 454.2659, sampling [1.0, -0.2763, 0.3770]. Recommendation = [0.0, 0.0146, 0.1033], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.0146, 0.1033] = 454.2659, sampling [1.0, -0.1384, 1.1206]. Recommendation = [0.0, 0.0146, 0.1033], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.0146, 0.1033] = 454.2659, sampling [1.0, -0.4182, -0.5361]. Recommendation = [0.0, 0.0146, 0.1033], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.0146, 0.1033] = 454.2659, sampling [1.0, 0.0063, 0.3278]. Recommendation = [0.0, 0.0146, 0.1033], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.0146, 0.1033] = 454.2659, sampling [1.0, -0.0914, -0.4135]. Recommendation = [0.0, 0.0146, 0.1033], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.0146, 0.1033] = 454.2659, sampling [1.0, 0.7683, 0.1902]. Recommendation = [0.0, 0.0146, 0.1033], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.0146, 0.1033] = 454.2659, sampling [1.0, 0.3399, -0.4285]. Recommendation = [0.0, 0.0146, 0.1033], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.0146, 0.1033] = 454.2659, sampling [1.0, 0.6668, 1.2219]. Recommendation = [0.0, 0.0146, 0.1033], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.0146, 0.1033] = 454.2659, sampling [1.0, 0.6138, 0.5421]. Recommendation = [0.0, 0.0146, 0.1033], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.0146, 0.1033] = 454.2659, sampling [1.0, -0.4977, -0.2436]. Recommendation = [0.0, 0.0146, 0.1033], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.0146, 0.1033] = 454.2659, sampling [1.0, 0.2859, 1.5794]. Recommendation = [0.0, 0.0146, 0.1033], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.0146, 0.1033] = 454.2659, sampling [1.0, 0.5531, 0.0639]. Recommendation = [0.0, 0.0146, 0.1033], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.0146, 0.1033] = 454.2659, sampling [1.0, -0.5737, 0.4986]. Recommendation = [0.0, 0.0146, 0.1033], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.0146, 0.1033] = 454.2659, sampling [1.0, -0.4329, 0.0857]. Recommendation = [0.0, 0.0146, 0.1033], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.0146, 0.1033] = 454.2659, sampling [1.0, -0.0877, 0.7724]. Recommendation = [0.0, 0.0146, 0.1033], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.0146, 0.1033] = 454.2659, sampling [1.0, -0.2015, 0.2477]. Recommendation = [0.0, 0.0146, 0.1033], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.0146, 0.1033] = 454.2659, sampling [1.0, 0.8358, -0.2185]. Recommendation = [0.0, 0.0146, 0.1033], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.0146, 0.1033] = 454.2659, sampling [1.0, 0.9340, 0.7863]. Recommendation = [0.0, 0.0146, 0.1033], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.0146, 0.1033] = 454.2659, sampling [1.0, -0.2410, -0.7216]. Recommendation = [0.0, 0.0146, 0.1033], Current Cost = 5034.00, Rho = 1.000
