(iter 10) [0.0, -0.0307, 1.4375] = 248.8728, sampling [1.0, 0.2696, -0.9718]. Recommendation = [0.0, -0.0307, 1.4375], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.0307, 1.4375] = 248.8728, sampling [1.0, 0.0921, -0.7129]. Recommendation = [0.0, 0.2696, -0.9718], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.0307, 1.4375] = 248.8728, sampling [1.0, -0.0124, -0.8890]. Recommendation = [0.0, 0.0921, -0.7129], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.0307, 1.4375] = 248.8728, sampling [1.0, 0.2423, -0.5360]. Recommendation = [0.0, 0.0921, -0.7129], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.0307, 1.4375] = 248.8728, sampling [1.0, 0.1516, -0.6293]. Recommendation = [0.0, 0.2423, -0.5360], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.0307, 1.4375] = 248.8728, sampling [1.0, 0.3949, -0.3061]. Recommendation = [0.0, 0.2423, -0.5360], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.0307, 1.4375] = 248.8728, sampling [1.0, 0.5521, -0.4489]. Recommendation = [0.0, 0.3949, -0.3061], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.0307, 1.4375] = 248.8728, sampling [1.0, 0.1727, -0.1501]. Recommendation = [0.0, 0.3949, -0.3061], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.0307, 1.4375] = 248.8728, sampling [1.0, 0.3228, -0.0947]. Recommendation = [0.0, 0.1727, -0.1501], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.0307, 1.4375] = 248.8728, sampling [1.0, -0.0491, -0.2339]. Recommendation = [0.0, 0.1727, -0.1501], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.0307, 1.4375] = 248.8728, sampling [1.0, -0.1115, -0.4951]. Recommendation = [0.0, 0.1727, -0.1501], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.0307, 1.4375] = 248.8728, sampling [1.0, 0.1335, 0.0092]. Recommendation = [0.0, 0.1727, -0.1501], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.0307, 1.4375] = 248.8728, sampling [1.0, 0.3050, 0.1570]. Recommendation = [0.0, 0.1335, 0.0092], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.0307, 1.4375] = 248.8728, sampling [1.0, 0.5934, 0.0411]. Recommendation = [0.0, 0.3050, 0.1570], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.0307, 1.4375] = 248.8728, sampling [1.0, 0.2236, 0.4487]. Recommendation = [0.0, 0.3516, -0.0515], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.0307, 1.4375] = 248.8728, sampling [1.0, -0.0829, 0.0615]. Recommendation = [0.0, 0.3050, 0.1570], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.0307, 1.4375] = 248.8728, sampling [1.0, -0.0471, -0.1272]. Recommendation = [0.0, 0.3050, 0.1570], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.0307, 1.4375] = 248.8728, sampling [1.0, 0.3139, 0.2401]. Recommendation = [0.0, 0.3050, 0.1570], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.0307, 1.4375] = 248.8728, sampling [1.0, 0.5472, 0.1284]. Recommendation = [0.0, 0.3050, 0.1570], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.0307, 1.4375] = 248.8728, sampling [1.0, -0.1132, 0.4764]. Recommendation = [0.0, 0.3050, 0.1570], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.0307, 1.4375] = 248.8728, sampling [1.0, 0.1618, 0.6517]. Recommendation = [0.0, 0.3050, 0.1570], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.0307, 1.4375] = 248.8728, sampling [1.0, -0.2217, 0.3050]. Recommendation = [0.0, 0.3050, 0.1570], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.0307, 1.4375] = 248.8728, sampling [1.0, -0.1852, -0.0449]. Recommendation = [0.0, 0.3050, 0.1570], Current Cost = 5027.00, Rho = 1.000
