(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.0081, 0.4063]. Recommendation = [0.0, 0.0055, 0.0896], Current Cost = 5005.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.4571, 1.0798]. Recommendation = [0.0, 0.0055, 0.0896], Current Cost = 5006.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.1438, -0.0737]. Recommendation = [0.0, 0.0055, 0.0896], Current Cost = 5007.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.4254, 0.3099]. Recommendation = [0.0, -0.1438, -0.0737], Current Cost = 5008.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.0055, 0.0896]. Recommendation = [0.0, -0.2991, 0.1978], Current Cost = 5009.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.3486, 0.0138]. Recommendation = [0.0, -0.2991, 0.1978], Current Cost = 5010.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.3074, 0.7670]. Recommendation = [0.0, -0.2991, 0.1978], Current Cost = 5011.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, -0.2991, 0.1978]. Recommendation = [0.0, -0.2991, 0.1978], Current Cost = 5012.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.2002, -0.0120]. Recommendation = [0.0, -0.4254, 0.3099], Current Cost = 5013.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.5258, 0.4589]. Recommendation = [0.0, -0.4254, 0.3099], Current Cost = 5014.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.2801, 0.3665]. Recommendation = [0.0, 0.5258, 0.4589], Current Cost = 5015.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.9054, 0.7567]. Recommendation = [0.0, 0.5258, 0.4589], Current Cost = 5016.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.6905, 0.6362]. Recommendation = [0.0, 0.9054, 0.7567], Current Cost = 5017.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 1.0215, 0.9421]. Recommendation = [0.0, 0.9054, 0.7567], Current Cost = 5018.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 1.1317, 0.6483]. Recommendation = [0.0, 0.9054, 0.7567], Current Cost = 5019.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.7984, 0.8813]. Recommendation = [0.0, 0.9054, 0.7567], Current Cost = 5020.00, Rho = 0.773
(iter 10) [0.0, 0.1618, -0.3320] = 442.7717, sampling [1.0, 0.6455, 0.3003]. Recommendation = [0.0, 0.9054, 0.7567], Current Cost = 5021.00, Rho = 0.773
