(iter 5) [0.0, -0.7694, -0.6847] = 290.1584, sampling [0.0, -1.0470, -0.1672]. Recommendation = [0.0, -0.7694, -0.6847], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, -1.0470, -0.1672] = 292.4653, sampling [0.0, -1.2955, -0.6712]. Recommendation = [0.0, -1.0470, -0.1672], Current Cost = 6000.00, Rho = -1.230
(iter 5) [0.0, -1.0470, -0.1672] = 292.4653, sampling [0.0, -0.6439, 0.1448]. Recommendation = [0.0, -1.0470, -0.1672], Current Cost = 7000.00, Rho = -1.230
(iter 7) [0.0, -0.6439, 0.1448] = 446.3235, sampling [0.0, -0.8282, 0.4769]. Recommendation = [0.0, -0.6439, 0.1448], Current Cost = 8000.00, Rho = -1.230
(iter 8) [0.0, -0.8282, 0.4769] = 448.5901, sampling [0.0, -0.4909, 0.5669]. Recommendation = [0.0, -0.8282, 0.4769], Current Cost = 9000.00, Rho = -1.230
(iter 8) [0.0, -0.8282, 0.4769] = 448.5901, sampling [0.0, -0.6645, 0.2770]. Recommendation = [0.0, -0.6645, 0.2770], Current Cost = 10000.00, Rho = -1.230
(iter 10) [0.0, -0.6645, 0.2770] = 450.8187, sampling [0.0, -0.3848, 0.3079]. Recommendation = [0.0, -0.6645, 0.2770], Current Cost = 11000.00, Rho = -1.230
(iter 11) [0.0, -0.3848, 0.3079] = 451.8282, sampling [0.0, -0.7326, 0.7925]. Recommendation = [0.0, -0.3848, 0.3079], Current Cost = 12000.00, Rho = -1.230
(iter 11) [0.0, -0.3848, 0.3079] = 451.8282, sampling [0.0, -0.6061, 0.6595]. Recommendation = [0.0, -0.3848, 0.3079], Current Cost = 13000.00, Rho = -1.230
(iter 11) [0.0, -0.3848, 0.3079] = 451.8282, sampling [0.0, -0.4152, -0.0535]. Recommendation = [0.0, -0.3848, 0.3079], Current Cost = 14000.00, Rho = -1.230
(iter 11) [0.0, -0.3848, 0.3079] = 451.8282, sampling [0.0, -0.5063, 0.0842]. Recommendation = [0.0, -0.5063, 0.0842], Current Cost = 15000.00, Rho = -1.230
(iter 11) [0.0, -0.3848, 0.3079] = 451.8282, sampling [0.0, -0.3555, 0.1618]. Recommendation = [0.0, -0.3848, 0.3079], Current Cost = 16000.00, Rho = -1.230
(iter 16) [0.0, -0.3555, 0.1618] = 454.3371, sampling [0.0, -0.4513, 0.8595]. Recommendation = [0.0, -0.3555, 0.1618], Current Cost = 17000.00, Rho = -1.230
(iter 16) [0.0, -0.3555, 0.1618] = 454.3371, sampling [0.0, -0.3157, 0.5417]. Recommendation = [0.0, -0.3555, 0.1618], Current Cost = 18000.00, Rho = -1.230
(iter 16) [0.0, -0.3555, 0.1618] = 454.3371, sampling [0.0, -0.5552, -0.0670]. Recommendation = [0.0, -0.3555, 0.1618], Current Cost = 19000.00, Rho = -1.230
(iter 16) [0.0, -0.3555, 0.1618] = 454.3371, sampling [0.0, -0.2201, 0.0408]. Recommendation = [0.0, -0.3555, 0.1618], Current Cost = 20000.00, Rho = -1.230
