(iter 5) [0.0, 1.1016, 0.2009] = 353.7574, sampling [0.0, 0.9067, -0.1640]. Recommendation = [0.0, 1.1016, 0.2009], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, 0.9067, -0.1640] = 359.0549, sampling [0.0, 1.1384, -0.0857]. Recommendation = [0.0, 0.9067, -0.1640], Current Cost = 6000.00, Rho = -1.230
(iter 5) [0.0, 0.9067, -0.1640] = 359.0549, sampling [0.0, 0.7419, 0.0660]. Recommendation = [0.0, 0.9067, -0.1640], Current Cost = 7000.00, Rho = -1.230
(iter 7) [0.0, 0.7419, 0.0660] = 432.7681, sampling [0.0, 0.6272, -0.2324]. Recommendation = [0.0, 0.7419, 0.0660], Current Cost = 8000.00, Rho = -1.230
(iter 7) [0.0, 0.7419, 0.0660] = 432.7681, sampling [0.0, 0.4067, 0.0404]. Recommendation = [0.0, 0.7419, 0.0660], Current Cost = 9000.00, Rho = -1.230
(iter 9) [0.0, 0.4067, 0.0404] = 454.3863, sampling [0.0, 0.3132, -0.1570]. Recommendation = [0.0, 0.4067, 0.0404], Current Cost = 10000.00, Rho = -1.230
(iter 9) [0.0, 0.4067, 0.0404] = 454.3863, sampling [0.0, 0.4692, 0.3071]. Recommendation = [0.0, 0.4067, 0.0404], Current Cost = 11000.00, Rho = -1.230
(iter 11) [0.0, 0.4692, 0.3071] = 455.2621, sampling [0.0, 0.6919, 0.2877]. Recommendation = [0.0, 0.4692, 0.3071], Current Cost = 12000.00, Rho = -1.230
(iter 11) [0.0, 0.4692, 0.3071] = 455.2621, sampling [0.0, 0.2027, 0.1666]. Recommendation = [0.0, 0.4692, 0.3071], Current Cost = 13000.00, Rho = -1.230
(iter 11) [0.0, 0.4692, 0.3071] = 455.2621, sampling [0.0, 0.2325, 0.3261]. Recommendation = [0.0, 0.4692, 0.3071], Current Cost = 14000.00, Rho = -1.230
(iter 11) [0.0, 0.4692, 0.3071] = 455.2621, sampling [0.0, 0.5597, 0.3341]. Recommendation = [0.0, 0.4692, 0.3071], Current Cost = 15000.00, Rho = -1.230
(iter 15) [0.0, 0.5597, 0.3341] = 456.0626, sampling [0.0, 0.1025, -0.0624]. Recommendation = [0.0, 0.5597, 0.3341], Current Cost = 16000.00, Rho = -1.230
(iter 15) [0.0, 0.5597, 0.3341] = 456.0626, sampling [0.0, 0.3227, -0.4975]. Recommendation = [0.0, 0.5597, 0.3341], Current Cost = 17000.00, Rho = -1.230
(iter 15) [0.0, 0.5597, 0.3341] = 456.0626, sampling [0.0, 0.1285, -0.2064]. Recommendation = [0.0, 0.5597, 0.3341], Current Cost = 18000.00, Rho = -1.230
(iter 15) [0.0, 0.5597, 0.3341] = 456.0626, sampling [0.0, 0.2692, -0.1094]. Recommendation = [0.0, 0.2692, -0.1094], Current Cost = 19000.00, Rho = -1.230
(iter 15) [0.0, 0.5597, 0.3341] = 456.0626, sampling [0.0, 0.4381, 0.4376]. Recommendation = [0.0, 0.5597, 0.3341], Current Cost = 20000.00, Rho = -1.230
(iter 15) [0.0, 0.5597, 0.3341] = 456.0626, sampling [0.0, 0.6652, 0.0785]. Recommendation = [0.0, 0.5597, 0.3341], Current Cost = 21000.00, Rho = -1.230
(iter 15) [0.0, 0.5597, 0.3341] = 456.0626, sampling [0.0, 0.6548, 0.5047]. Recommendation = [0.0, 0.5597, 0.3341], Current Cost = 22000.00, Rho = -1.230
(iter 15) [0.0, 0.5597, 0.3341] = 456.0626, sampling [0.0, 0.7677, 0.3634]. Recommendation = [0.0, 0.5597, 0.3341], Current Cost = 23000.00, Rho = -1.230
(iter 15) [0.0, 0.5597, 0.3341] = 456.0626, sampling [0.0, 0.5394, 0.5481]. Recommendation = [0.0, 0.5597, 0.3341], Current Cost = 24000.00, Rho = -1.230
(iter 15) [0.0, 0.5597, 0.3341] = 456.0626, sampling [0.0, 0.3487, 0.5038]. Recommendation = [0.0, 0.5597, 0.3341], Current Cost = 25000.00, Rho = -1.230
(iter 15) [0.0, 0.5597, 0.3341] = 456.0626, sampling [0.0, 0.5273, -0.3171]. Recommendation = [0.0, 0.5597, 0.3341], Current Cost = 26000.00, Rho = -1.230
(iter 15) [0.0, 0.5597, 0.3341] = 456.0626, sampling [0.0, 0.0592, -0.3098]. Recommendation = [0.0, 0.5597, 0.3341], Current Cost = 27000.00, Rho = -1.230
(iter 15) [0.0, 0.5597, 0.3341] = 456.0626, sampling [0.0, 0.0402, -0.0263]. Recommendation = [0.0, 0.5597, 0.3341], Current Cost = 28000.00, Rho = -1.230
(iter 15) [0.0, 0.5597, 0.3341] = 456.0626, sampling [0.0, 0.8096, 0.4505]. Recommendation = [0.0, 0.5597, 0.3341], Current Cost = 29000.00, Rho = -1.230
(iter 15) [0.0, 0.5597, 0.3341] = 456.0626, sampling [0.0, 0.7766, 0.6345]. Recommendation = [0.0, 0.5597, 0.3341], Current Cost = 30000.00, Rho = -1.230
(iter 30) [0.0, 0.7766, 0.6345] = 456.1522, sampling [0.0, 0.4813, 0.7566]. Recommendation = [0.0, 0.7766, 0.6345], Current Cost = 31000.00, Rho = -1.230
(iter 30) [0.0, 0.7766, 0.6345] = 456.1522, sampling [0.0, 0.6405, 0.5661]. Recommendation = [0.0, 0.7766, 0.6345], Current Cost = 32000.00, Rho = -1.230
(iter 30) [0.0, 0.7766, 0.6345] = 456.1522, sampling [0.0, -0.0575, 0.4624]. Recommendation = [0.0, 0.7766, 0.6345], Current Cost = 33000.00, Rho = -1.230
(iter 30) [0.0, 0.7766, 0.6345] = 456.1522, sampling [0.0, -0.1857, 0.1804]. Recommendation = [0.0, 0.7766, 0.6345], Current Cost = 34000.00, Rho = -1.230
(iter 30) [0.0, 0.7766, 0.6345] = 456.1522, sampling [0.0, -0.2051, -0.0689]. Recommendation = [0.0, 0.7766, 0.6345], Current Cost = 35000.00, Rho = -1.230
(iter 30) [0.0, 0.7766, 0.6345] = 456.1522, sampling [0.0, 0.1061, 0.7415]. Recommendation = [0.0, 0.7766, 0.6345], Current Cost = 36000.00, Rho = -1.230
(iter 30) [0.0, 0.7766, 0.6345] = 456.1522, sampling [0.0, 0.3562, 0.6192]. Recommendation = [0.0, 0.7766, 0.6345], Current Cost = 37000.00, Rho = -1.230
(iter 30) [0.0, 0.7766, 0.6345] = 456.1522, sampling [0.0, -0.0991, -0.3700]. Recommendation = [0.0, 0.7766, 0.6345], Current Cost = 38000.00, Rho = -1.230
(iter 30) [0.0, 0.7766, 0.6345] = 456.1522, sampling [0.0, 0.0856, -0.5712]. Recommendation = [0.0, 0.7766, 0.6345], Current Cost = 39000.00, Rho = -1.230
(iter 30) [0.0, 0.7766, 0.6345] = 456.1522, sampling [0.0, -0.2191, -0.2632]. Recommendation = [0.0, 0.7766, 0.6345], Current Cost = 40000.00, Rho = -1.230
(iter 30) [0.0, 0.7766, 0.6345] = 456.1522, sampling [0.0, -0.2277, 0.1072]. Recommendation = [0.0, 0.7766, 0.6345], Current Cost = 41000.00, Rho = -1.230
(iter 30) [0.0, 0.7766, 0.6345] = 456.1522, sampling [0.0, 0.1893, 0.3563]. Recommendation = [0.0, 0.7766, 0.6345], Current Cost = 42000.00, Rho = -1.230
(iter 30) [0.0, 0.7766, 0.6345] = 456.1522, sampling [0.0, -0.2861, -0.0385]. Recommendation = [0.0, 0.7766, 0.6345], Current Cost = 43000.00, Rho = -1.230
(iter 30) [0.0, 0.7766, 0.6345] = 456.1522, sampling [0.0, 0.7447, 0.8697]. Recommendation = [0.0, 0.7766, 0.6345], Current Cost = 44000.00, Rho = -1.230
(iter 30) [0.0, 0.7766, 0.6345] = 456.1522, sampling [0.0, 0.8912, 0.7852]. Recommendation = [0.0, 0.7766, 0.6345], Current Cost = 45000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, 0.9930, 0.4764]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 46000.00, Rho = -1.230
(iter 45) [0.0, 0.8912, 0.7852] = 456.2801, sampling [0.0, 0.6167, -0.6233]. Recommendation = [0.0, 0.8912, 0.7852], Current Cost = 47000.00, Rho = -1.230
