(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, 0.6270, 0.4023]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5005.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, 0.7354, 1.0140]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5006.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, 0.0659, 0.1993]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5007.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, 0.5281, 0.0193]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5008.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, 0.9930, 0.5568]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5009.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, 0.3093, 0.9103]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5010.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, 0.8924, -0.0176]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5011.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, 0.3168, 0.2668]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5012.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, 0.0774, -0.1956]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5013.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, 1.0356, 1.2339]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5014.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, 0.9619, 0.8187]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5015.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, -0.2179, 0.5858]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5016.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, -0.3317, 0.0852]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5017.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, 0.4864, 1.3074]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5018.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, 1.4421, 0.4202]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5019.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, 0.5742, 0.5813]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5020.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, 0.2591, 0.0607]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5021.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, -0.3398, -0.4100]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5022.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, 0.2049, -0.5439]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5023.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, 0.7117, -0.5610]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5024.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, 0.5438, -0.2107]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5025.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, 0.1726, 0.4247]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5026.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, 1.2709, 1.6378]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5027.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, 1.4258, 1.3040]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5028.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, 0.9107, 1.5368]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5029.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, -0.1659, 1.1295]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5030.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, -0.6732, 0.4493]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5031.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, -0.7999, -0.0489]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5032.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, 0.7252, 0.2212]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5033.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, -0.0492, -0.1024]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5034.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, 0.9839, 0.9902]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5035.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, 0.8224, 0.6329]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5036.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, 1.1230, 1.4184]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5037.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, -0.0933, -0.4985]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5038.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, -0.5544, 0.2095]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5039.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, -0.2648, -0.2314]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5040.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, -0.1197, 0.3807]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5041.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, 1.7278, 1.8304]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5042.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, 1.1860, 1.9874]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5043.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, 1.8756, 1.1683]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5044.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, -0.7256, 1.0484]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5045.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, -0.4392, 0.8787]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5046.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, -0.0647, 1.8453]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5047.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, -1.0370, 0.6242]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5048.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, 0.4992, 0.7634]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5049.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, 0.4428, -0.4309]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5050.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, 0.2182, -0.3124]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5051.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, 1.0710, 0.3382]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5052.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, 1.2798, -0.4524]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5053.00, Rho = 0.670
(iter 10) [0.0, 0.3418, -0.2989] = 438.5834, sampling [1.0, 0.1519, -0.0378]. Recommendation = [0.0, 0.3418, -0.2989], Current Cost = 5054.00, Rho = 0.670
