(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, 0.4823, 1.4272]. Recommendation = [0.0, 0.9815, 1.5212], Current Cost = 5005.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, 0.9504, 1.4862]. Recommendation = [0.0, 0.9815, 1.5212], Current Cost = 5006.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, 0.2216, -0.2452]. Recommendation = [0.0, 0.9815, 1.5212], Current Cost = 5007.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, 0.2767, -0.1503]. Recommendation = [0.0, 0.2216, -0.2452], Current Cost = 5008.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, 0.2033, 0.0066]. Recommendation = [0.0, 0.2767, -0.1503], Current Cost = 5009.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, 0.0409, 0.1762]. Recommendation = [0.0, 0.2033, 0.0066], Current Cost = 5010.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, -0.0210, -0.0551]. Recommendation = [0.0, 0.2033, 0.0066], Current Cost = 5011.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, 0.2698, 0.1015]. Recommendation = [0.0, 0.2033, 0.0066], Current Cost = 5012.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, 0.0763, 0.2863]. Recommendation = [0.0, 0.2698, 0.1015], Current Cost = 5013.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, -0.0817, 0.3259]. Recommendation = [0.0, 0.2698, 0.1015], Current Cost = 5014.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, 0.2479, 0.4362]. Recommendation = [0.0, 0.2698, 0.1015], Current Cost = 5015.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, 0.0599, 0.3468]. Recommendation = [0.0, 0.2698, 0.1015], Current Cost = 5016.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, 0.3837, 0.2256]. Recommendation = [0.0, 0.2698, 0.1015], Current Cost = 5017.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, -0.0400, -0.0842]. Recommendation = [0.0, 0.2698, 0.1015], Current Cost = 5018.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, -0.3224, 0.1747]. Recommendation = [0.0, 0.2698, 0.1015], Current Cost = 5019.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, -0.3546, 0.3739]. Recommendation = [0.0, 0.2698, 0.1015], Current Cost = 5020.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, -0.1520, 0.4058]. Recommendation = [0.0, 0.2698, 0.1015], Current Cost = 5021.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, -0.4095, 0.3021]. Recommendation = [0.0, 0.2698, 0.1015], Current Cost = 5022.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, -0.3842, 0.1332]. Recommendation = [0.0, 0.2698, 0.1015], Current Cost = 5023.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, -0.2429, -0.1202]. Recommendation = [0.0, 0.2698, 0.1015], Current Cost = 5024.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, -0.4932, 0.1853]. Recommendation = [0.0, 0.2698, 0.1015], Current Cost = 5025.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, -0.2682, 0.5210]. Recommendation = [0.0, 0.2698, 0.1015], Current Cost = 5026.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, 0.1185, 0.6626]. Recommendation = [0.0, 0.2698, 0.1015], Current Cost = 5027.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, -0.4003, 0.1175]. Recommendation = [0.0, 0.2698, 0.1015], Current Cost = 5028.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, 0.3210, -0.1545]. Recommendation = [0.0, 0.2698, 0.1015], Current Cost = 5029.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, -0.5104, 0.2134]. Recommendation = [0.0, 0.2698, 0.1015], Current Cost = 5030.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, 0.4683, 0.1381]. Recommendation = [0.0, 0.2698, 0.1015], Current Cost = 5031.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, 0.4323, 0.3622]. Recommendation = [0.0, 0.2698, 0.1015], Current Cost = 5032.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, 0.3884, 0.2430]. Recommendation = [0.0, 0.2698, 0.1015], Current Cost = 5033.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, -0.4585, 0.5643]. Recommendation = [0.0, 0.2698, 0.1015], Current Cost = 5034.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, -0.6220, 0.5371]. Recommendation = [0.0, 0.2698, 0.1015], Current Cost = 5035.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, -0.5679, 0.6100]. Recommendation = [0.0, 0.2698, 0.1015], Current Cost = 5036.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, 0.5288, 0.0953]. Recommendation = [0.0, 0.2698, 0.1015], Current Cost = 5037.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, 0.5404, 0.3042]. Recommendation = [0.0, 0.2698, 0.1015], Current Cost = 5038.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, 0.5202, 0.5112]. Recommendation = [0.0, 0.2698, 0.1015], Current Cost = 5039.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, 0.4741, -0.2302]. Recommendation = [0.0, 0.2698, 0.1015], Current Cost = 5040.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, 0.6030, 0.1616]. Recommendation = [0.0, 0.2698, 0.1015], Current Cost = 5041.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, 0.3732, -0.3511]. Recommendation = [0.0, 0.2698, 0.1015], Current Cost = 5042.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, 0.3636, 0.7449]. Recommendation = [0.0, 0.2698, 0.1015], Current Cost = 5043.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, 0.5550, -0.1045]. Recommendation = [0.0, 0.2698, 0.1015], Current Cost = 5044.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, -0.4468, 0.7661]. Recommendation = [0.0, 0.2698, 0.1015], Current Cost = 5045.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, -0.7766, 0.4483]. Recommendation = [0.0, 0.2698, 0.1015], Current Cost = 5046.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, -0.7159, 0.6367]. Recommendation = [0.0, 0.2698, 0.1015], Current Cost = 5047.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, -0.5983, 0.5851]. Recommendation = [0.0, 0.2698, 0.1015], Current Cost = 5048.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, 0.6357, 0.4403]. Recommendation = [0.0, 0.2698, 0.1015], Current Cost = 5049.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, -0.7046, 0.7327]. Recommendation = [0.0, 0.2698, 0.1015], Current Cost = 5050.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, -0.8436, 0.6559]. Recommendation = [0.0, 0.2698, 0.1015], Current Cost = 5051.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, -0.8096, 0.4733]. Recommendation = [0.0, 0.2698, 0.1015], Current Cost = 5052.00, Rho = 0.281
(iter 10) [0.0, 0.9815, 1.5212] = 425.1869, sampling [1.0, -0.7652, 0.7689]. Recommendation = [0.0, 0.2698, 0.1015], Current Cost = 5053.00, Rho = 0.281
