(iter 10) [0.0, -0.7379, 0.1071] = 434.1540, sampling [1.0, -0.5526, -0.0216]. Recommendation = [0.0, -0.7379, 0.1071], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.7379, 0.1071] = 434.1540, sampling [1.0, -0.4382, 0.1622]. Recommendation = [0.0, -0.5526, -0.0216], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.7379, 0.1071] = 434.1540, sampling [1.0, -0.5924, 0.3685]. Recommendation = [0.0, -0.4382, 0.1622], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.7379, 0.1071] = 434.1540, sampling [1.0, -0.2539, 0.0598]. Recommendation = [0.0, -0.4382, 0.1622], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.7379, 0.1071] = 434.1540, sampling [1.0, -0.3388, 0.1771]. Recommendation = [0.0, -0.2539, 0.0598], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.7379, 0.1071] = 434.1540, sampling [1.0, -0.2023, -0.2311]. Recommendation = [0.0, -0.2539, 0.0598], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.7379, 0.1071] = 434.1540, sampling [1.0, -0.4239, -0.1673]. Recommendation = [0.0, -0.2539, 0.0598], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.7379, 0.1071] = 434.1540, sampling [1.0, -0.1315, -0.1482]. Recommendation = [0.0, -0.2539, 0.0598], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.7379, 0.1071] = 434.1540, sampling [1.0, -0.4538, 0.5306]. Recommendation = [0.0, -0.2539, 0.0598], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.7379, 0.1071] = 434.1540, sampling [1.0, -0.1114, 0.2523]. Recommendation = [0.0, -0.2539, 0.0598], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.7379, 0.1071] = 434.1540, sampling [1.0, -0.2404, 0.1591]. Recommendation = [0.0, -0.4050, 0.2166], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.7379, 0.1071] = 434.1540, sampling [1.0, 0.0512, 0.0106]. Recommendation = [0.0, -0.4050, 0.2166], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.7379, 0.1071] = 434.1540, sampling [1.0, 0.0715, -0.2848]. Recommendation = [0.0, 0.0512, 0.0106], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.7379, 0.1071] = 434.1540, sampling [1.0, 0.0728, -0.1200]. Recommendation = [0.0, 0.0512, 0.0106], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.7379, 0.1071] = 434.1540, sampling [1.0, -0.7314, 0.3989]. Recommendation = [0.0, 0.0512, 0.0106], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.7379, 0.1071] = 434.1540, sampling [1.0, -0.0954, -0.3785]. Recommendation = [0.0, 0.0512, 0.0106], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.7379, 0.1071] = 434.1540, sampling [1.0, -0.6201, 0.6995]. Recommendation = [0.0, 0.0512, 0.0106], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.7379, 0.1071] = 434.1540, sampling [1.0, -0.5388, 0.4907]. Recommendation = [0.0, 0.0512, 0.0106], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.7379, 0.1071] = 434.1540, sampling [1.0, -0.2990, 0.5669]. Recommendation = [0.0, 0.0512, 0.0106], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.7379, 0.1071] = 434.1540, sampling [1.0, -0.8943, 0.8741]. Recommendation = [0.0, 0.0512, 0.0106], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.7379, 0.1071] = 434.1540, sampling [1.0, -1.0963, 0.7247]. Recommendation = [0.0, 0.0512, 0.0106], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.7379, 0.1071] = 434.1540, sampling [1.0, -0.7864, 1.0042]. Recommendation = [0.0, 0.0512, 0.0106], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.7379, 0.1071] = 434.1540, sampling [1.0, -0.4050, 0.2166]. Recommendation = [0.0, 0.0512, 0.0106], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.7379, 0.1071] = 434.1540, sampling [1.0, 0.1017, 0.1382]. Recommendation = [0.0, 0.0512, 0.0106], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.7379, 0.1071] = 434.1540, sampling [1.0, -1.1313, 1.1130]. Recommendation = [0.0, 0.0512, 0.0106], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -0.7379, 0.1071] = 434.1540, sampling [1.0, -0.9146, 1.0895]. Recommendation = [0.0, 0.0512, 0.0106], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -0.7379, 0.1071] = 434.1540, sampling [1.0, 0.2067, -0.0409]. Recommendation = [0.0, 0.0512, 0.0106], Current Cost = 5031.00, Rho = 1.000
