(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, 0.1542, -0.0004]. Recommendation = [0.0, 0.6433, 0.1446], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, 0.3951, -0.0701]. Recommendation = [0.0, 0.1542, -0.0004], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, 0.0397, -0.2447]. Recommendation = [0.0, 0.1542, -0.0004], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, -0.1724, 0.0563]. Recommendation = [0.0, 0.1542, -0.0004], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, 0.3761, 0.2284]. Recommendation = [0.0, 0.0433, 0.0262], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, 0.1049, 0.1424]. Recommendation = [0.0, 0.4925, 0.0644], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, -0.1353, -0.0961]. Recommendation = [0.0, 0.4925, 0.0644], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, 0.4925, 0.0644]. Recommendation = [0.0, 0.4925, 0.0644], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, -0.3128, -0.1379]. Recommendation = [0.0, 0.0433, 0.0262], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, -0.1210, -0.4739]. Recommendation = [0.0, 0.0433, 0.0262], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, 0.3205, -0.2965]. Recommendation = [0.0, 0.0433, 0.0262], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, -0.0184, 0.0768]. Recommendation = [0.0, 0.0433, 0.0262], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, -0.2195, 0.2830]. Recommendation = [0.0, 0.0433, 0.0262], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, 0.0956, 0.2919]. Recommendation = [0.0, 0.0433, 0.0262], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, -0.5391, 0.0064]. Recommendation = [0.0, 0.0433, 0.0262], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, -0.3844, 0.2612]. Recommendation = [0.0, 0.0433, 0.0262], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, -0.4388, -0.0384]. Recommendation = [0.0, 0.0433, 0.0262], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, -0.3292, -0.3402]. Recommendation = [0.0, 0.0433, 0.0262], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, 0.0651, -0.1653]. Recommendation = [0.0, 0.0433, 0.0262], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, 0.3009, -0.1826]. Recommendation = [0.0, 0.1542, -0.0004], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, 0.1483, -0.4357]. Recommendation = [0.0, 0.1542, -0.0004], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, 0.4538, 0.2043]. Recommendation = [0.0, 0.1542, -0.0004], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, -0.6565, 0.2235]. Recommendation = [0.0, 0.4538, 0.2043], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, -0.7536, -0.1910]. Recommendation = [0.0, 0.4538, 0.2043], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, -0.5666, 0.1171]. Recommendation = [0.0, 0.4538, 0.2043], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, -0.3550, 0.4508]. Recommendation = [0.0, 0.4538, 0.2043], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, 0.0026, 0.4811]. Recommendation = [0.0, 0.4538, 0.2043], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, 0.0433, 0.0262]. Recommendation = [0.0, 0.4538, 0.2043], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, -0.5937, 0.5120]. Recommendation = [0.0, 0.4538, 0.2043], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, -0.8244, 0.3579]. Recommendation = [0.0, 0.4538, 0.2043], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, -0.2929, 0.6372]. Recommendation = [0.0, 0.4538, 0.2043], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, -0.4941, 0.5123]. Recommendation = [0.0, 0.4538, 0.2043], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, -0.7223, 0.1024]. Recommendation = [0.0, 0.4538, 0.2043], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, -0.4966, -0.1716]. Recommendation = [0.0, 0.4538, 0.2043], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, 0.5718, 0.1732]. Recommendation = [0.0, 0.4538, 0.2043], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, -0.7756, 0.5406]. Recommendation = [0.0, 0.4538, 0.2043], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, 0.3677, 0.4604]. Recommendation = [0.0, 0.4538, 0.2043], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, 0.4081, 0.2981]. Recommendation = [0.0, 0.4538, 0.2043], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, -0.6021, 0.7865]. Recommendation = [0.0, 0.4538, 0.2043], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, -0.7412, 0.6749]. Recommendation = [0.0, 0.4538, 0.2043], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, -0.5167, 0.5974]. Recommendation = [0.0, 0.4538, 0.2043], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, 0.1189, 0.6141]. Recommendation = [0.0, 0.4538, 0.2043], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, -1.0110, 0.4133]. Recommendation = [0.0, 0.4538, 0.2043], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, -0.0055, -0.2169]. Recommendation = [0.0, 0.4538, 0.2043], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, 0.2399, -0.6355]. Recommendation = [0.0, 0.4538, 0.2043], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, 0.5235, -0.3870]. Recommendation = [0.0, 0.4538, 0.2043], Current Cost = 5050.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, -0.9540, 0.0486]. Recommendation = [0.0, 0.4538, 0.2043], Current Cost = 5051.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, -0.0732, -0.6303]. Recommendation = [0.0, 0.4538, 0.2043], Current Cost = 5052.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, -0.9084, 0.7647]. Recommendation = [0.0, 0.4538, 0.2043], Current Cost = 5053.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, -0.7911, 0.8244]. Recommendation = [0.0, 0.4538, 0.2043], Current Cost = 5054.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, -0.2998, 0.9444]. Recommendation = [0.0, 0.4538, 0.2043], Current Cost = 5055.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, -0.2606, -0.4403]. Recommendation = [0.0, 0.4538, 0.2043], Current Cost = 5056.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, -0.7189, 0.2087]. Recommendation = [0.0, 0.4538, 0.2043], Current Cost = 5057.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, 0.3520, -0.3760]. Recommendation = [0.0, 0.4538, 0.2043], Current Cost = 5058.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, -0.8375, 0.9752]. Recommendation = [0.0, 0.4538, 0.2043], Current Cost = 5059.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, -0.8411, 0.8907]. Recommendation = [0.0, 0.4538, 0.2043], Current Cost = 5060.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, -1.0059, 0.9329]. Recommendation = [0.0, 0.4538, 0.2043], Current Cost = 5061.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, -0.5556, -0.3176]. Recommendation = [0.0, 0.4538, 0.2043], Current Cost = 5062.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, -0.3717, 0.5775]. Recommendation = [0.0, 0.4538, 0.2043], Current Cost = 5063.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, -0.9377, 1.0583]. Recommendation = [0.0, 0.4538, 0.2043], Current Cost = 5064.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, -0.6302, 0.8566]. Recommendation = [0.0, 0.4538, 0.2043], Current Cost = 5065.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, 0.0728, -0.5781]. Recommendation = [0.0, 0.4538, 0.2043], Current Cost = 5066.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, -0.6496, 1.3032]. Recommendation = [0.0, 0.4538, 0.2043], Current Cost = 5067.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, -0.2334, 0.3123]. Recommendation = [0.0, 0.4538, 0.2043], Current Cost = 5068.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, -0.8928, 1.1641]. Recommendation = [0.0, 0.4538, 0.2043], Current Cost = 5069.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, -1.0800, 1.0858]. Recommendation = [0.0, 0.4538, 0.2043], Current Cost = 5070.00, Rho = 1.000
(iter 10) [0.0, 0.6433, 0.1446] = 448.9192, sampling [1.0, -1.3194, 0.6493]. Recommendation = [0.0, 0.4538, 0.2043], Current Cost = 5071.00, Rho = 1.000
