(iter 10) [0.0, -0.0281, -0.0665] = 454.7900, sampling [1.0, -0.1698, 0.5408]. Recommendation = [0.0, -0.0281, -0.0665], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.0281, -0.0665] = 454.7900, sampling [1.0, -0.3569, 0.2112]. Recommendation = [0.0, -0.0281, -0.0665], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.0281, -0.0665] = 454.7900, sampling [1.0, -0.0408, 0.1929]. Recommendation = [0.0, -0.0281, -0.0665], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.0281, -0.0665] = 454.7900, sampling [1.0, -0.5378, 0.4674]. Recommendation = [0.0, -0.2591, 0.1892], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.0281, -0.0665] = 454.7900, sampling [1.0, 0.4161, 0.3059]. Recommendation = [0.0, -0.2591, 0.1892], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.0281, -0.0665] = 454.7900, sampling [1.0, 0.2402, 0.0668]. Recommendation = [0.0, 0.0430, 0.0263], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.0281, -0.0665] = 454.7900, sampling [1.0, 0.3231, 0.6508]. Recommendation = [0.0, 0.0430, 0.0263], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.0281, -0.0665] = 454.7900, sampling [1.0, -0.3403, 0.8963]. Recommendation = [0.0, 0.0430, 0.0263], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.0281, -0.0665] = 454.7900, sampling [1.0, 0.6764, 0.1488]. Recommendation = [0.0, 0.0430, 0.0263], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.0281, -0.0665] = 454.7900, sampling [1.0, 0.4336, -0.0570]. Recommendation = [0.0, 0.0430, 0.0263], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.0281, -0.0665] = 454.7900, sampling [1.0, 0.2652, 0.3809]. Recommendation = [0.0, 0.3400, 0.1294], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.0281, -0.0665] = 454.7900, sampling [1.0, 0.6500, 0.5950]. Recommendation = [0.0, 0.3400, 0.1294], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.0281, -0.0665] = 454.7900, sampling [1.0, 0.9921, 0.4243]. Recommendation = [0.0, 0.4403, 0.1598], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.0281, -0.0665] = 454.7900, sampling [1.0, 0.6978, 0.3198]. Recommendation = [0.0, 0.3400, 0.1294], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.0281, -0.0665] = 454.7900, sampling [1.0, 0.8109, -0.1460]. Recommendation = [0.0, 0.3400, 0.1294], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.0281, -0.0665] = 454.7900, sampling [1.0, -0.5510, 0.6386]. Recommendation = [0.0, 0.0430, 0.0263], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.0281, -0.0665] = 454.7900, sampling [1.0, -0.0354, 0.3953]. Recommendation = [0.0, 0.0430, 0.0263], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.0281, -0.0665] = 454.7900, sampling [1.0, 0.2297, 1.0464]. Recommendation = [0.0, 0.0430, 0.0263], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.0281, -0.0665] = 454.7900, sampling [1.0, 0.4403, 0.1598]. Recommendation = [0.0, 0.0430, 0.0263], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.0281, -0.0665] = 454.7900, sampling [1.0, -0.3813, 0.4526]. Recommendation = [0.0, 0.0430, 0.0263], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.0281, -0.0665] = 454.7900, sampling [1.0, 0.1948, -0.2356]. Recommendation = [0.0, 0.0430, 0.0263], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.0281, -0.0665] = 454.7900, sampling [1.0, 0.7460, 0.8333]. Recommendation = [0.0, 0.0430, 0.0263], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.0281, -0.0665] = 454.7900, sampling [1.0, 0.8968, 0.5871]. Recommendation = [0.0, 0.0430, 0.0263], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.0281, -0.0665] = 454.7900, sampling [1.0, 0.5554, 0.7775]. Recommendation = [0.0, 0.0430, 0.0263], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.0281, -0.0665] = 454.7900, sampling [1.0, 0.0729, 0.6144]. Recommendation = [0.0, 0.0430, 0.0263], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -0.0281, -0.0665] = 454.7900, sampling [1.0, 0.4799, -0.3679]. Recommendation = [0.0, 0.0430, 0.0263], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -0.0281, -0.0665] = 454.7900, sampling [1.0, 0.1901, -0.0470]. Recommendation = [0.0, 0.0430, 0.0263], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -0.0281, -0.0665] = 454.7900, sampling [1.0, -0.6121, 0.2269]. Recommendation = [0.0, 0.0430, 0.0263], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -0.0281, -0.0665] = 454.7900, sampling [1.0, -0.7049, 0.3755]. Recommendation = [0.0, 0.0430, 0.0263], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, -0.0281, -0.0665] = 454.7900, sampling [1.0, -0.3357, -0.1134]. Recommendation = [0.0, 0.0430, 0.0263], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, -0.0281, -0.0665] = 454.7900, sampling [1.0, -0.3038, 0.0927]. Recommendation = [0.0, -0.3038, 0.0927], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, -0.0281, -0.0665] = 454.7900, sampling [1.0, -0.0047, -0.2627]. Recommendation = [0.0, 0.0430, 0.0263], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, -0.0281, -0.0665] = 454.7900, sampling [1.0, 0.5469, 0.2568]. Recommendation = [0.0, 0.0430, 0.0263], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, -0.0281, -0.0665] = 454.7900, sampling [1.0, 0.0430, 0.0263]. Recommendation = [0.0, 0.0430, 0.0263], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, -0.0281, -0.0665] = 454.7900, sampling [1.0, 1.0986, 0.8013]. Recommendation = [0.0, 0.3400, 0.1294], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, -0.0281, -0.0665] = 454.7900, sampling [1.0, 0.9474, 1.0180]. Recommendation = [0.0, 0.3400, 0.1294], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, -0.0281, -0.0665] = 454.7900, sampling [1.0, 0.5940, 1.0868]. Recommendation = [0.0, 0.3400, 0.1294], Current Cost = 5041.00, Rho = 1.000
