(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, 0.9608, -0.0080]. Recommendation = [0.0, 1.1857, 0.0565], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, 0.8946, -0.0174]. Recommendation = [0.0, 0.9608, -0.0080], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, 0.7067, -0.0742]. Recommendation = [0.0, 0.8946, -0.0174], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, 0.7347, -0.1390]. Recommendation = [0.0, 0.7067, -0.0742], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, 0.6505, 0.1090]. Recommendation = [0.0, 0.7067, -0.0742], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, 0.6650, 0.2741]. Recommendation = [0.0, 0.6505, 0.1090], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, 0.2847, 0.1732]. Recommendation = [0.0, 0.6650, 0.2741], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, 0.4166, 0.4173]. Recommendation = [0.0, 0.2847, 0.1732], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, 0.2261, 0.3786]. Recommendation = [0.0, 0.2847, 0.1732], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, 0.2645, 0.1522]. Recommendation = [0.0, 0.2847, 0.1732], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, 0.4507, 0.5257]. Recommendation = [0.0, 0.2645, 0.1522], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, 0.2427, 0.4312]. Recommendation = [0.0, 0.2645, 0.1522], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, 0.0979, 0.0794]. Recommendation = [0.0, 0.2645, 0.1522], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, 0.0114, 0.2501]. Recommendation = [0.0, 0.2645, 0.1522], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, 0.0255, 0.1304]. Recommendation = [0.0, 0.2645, 0.1522], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, 0.0432, 0.0923]. Recommendation = [0.0, 0.2645, 0.1522], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, -0.0041, 0.0496]. Recommendation = [0.0, 0.2645, 0.1522], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, 0.1121, -0.1165]. Recommendation = [0.0, 0.2645, 0.1522], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, 0.3473, -0.2401]. Recommendation = [0.0, 0.2645, 0.1522], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, -0.0350, -0.0390]. Recommendation = [0.0, 0.2645, 0.1522], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, -0.0703, 0.0023]. Recommendation = [0.0, -0.0350, -0.0390], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, -0.1020, 0.0862]. Recommendation = [0.0, -0.0703, 0.0023], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, -0.1512, 0.1447]. Recommendation = [0.0, -0.0703, 0.0023], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, 0.1222, 0.5427]. Recommendation = [0.0, -0.0703, 0.0023], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, -0.1541, 0.4667]. Recommendation = [0.0, -0.0703, 0.0023], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, -0.1061, -0.1673]. Recommendation = [0.0, -0.0703, 0.0023], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, -0.0301, -0.2908]. Recommendation = [0.0, -0.0703, 0.0023], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, 0.2757, -0.2985]. Recommendation = [0.0, -0.0703, 0.0023], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, 0.0856, -0.3815]. Recommendation = [0.0, -0.0703, 0.0023], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, -0.3095, -0.0415]. Recommendation = [0.0, -0.0703, 0.0023], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, -0.3613, 0.0361]. Recommendation = [0.0, -0.0703, 0.0023], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, -0.4287, 0.2625]. Recommendation = [0.0, -0.0703, 0.0023], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, -0.3270, 0.3959]. Recommendation = [0.0, -0.0703, 0.0023], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, -0.3182, 0.4803]. Recommendation = [0.0, -0.0703, 0.0023], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, -0.4589, 0.0165]. Recommendation = [0.0, -0.0703, 0.0023], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, -0.5707, 0.3712]. Recommendation = [0.0, -0.0703, 0.0023], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, -0.5973, 0.1906]. Recommendation = [0.0, -0.0703, 0.0023], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, -0.6866, 0.3298]. Recommendation = [0.0, -0.0703, 0.0023], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, -0.4760, 0.7260]. Recommendation = [0.0, -0.0703, 0.0023], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, -0.4965, -0.0538]. Recommendation = [0.0, -0.0703, 0.0023], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, -0.8056, 0.5092]. Recommendation = [0.0, -0.0703, 0.0023], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, -0.8329, 0.6026]. Recommendation = [0.0, -0.0703, 0.0023], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, -0.7577, 0.1630]. Recommendation = [0.0, -0.0703, 0.0023], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, -0.8855, 0.2884]. Recommendation = [0.0, -0.0703, 0.0023], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, 0.4244, 0.5531]. Recommendation = [0.0, -0.0703, 0.0023], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, 0.2173, 0.5286]. Recommendation = [0.0, -0.0703, 0.0023], Current Cost = 5050.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, -0.0616, 0.8309]. Recommendation = [0.0, -0.0703, 0.0023], Current Cost = 5051.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, -0.9336, 0.7676]. Recommendation = [0.0, -0.0703, 0.0023], Current Cost = 5052.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, -0.8281, 0.8747]. Recommendation = [0.0, -0.0703, 0.0023], Current Cost = 5053.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, -0.9136, 0.8349]. Recommendation = [0.0, -0.0703, 0.0023], Current Cost = 5054.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, -0.6410, 0.9706]. Recommendation = [0.0, -0.0703, 0.0023], Current Cost = 5055.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, -1.0283, 0.4753]. Recommendation = [0.0, -0.0703, 0.0023], Current Cost = 5056.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, -0.6018, -0.0604]. Recommendation = [0.0, -0.0703, 0.0023], Current Cost = 5057.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, -0.5190, -0.0913]. Recommendation = [0.0, -0.0703, 0.0023], Current Cost = 5058.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, -0.0724, -0.4209]. Recommendation = [0.0, -0.0703, 0.0023], Current Cost = 5059.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, -1.1038, 0.7428]. Recommendation = [0.0, -0.0703, 0.0023], Current Cost = 5060.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, 0.7774, 0.3559]. Recommendation = [0.0, -0.0703, 0.0023], Current Cost = 5061.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, 0.7880, 0.4008]. Recommendation = [0.0, -0.0703, 0.0023], Current Cost = 5062.00, Rho = 1.000
(iter 10) [0.0, 1.1857, 0.0565] = 274.2107, sampling [1.0, 0.8152, 0.3514]. Recommendation = [0.0, -0.0703, 0.0023], Current Cost = 5063.00, Rho = 1.000
