(iter 10) [0.0, -0.1945, 0.5208] = 431.5497, sampling [1.0, 0.5488, 0.5512]. Recommendation = [0.0, -0.1945, 0.5208], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.1945, 0.5208] = 431.5497, sampling [1.0, 1.0775, 0.9874]. Recommendation = [0.0, 0.5488, 0.5512], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.1945, 0.5208] = 431.5497, sampling [1.0, 0.5934, 1.0375]. Recommendation = [0.0, 1.0775, 0.9874], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.1945, 0.5208] = 431.5497, sampling [1.0, 0.9898, 0.2823]. Recommendation = [0.0, 1.0775, 0.9874], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.1945, 0.5208] = 431.5497, sampling [1.0, 0.3335, 0.2644]. Recommendation = [0.0, 1.0775, 0.9874], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.1945, 0.5208] = 431.5497, sampling [1.0, 1.4101, 1.0022]. Recommendation = [0.0, 0.3853, 0.4184], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.1945, 0.5208] = 431.5497, sampling [1.0, 0.1591, 0.4137]. Recommendation = [0.0, 0.3853, 0.4184], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.1945, 0.5208] = 431.5497, sampling [1.0, 0.8279, 0.6962]. Recommendation = [0.0, 0.3335, 0.2644], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.1945, 0.5208] = 431.5497, sampling [1.0, 0.4000, 0.6390]. Recommendation = [0.0, 0.8279, 0.6962], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.1945, 0.5208] = 431.5497, sampling [1.0, 0.7015, -0.0391]. Recommendation = [0.0, 0.8279, 0.6962], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.1945, 0.5208] = 431.5497, sampling [1.0, 0.7372, 0.3790]. Recommendation = [0.0, 0.8279, 0.6962], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.1945, 0.5208] = 431.5497, sampling [1.0, 1.0154, 1.4408]. Recommendation = [0.0, 0.8279, 0.6962], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.1945, 0.5208] = 431.5497, sampling [1.0, 0.8647, 0.8614]. Recommendation = [0.0, 0.8279, 0.6962], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.1945, 0.5208] = 431.5497, sampling [1.0, 0.9601, 1.0922]. Recommendation = [0.0, 0.8279, 0.6962], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.1945, 0.5208] = 431.5497, sampling [1.0, 0.5531, 0.4321]. Recommendation = [0.0, 0.8279, 0.6962], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.1945, 0.5208] = 431.5497, sampling [1.0, 0.2999, 0.0915]. Recommendation = [0.0, 0.8279, 0.6962], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.1945, 0.5208] = 431.5497, sampling [1.0, 0.1649, 0.2062]. Recommendation = [0.0, 0.8279, 0.6962], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.1945, 0.5208] = 431.5497, sampling [1.0, 0.3853, 0.4184]. Recommendation = [0.0, 0.8279, 0.6962], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.1945, 0.5208] = 431.5497, sampling [1.0, 0.2676, -0.1509]. Recommendation = [0.0, 0.8279, 0.6962], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.1945, 0.5208] = 431.5497, sampling [1.0, 0.4972, -0.1962]. Recommendation = [0.0, 0.8279, 0.6962], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.1945, 0.5208] = 431.5497, sampling [1.0, 0.9816, 0.5727]. Recommendation = [0.0, 0.8279, 0.6962], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.1945, 0.5208] = 431.5497, sampling [1.0, 0.0910, 0.7126]. Recommendation = [0.0, 0.8279, 0.6962], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.1945, 0.5208] = 431.5497, sampling [1.0, 1.0812, 1.1800]. Recommendation = [0.0, 0.8279, 0.6962], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.1945, 0.5208] = 431.5497, sampling [1.0, 1.2448, 1.4944]. Recommendation = [0.0, 1.0812, 1.1800], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.1945, 0.5208] = 431.5497, sampling [1.0, 1.1784, 1.6676]. Recommendation = [0.0, 1.0812, 1.1800], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -0.1945, 0.5208] = 431.5497, sampling [1.0, 0.7311, 1.5741]. Recommendation = [0.0, 1.0812, 1.1800], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -0.1945, 0.5208] = 431.5497, sampling [1.0, 0.7643, 0.4652]. Recommendation = [0.0, 1.0812, 1.1800], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -0.1945, 0.5208] = 431.5497, sampling [1.0, 0.4030, 0.2488]. Recommendation = [0.0, 1.0812, 1.1800], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -0.1945, 0.5208] = 431.5497, sampling [1.0, 0.6674, 0.8541]. Recommendation = [0.0, 1.0812, 1.1800], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, -0.1945, 0.5208] = 431.5497, sampling [1.0, -0.0310, 0.3182]. Recommendation = [0.0, 1.0812, 1.1800], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, -0.1945, 0.5208] = 431.5497, sampling [1.0, 1.3458, 1.4848]. Recommendation = [0.0, 1.0812, 1.1800], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, -0.1945, 0.5208] = 431.5497, sampling [1.0, 0.1793, -0.0792]. Recommendation = [0.0, 1.0812, 1.1800], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, -0.1945, 0.5208] = 431.5497, sampling [1.0, 0.0492, 0.1760]. Recommendation = [0.0, 1.0812, 1.1800], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, -0.1945, 0.5208] = 431.5497, sampling [1.0, 1.1924, 1.2046]. Recommendation = [0.0, 1.0812, 1.1800], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, -0.1945, 0.5208] = 431.5497, sampling [1.0, 0.8761, 1.1897]. Recommendation = [0.0, 1.0812, 1.1800], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, -0.1945, 0.5208] = 431.5497, sampling [1.0, 0.2375, 0.1680]. Recommendation = [0.0, 1.0812, 1.1800], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, -0.1945, 0.5208] = 431.5497, sampling [1.0, 1.1052, 1.5374]. Recommendation = [0.0, 1.0812, 1.1800], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, -0.1945, 0.5208] = 431.5497, sampling [1.0, 0.9223, -0.3935]. Recommendation = [0.0, 1.0812, 1.1800], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, -0.1945, 0.5208] = 431.5497, sampling [1.0, 1.0486, 1.1300]. Recommendation = [0.0, 1.0812, 1.1800], Current Cost = 5043.00, Rho = 1.000
