(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, 0.0328, 1.1865]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, -0.0848, 0.8059]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, -0.1911, 0.1503]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, -0.3805, -0.3127]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, -0.0570, 0.4828]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, -0.3468, 0.5633]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, -0.1578, -0.1308]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, -0.3305, 0.9970]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, -0.3686, 0.1016]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, 0.2229, 0.6100]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, 0.0563, 0.1580]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, -0.4509, -0.3884]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, -0.4891, -0.1391]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, -0.2694, -0.2586]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, 0.3581, 0.9149]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, -0.1712, 1.0483]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, -0.2022, 0.6014]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, 0.1151, 0.9782]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, -0.0746, 0.2570]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, -0.4093, 0.4015]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, -0.1977, -0.6021]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, -0.0360, -0.3457]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, 0.0278, -0.0852]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, -0.1300, 0.0447]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, -0.5124, 0.8426]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, -0.5889, -0.4375]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, -0.3271, 0.2062]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, 0.2973, 1.1514]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, 0.4810, 0.4882]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, 0.2077, 0.1616]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, 0.2320, 0.4989]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, -0.2991, 0.4697]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, -0.5275, -0.2860]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, -0.1803, 1.2714]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, 0.3717, 0.7485]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, -0.3583, -0.7197]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, 0.6175, 1.0183]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, -0.0551, 0.3946]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, -0.5091, -0.0301]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, -0.4284, 0.2281]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, -0.5752, 0.7100]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, -0.6031, 1.0348]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, -0.4617, 0.9102]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, 0.2404, -0.1952]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, 0.7418, 0.7558]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, 0.3468, 0.0220]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5050.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, 0.6003, 0.8644]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5051.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, 0.6521, 0.2828]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5052.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, 0.5702, 1.2116]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5053.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, -0.2736, 1.0837]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5054.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, -0.1395, 0.2100]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5055.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, 0.0537, -0.2724]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5056.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, -0.0220, 0.7915]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5057.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, 0.1437, 1.4985]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5058.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, 0.1102, -0.0712]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5059.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, 0.8320, 1.0949]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5060.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, -0.4733, -0.3660]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5061.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, -0.6665, 0.8341]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5062.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, 0.9094, 0.5286]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5063.00, Rho = 1.000
(iter 10) [0.0, -0.5343, -0.6120] = 373.4026, sampling [1.0, 0.6738, 0.4568]. Recommendation = [0.0, -0.5343, -0.6120], Current Cost = 5064.00, Rho = 1.000
