(iter 10) [0.0, -0.5531, -0.0941] = 437.8913, sampling [1.0, -0.4778, 0.5268]. Recommendation = [0.0, -0.5531, -0.0941], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.5531, -0.0941] = 437.8913, sampling [1.0, -0.0269, 0.3019]. Recommendation = [0.0, -0.4778, 0.5268], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.5531, -0.0941] = 437.8913, sampling [1.0, -0.0817, 0.8093]. Recommendation = [0.0, -0.3028, 0.3459], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.5531, -0.0941] = 437.8913, sampling [1.0, 0.5303, 0.2137]. Recommendation = [0.0, -0.3028, 0.3459], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.5531, -0.0941] = 437.8913, sampling [1.0, 0.1170, -0.0256]. Recommendation = [0.0, 0.5303, 0.2137], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.5531, -0.0941] = 437.8913, sampling [1.0, -0.2363, 0.0130]. Recommendation = [0.0, 0.1854, 0.1903], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.5531, -0.0941] = 437.8913, sampling [1.0, 0.5527, 0.5771]. Recommendation = [0.0, -0.1950, 0.2299], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.5531, -0.0941] = 437.8913, sampling [1.0, 0.1834, 0.5705]. Recommendation = [0.0, 0.1854, 0.1903], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.5531, -0.0941] = 437.8913, sampling [1.0, -0.6968, 0.1931]. Recommendation = [0.0, 0.1854, 0.1903], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.5531, -0.0941] = 437.8913, sampling [1.0, -0.6591, 0.9853]. Recommendation = [0.0, -0.4663, 0.2755], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.5531, -0.0941] = 437.8913, sampling [1.0, -0.8443, 0.6200]. Recommendation = [0.0, 0.1854, 0.1903], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.5531, -0.0941] = 437.8913, sampling [1.0, -0.3028, 0.3459]. Recommendation = [0.0, -0.4663, 0.2755], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.5531, -0.0941] = 437.8913, sampling [1.0, 0.4834, 0.9082]. Recommendation = [0.0, 0.1854, 0.1903], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.5531, -0.0941] = 437.8913, sampling [1.0, 0.5400, -0.1224]. Recommendation = [0.0, 0.1854, 0.1903], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.5531, -0.0941] = 437.8913, sampling [1.0, 0.8971, 0.3600]. Recommendation = [0.0, 0.3329, 0.2048], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.5531, -0.0941] = 437.8913, sampling [1.0, -0.0719, -0.3329]. Recommendation = [0.0, 0.3329, 0.2048], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.5531, -0.0941] = 437.8913, sampling [1.0, -0.2019, 1.1980]. Recommendation = [0.0, 0.3329, 0.2048], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.5531, -0.0941] = 437.8913, sampling [1.0, 0.8230, 0.0803]. Recommendation = [0.0, 0.3329, 0.2048], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.5531, -0.0941] = 437.8913, sampling [1.0, 0.3329, 0.2048]. Recommendation = [0.0, 0.3329, 0.2048], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.5531, -0.0941] = 437.8913, sampling [1.0, -1.1119, 0.0429]. Recommendation = [0.0, 0.5703, 0.2647], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.5531, -0.0941] = 437.8913, sampling [1.0, 0.9793, 0.8539]. Recommendation = [0.0, 0.5703, 0.2647], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.5531, -0.0941] = 437.8913, sampling [1.0, 0.2653, -0.2482]. Recommendation = [0.0, 0.4346, 0.1036], Current Cost = 5026.00, Rho = 1.000
