(iter 10) [0.0, -0.4646, 1.1049] = 375.1001, sampling [1.0, -0.2462, -0.3965]. Recommendation = [0.0, -0.4646, 1.1049], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.4646, 1.1049] = 375.1001, sampling [1.0, -0.4078, 0.2007]. Recommendation = [0.0, -0.2462, -0.3965], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.4646, 1.1049] = 375.1001, sampling [1.0, -0.2913, -0.0283]. Recommendation = [0.0, -0.4078, 0.2007], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.4646, 1.1049] = 375.1001, sampling [1.0, -0.5563, -0.1420]. Recommendation = [0.0, -0.4078, 0.2007], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.4646, 1.1049] = 375.1001, sampling [1.0, -0.4523, 0.5106]. Recommendation = [0.0, -0.4078, 0.2007], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.4646, 1.1049] = 375.1001, sampling [1.0, -0.7201, 0.2862]. Recommendation = [0.0, -0.4078, 0.2007], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.4646, 1.1049] = 375.1001, sampling [1.0, -0.5638, 0.0581]. Recommendation = [0.0, -0.4078, 0.2007], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.4646, 1.1049] = 375.1001, sampling [1.0, -0.2063, 0.1958]. Recommendation = [0.0, -0.4078, 0.2007], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.4646, 1.1049] = 375.1001, sampling [1.0, -0.1166, -0.0713]. Recommendation = [0.0, -0.4078, 0.2007], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.4646, 1.1049] = 375.1001, sampling [1.0, -0.3030, -0.2403]. Recommendation = [0.0, -0.4078, 0.2007], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.4646, 1.1049] = 375.1001, sampling [1.0, -0.6395, 0.6301]. Recommendation = [0.0, -0.4078, 0.2007], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.4646, 1.1049] = 375.1001, sampling [1.0, -0.4412, 0.6764]. Recommendation = [0.0, -0.4078, 0.2007], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.4646, 1.1049] = 375.1001, sampling [1.0, 0.0243, -0.2033]. Recommendation = [0.0, -0.4078, 0.2007], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.4646, 1.1049] = 375.1001, sampling [1.0, -0.1642, -0.6507]. Recommendation = [0.0, -0.4078, 0.2007], Current Cost = 5018.00, Rho = 1.000
