(iter 10) [0.0, 0.3966, -0.0479] = 451.7275, sampling [1.0, 0.0602, 0.6727]. Recommendation = [0.0, 0.3966, -0.0479], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.3966, -0.0479] = 451.7275, sampling [1.0, 0.3609, 0.3766]. Recommendation = [0.0, 0.3966, -0.0479], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.3966, -0.0479] = 451.7275, sampling [1.0, 0.1959, 0.1471]. Recommendation = [0.0, 0.3966, -0.0479], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.3966, -0.0479] = 451.7275, sampling [1.0, -0.2967, 0.9426]. Recommendation = [0.0, 0.3700, 0.1774], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.3966, -0.0479] = 451.7275, sampling [1.0, 0.3700, 0.1774]. Recommendation = [0.0, 0.3700, 0.1774], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.3966, -0.0479] = 451.7275, sampling [1.0, -0.0561, 0.3231]. Recommendation = [0.0, 0.3700, 0.1774], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.3966, -0.0479] = 451.7275, sampling [1.0, 0.3075, 0.5828]. Recommendation = [0.0, 0.3700, 0.1774], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.3966, -0.0479] = 451.7275, sampling [1.0, 0.6509, 0.2754]. Recommendation = [0.0, 0.3700, 0.1774], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.3966, -0.0479] = 451.7275, sampling [1.0, 0.5921, 0.4971]. Recommendation = [0.0, 0.4695, 0.1929], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.3966, -0.0479] = 451.7275, sampling [1.0, 0.5190, 0.3106]. Recommendation = [0.0, 0.5190, 0.3106], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.3966, -0.0479] = 451.7275, sampling [1.0, 0.4920, 0.0553]. Recommendation = [0.0, 0.4695, 0.1929], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.3966, -0.0479] = 451.7275, sampling [1.0, 0.2313, 1.0165]. Recommendation = [0.0, 0.4695, 0.1929], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.3966, -0.0479] = 451.7275, sampling [1.0, 0.4997, 0.6644]. Recommendation = [0.0, 0.4695, 0.1929], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.3966, -0.0479] = 451.7275, sampling [1.0, -0.6164, 0.9567]. Recommendation = [0.0, 0.4695, 0.1929], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.3966, -0.0479] = 451.7275, sampling [1.0, 0.2701, 0.0072]. Recommendation = [0.0, 0.4695, 0.1929], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.3966, -0.0479] = 451.7275, sampling [1.0, -0.1697, 0.4357]. Recommendation = [0.0, 0.4695, 0.1929], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.3966, -0.0479] = 451.7275, sampling [1.0, 0.4695, 0.1929]. Recommendation = [0.0, 0.4695, 0.1929], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.3966, -0.0479] = 451.7275, sampling [1.0, 0.4591, 0.3883]. Recommendation = [0.0, 0.4695, 0.1929], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.3966, -0.0479] = 451.7275, sampling [1.0, -0.4219, 0.5071]. Recommendation = [0.0, 0.4695, 0.1929], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.3966, -0.0479] = 451.7275, sampling [1.0, -0.5965, 0.7514]. Recommendation = [0.0, 0.4695, 0.1929], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.3966, -0.0479] = 451.7275, sampling [1.0, -0.1144, 0.1718]. Recommendation = [0.0, 0.4695, 0.1929], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.3966, -0.0479] = 451.7275, sampling [1.0, 0.0177, -0.0728]. Recommendation = [0.0, 0.4695, 0.1929], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.3966, -0.0479] = 451.7275, sampling [1.0, -0.0553, 0.0119]. Recommendation = [0.0, 0.2028, 0.0824], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.3966, -0.0479] = 451.7275, sampling [1.0, -0.3733, 0.2356]. Recommendation = [0.0, 0.2028, 0.0824], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.3966, -0.0479] = 451.7275, sampling [1.0, -0.1795, 0.3295]. Recommendation = [0.0, 0.2028, 0.0824], Current Cost = 5029.00, Rho = 1.000
